param-n noop-repeat-rewrite-strat-bottomup-regression-cubic-real noop-repeat-rewrite-strat-bottomup-regression-cubic-sys noop-repeat-rewrite-strat-bottomup-regression-cubic-user noop-repeat-rewrite-strat-topdown-regression-cubic-real noop-repeat-rewrite-strat-topdown-regression-cubic-sys noop-repeat-rewrite-strat-topdown-regression-cubic-user noop-repeat-setoid-rewrite-regression-cubic-real noop-repeat-setoid-rewrite-regression-cubic-sys noop-repeat-setoid-rewrite-regression-cubic-user
0 0.001 0.001 0. 0. 0. 0. 0. 0. 0.
1 0.001 0.001 0. 0.001 0.001 0. 0. 0. 0.
2 0. 0. 0. 0.001 0. 0.001 0.001 0. 0.001
10 0.006 0.003 0.003 0.007 0. 0.007 0.007 0.003 0.003
20 0.015 0. 0.015 0.066 0.007 0.059 0.022 0.013 0.009
30 0.041 0. 0.041 0.038 0. 0.038 0.038 0. 0.038
40 0.072 0. 0.072 0.077 0. 0.077 0.077 0. 0.077
50 0.136 0. 0.136 0.131 0. 0.131 0.194 0.033 0.16
60 0.212 0. 0.212 0.233 0. 0.232 0.232 0. 0.232
70 0.313 0. 0.313 0.314 0. 0.314 0.336 0. 0.336
80 0.491 0. 0.49 0.485 0. 0.484 0.488 0. 0.488
90 0.64 0. 0.64 0.675 0. 0.674 0.703 0. 0.703
100 0.939 0. 0.938 0.885 0. 0.884 0.904 0.003 0.899
110 1.202 0. 1.202 1.277 0. 1.277 1.199 0. 1.199
120 1.52 0. 1.52 1.546 0.003 1.543 1.581 0. 1.58
130 1.91 0. 1.909 1.891 0. 1.891 1.948 0. 1.947
140 2.538 0. 2.537 2.45 0. 2.45 2.471 0. 2.471
150 2.991 0. 2.99 3.007 0. 3.006 2.98 0. 2.978
160 3.669 0. 3.668 3.655 0.007 3.647 3.639 0. 3.639
170 4.407 0. 4.406 4.47 0. 4.469 4.383 0. 4.383
180 5.183 0. 5.183 5.268 0.008 5.259 5.297 0. 5.297
190 6.213 0. 6.212 6.161 0. 6.16 6.321 0. 6.32
200 7.448 0. 7.445 7.201 0.007 7.19 7.304 0.003 7.298
