Tactic call build-thunk-regression-linear ran for 0.026 secs (0.026u,0.s) (success)
Tactic call eval-thunk-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call build-eval-thunk-regression-linear ran for 0.027 secs (0.027u,0.s) (success)
Tactic call build-I-regression-linear ran for 0.002 secs (0.002u,0.s) (success)
Tactic call check-I-regression-linear ran for 0.012 secs (0.012u,0.s) (success)
Tactic call type-I-regression-linear ran for 0.005 secs (0.005u,0.s) (success)
Tactic call build-admit-regression-linear ran for 0.002 secs (0.002u,0.s) (success)
Tactic call check-admit-regression-quadratic ran for 0.016 secs (0.016u,0.s) (success)
Tactic call type-admit-regression-quadratic ran for 0.018 secs (0.018u,0.s) (success)
Tactic call build-admit-cast-regression-linear ran for 0.003 secs (0.003u,0.s) (success)
Tactic call check-admit-cast-regression-quadratic ran for 0.027 secs (0.027u,0.s) (success)
Tactic call type-admit-cast-regression-quadratic ran for 0.022 secs (0.022u,0.s) (success)
Tactic call build-pf-cast-regression-linear ran for 0.003 secs (0.003u,0.s) (success)
Tactic call check-pf-cast-regression-quadratic ran for 0.031 secs (0.031u,0.s) (success)
Tactic call type-pf-cast-regression-quadratic ran for 0.014 secs (0.014u,0.s) (success)
Tactic call refine-regression-quadratic-regression-linear ran for 0.018 secs (0.018u,0.s) (success)
Tactic call fast_rewrite-regression-quadratic ran for 0.208 secs (0.208u,0.s) (success)
Tactic call abstract-regression-quadratic ran for 0.244 secs (0.244u,0.s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.035 secs (0.035u,0.s)
Params: n= 300
Tactic call build-thunk-regression-linear ran for 0.034 secs (0.034u,0.s) (success)
Tactic call eval-thunk-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call build-eval-thunk-regression-linear ran for 0.034 secs (0.034u,0.s) (success)
Tactic call build-I-regression-linear ran for 0.002 secs (0.002u,0.s) (success)
Tactic call check-I-regression-linear ran for 0.006 secs (0.006u,0.s) (success)
Tactic call type-I-regression-linear ran for 0.005 secs (0.005u,0.s) (success)
Tactic call build-admit-regression-linear ran for 0.002 secs (0.002u,0.s) (success)
Tactic call check-admit-regression-quadratic ran for 0.021 secs (0.021u,0.s) (success)
Tactic call type-admit-regression-quadratic ran for 0.02 secs (0.02u,0.s) (success)
Tactic call build-admit-cast-regression-linear ran for 0.002 secs (0.002u,0.s) (success)
Tactic call check-admit-cast-regression-quadratic ran for 0.022 secs (0.022u,0.s) (success)
Tactic call type-admit-cast-regression-quadratic ran for 0.022 secs (0.022u,0.s) (success)
Tactic call build-pf-cast-regression-linear ran for 0.002 secs (0.002u,0.s) (success)
Tactic call check-pf-cast-regression-quadratic ran for 0.027 secs (0.025u,0.001s) (success)
Tactic call type-pf-cast-regression-quadratic ran for 0.022 secs (0.021u,0.s) (success)
Tactic call refine-regression-quadratic-regression-linear ran for 0.023 secs (0.023u,0.s) (success)
Tactic call fast_rewrite-regression-quadratic ran for 0.22 secs (0.217u,0.002s) (success)
Tactic call abstract-regression-quadratic ran for 0.281 secs (0.279u,0.002s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.06 secs (0.06u,0.s)
Params: n= 350
Tactic call build-thunk-regression-linear ran for 0.056 secs (0.056u,0.s) (success)
