Tactic call eval-thunk-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call build-eval-thunk-regression-linear ran for 0.029 secs (0.029u,0.s) (success)
Tactic call build-I-regression-linear ran for 0.001 secs (0.001u,0.s) (success)
Tactic call check-I-regression-linear ran for 0.005 secs (0.005u,0.s) (success)
Tactic call type-I-regression-linear ran for 0.004 secs (0.004u,0.s) (success)
Tactic call build-admit-regression-linear ran for 0.001 secs (0.001u,0.s) (success)
Tactic call check-admit-regression-quadratic ran for 0.014 secs (0.014u,0.s) (success)
Tactic call type-admit-regression-quadratic ran for 0.013 secs (0.013u,0.s) (success)
Tactic call build-admit-cast-regression-linear ran for 0.001 secs (0.001u,0.s) (success)
Tactic call check-admit-cast-regression-quadratic ran for 0.016 secs (0.016u,0.s) (success)
Tactic call type-admit-cast-regression-quadratic ran for 0.02 secs (0.02u,0.s) (success)
Tactic call build-pf-cast-regression-linear ran for 0.001 secs (0.001u,0.s) (success)
Tactic call check-pf-cast-regression-quadratic ran for 0.015 secs (0.015u,0.s) (success)
Tactic call type-pf-cast-regression-quadratic ran for 0.014 secs (0.014u,0.s) (success)
Tactic call refine-regression-quadratic-regression-linear ran for 0.015 secs (0.015u,0.s) (success)
Tactic call fast_rewrite-regression-quadratic ran for 0.156 secs (0.156u,0.s) (success)
Tactic call abstract-regression-quadratic ran for 0.187 secs (0.187u,0.s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.029 secs (0.029u,0.s)
Params: n= 300
Tactic call build-thunk-regression-linear ran for 0.028 secs (0.028u,0.s) (success)
Tactic call eval-thunk-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call build-eval-thunk-regression-linear ran for 0.028 secs (0.028u,0.s) (success)
Tactic call build-I-regression-linear ran for 0.001 secs (0.001u,0.s) (success)
Tactic call check-I-regression-linear ran for 0.006 secs (0.006u,0.s) (success)
Tactic call type-I-regression-linear ran for 0.006 secs (0.006u,0.s) (success)
Tactic call build-admit-regression-linear ran for 0.001 secs (0.001u,0.s) (success)
Tactic call check-admit-regression-quadratic ran for 0.016 secs (0.016u,0.s) (success)
Tactic call type-admit-regression-quadratic ran for 0.021 secs (0.021u,0.s) (success)
Tactic call build-admit-cast-regression-linear ran for 0.001 secs (0.001u,0.s) (success)
Tactic call check-admit-cast-regression-quadratic ran for 0.024 secs (0.024u,0.s) (success)
Tactic call type-admit-cast-regression-quadratic ran for 0.019 secs (0.019u,0.s) (success)
Tactic call build-pf-cast-regression-linear ran for 0.002 secs (0.002u,0.s) (success)
Tactic call check-pf-cast-regression-quadratic ran for 0.018 secs (0.018u,0.s) (success)
Tactic call type-pf-cast-regression-quadratic ran for 0.018 secs (0.018u,0.s) (success)
Tactic call refine-regression-quadratic-regression-linear ran for 0.025 secs (0.025u,0.s) (success)
Tactic call fast_rewrite-regression-quadratic ran for 0.193 secs (0.193u,0.s) (success)
Tactic call abstract-regression-quadratic ran for 0.232 secs (0.232u,0.s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.038 secs (0.038u,0.s)
Params: n= 350
Tactic call build-thunk-regression-linear ran for 0.041 secs (0.041u,0.s) (success)
Tactic call eval-thunk-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call build-eval-thunk-regression-linear ran for 0.041 secs (0.041u,0.s) (success)
Tactic call build-I-regression-linear ran for 0.002 secs (0.002u,0.s) (success)
Tactic call check-I-regression-linear ran for 0.008 secs (0.008u,0.s) (success)
Tactic call type-I-regression-linear ran for 0.007 secs (0.007u,0.s) (success)
Tactic call build-admit-regression-linear ran for 0.002 secs (0.002u,0.s) (success)
Tactic call check-admit-regression-quadratic ran for 0.035 secs (0.035u,0.s) (success)
Tactic call type-admit-regression-quadratic ran for 0.029 secs (0.029u,0.s) (success)
Tactic call build-admit-cast-regression-linear ran for 0.002 secs (0.002u,0.s) (success)
Tactic call check-admit-cast-regression-quadratic ran for 0.028 secs (0.028u,0.s) (success)
Tactic call type-admit-cast-regression-quadratic ran for 0.028 secs (0.028u,0.s) (success)
Tactic call build-pf-cast-regression-linear ran for 0.002 secs (0.002u,0.s) (success)
Tactic call check-pf-cast-regression-quadratic ran for 0.028 secs (0.028u,0.s) (success)
Tactic call type-pf-cast-regression-quadratic ran for 0.028 secs (0.028u,0.s) (success)
Tactic call refine-regression-quadratic-regression-linear ran for 0.033 secs (0.033u,0.s) (success)
Tactic call fast_rewrite-regression-quadratic ran for 0.28 secs (0.28u,0.s) (success)
Tactic call abstract-regression-quadratic ran for 0.334 secs (0.334u,0.s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.054 secs (0.054u,0.s)
Params: n= 400
Tactic call build-thunk-regression-linear ran for 0.047 secs (0.047u,0.s) (success)
Tactic call eval-thunk-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call build-eval-thunk-regression-linear ran for 0.047 secs (0.047u,0.s) (success)
Tactic call build-I-regression-linear ran for 0.002 secs (0.002u,0.s) (success)
Tactic call check-I-regression-linear ran for 0.009 secs (0.009u,0.s) (success)
Tactic call type-I-regression-linear ran for 0.008 secs (0.008u,0.s) (success)
Tactic call build-admit-regression-linear ran for 0.003 secs (0.003u,0.s) (success)
Tactic call check-admit-regression-quadratic ran for 0.037 secs (0.037u,0.s) (success)
Tactic call type-admit-regression-quadratic ran for 0.043 secs (0.04u,0.003s) (success)
Tactic call build-admit-cast-regression-linear ran for 0.002 secs (0.002u,0.s) (success)
Tactic call check-admit-cast-regression-quadratic ran for 0.038 secs (0.038u,0.s) (success)
Tactic call type-admit-cast-regression-quadratic ran for 0.039 secs (0.039u,0.s) (success)
Tactic call build-pf-cast-regression-linear ran for 0.002 secs (0.002u,0.s) (success)
Tactic call check-pf-cast-regression-quadratic ran for 0.042 secs (0.042u,0.s) (success)
Tactic call type-pf-cast-regression-quadratic ran for 0.041 secs (0.041u,0.s) (success)
Tactic call refine-regression-quadratic-regression-linear ran for 0.047 secs (0.047u,0.s) (success)
Tactic call fast_rewrite-regression-quadratic ran for 0.369 secs (0.365u,0.003s) (success)
Tactic call abstract-regression-quadratic ran for 0.437 secs (0.434u,0.003s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.068 secs (0.068u,0.s)
