param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbn-regression-quadratic-sys,cps+cbn-regression-quadratic-user,cps+cbv-regression-quadratic-real,cps+cbv-regression-quadratic-sys,cps+cbv-regression-quadratic-user,cps+lazy-regression-quadratic-real,cps+lazy-regression-quadratic-sys,cps+lazy-regression-quadratic-user,cps+native-compute-regression-quadratic-real,cps+native-compute-regression-quadratic-sys,cps+native-compute-regression-quadratic-user,cps+simpl-regression-quadratic-real,cps+simpl-regression-quadratic-sys,cps+simpl-regression-quadratic-user,cps+vm-compute-regression-quadratic-real,cps+vm-compute-regression-quadratic-sys,cps+vm-compute-regression-quadratic-user,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(bottomup-bottomup)-regression-exponential-sys,rewrite-strat(bottomup-bottomup)-regression-exponential-user,rewrite-strat(topdown-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-sys,rewrite-strat(topdown-bottomup)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
1,1,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.003,0.,0.003
2,1,2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.003,0.003,0.,0.003,0.,0.003,0.011,0.003,0.007
2,2,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001,0.007,0.,0.007
3,1,3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.008,0.,0.008,0.008,0.,0.008,0.02,0.,0.02
3,3,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.005,0.,0.005,0.005,0.003,0.002,0.013,0.,0.013
4,1,4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.05,0.007,0.042,0.051,0.006,0.044,0.044,0.,0.044
4,2,2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.01,0.,0.01,0.01,0.,0.01,0.051,0.003,0.047
4,4,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.012,0.,0.012,0.013,0.,0.013,0.019,0.,0.019
5,1,5,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.,0.,0.,0.045,0.012,0.032,0.044,0.016,0.028,0.104,0.028,0.076
5,5,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.053,0.008,0.044,0.053,0.002,0.05,0.046,0.,0.046
6,2,3,,,,,,,,,,,,,,,,,,,,,,,,,0.053,0.,0.053
7,1,7,,,,,,,,,,,,,,,,,,,0.166,0.019,0.146,0.168,0.004,0.164,0.219,0.012,0.206
7,7,1,,,,,,,,,,,,,,,,,,,0.05,0.,0.05,0.055,0.,0.055,0.083,0.,0.083
8,1,8,,,,,,,,,,,,,,,,,,,0.194,0.,0.191,0.189,0.,0.189,0.264,0.,0.264
8,2,4,,,,,,,,,,,,,,,,,,,0.127,0.,0.127,0.127,0.,0.127,0.069,0.,0.069
8,4,2,,,,,,,,,,,,,,,,,,,0.048,0.,0.048,0.048,0.,0.048,0.079,0.,0.079
8,8,1,,,,,,,,,,,,,,,,,,,0.107,0.,0.107,0.113,0.,0.113,0.183,0.,0.183
9,1,9,,,,,,,,,,,,,,,,,,,0.305,0.,0.305,0.306,0.,0.306,0.468,0.,0.468
9,3,3,,,,,,,,,,,,,,,,,,,0.131,0.,0.131,0.13,0.,0.13,0.114,0.,0.114
9,9,1,,,,,,,,,,,,,,,,,,,0.137,0.,0.137,0.148,0.,0.148,0.243,0.,0.243
10,1,10,,,,,,,,,,,,,,,,,,,,,,,,,0.637,0.,0.637
10,10,1,,,,,,,,,,,,,,,,,,,,,,,,,0.302,0.,0.302
11,1,11,,,,,,,,,,,,,,,,,,,0.782,0.,0.782,0.795,0.,0.795,,,
11,11,1,,,,,,,,,,,,,,,,,,,0.208,0.,0.208,0.229,0.,0.229,,,
12,1,12,0.002,0.,0.001,,,,,,,,,,,,,,,,1.117,0.003,1.114,1.114,0.,1.114,,,
12,3,4,0.001,0.001,0.,,,,,,,,,,,,,,,,0.188,0.,0.187,0.189,0.003,0.186,0.112,0.,0.112
12,12,1,0.001,0.001,0.,,,,,,,,,,,,,,,,0.273,0.,0.273,0.307,0.,0.307,,,
13,1,13,,,,,,,,,,,,,,,,,,,,,,,,,1.353,0.003,1.349
13,13,1,,,,,,,,,,,,,,,,,,,,,,,,,0.642,0.,0.642
15,1,15,,,,,,,,,,,,,,,,,,,3.23,0.,3.23,3.222,0.003,3.219,,,
15,15,1,,,,,,,,,,,,,,,,,,,0.573,0.,0.573,0.655,0.,0.655,,,
16,1,16,,,,,,,,,,,,,0.002,0.001,0.001,,,,,,,,,,,,
16,4,4,,,,,,,,,,,,,0.001,0.,0.001,,,,,,,,,,,,
16,16,1,,,,,,,,,,,,,0.001,0.,0.001,,,,,,,,,,,,
17,1,17,,,,,,,,,,,,,,,,,,,,,,,,,3.526,0.003,3.521
17,17,1,,,,,,,,,,,,,,,,,,,,,,,,,1.62,0.004,1.616
18,1,18,0.003,0.,0.002,,,,,,,,,,,,,,,,,,,,,,,,
18,18,1,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,,,,,
20,4,5,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,,,0.277,0.,0.276
24,1,24,0.004,0.,0.004,,,,,,,,,,,,,,,,,,,,,,,,
24,24,1,0.002,0.,0.002,,,,,,,,,,,,,,,,,,,,,,,,
27,1,27,,,,,,,,,,,,,0.005,0.,0.005,,,,,,,,,,,,
27,27,1,,,,,,,,,,,,,0.002,0.,0.002,,,,,,,,,,,,
