param-n,noop-repeat-rewrite-strat-bottomup-regression-cubic-real,noop-repeat-rewrite-strat-bottomup-regression-cubic-sys,noop-repeat-rewrite-strat-bottomup-regression-cubic-user,noop-repeat-rewrite-strat-topdown-regression-cubic-real,noop-repeat-rewrite-strat-topdown-regression-cubic-sys,noop-repeat-rewrite-strat-topdown-regression-cubic-user,noop-repeat-setoid-rewrite-regression-cubic-real,noop-repeat-setoid-rewrite-regression-cubic-sys,noop-repeat-setoid-rewrite-regression-cubic-user
0,0.,0.,0.,0.,0.,0.,0.,0.,0.
1,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,0.,0.,0.,0.,0.,0.,0.,0.,0.
10,0.003,0.,0.002,0.003,0.,0.003,0.003,0.,0.002
20,0.008,0.,0.008,0.008,0.,0.008,0.053,0.005,0.048
30,0.019,0.,0.019,0.02,0.,0.02,0.019,0.,0.019
40,0.04,0.,0.04,0.04,0.,0.04,0.041,0.,0.041
50,0.072,0.,0.072,0.072,0.,0.072,0.119,0.011,0.107
60,0.119,0.,0.119,0.12,0.,0.12,0.12,0.,0.12
70,0.184,0.,0.184,0.184,0.,0.184,0.186,0.,0.186
80,0.27,0.,0.27,0.271,0.,0.271,0.271,0.,0.271
90,0.379,0.,0.379,0.379,0.,0.379,0.383,0.,0.383
100,0.521,0.,0.521,0.522,0.,0.522,0.515,0.,0.515
110,0.687,0.,0.687,0.68,0.,0.68,0.684,0.,0.684
120,0.887,0.,0.887,0.883,0.,0.883,0.886,0.,0.885
130,1.119,0.,1.118,1.12,0.,1.12,1.121,0.,1.121
140,1.395,0.,1.395,1.389,0.,1.389,1.4,0.,1.399
150,1.725,0.,1.725,1.741,0.001,1.74,1.728,0.,1.728
160,2.084,0.,2.084,2.083,0.,2.082,2.083,0.001,2.08
170,2.506,0.,2.506,2.52,0.,2.52,2.501,0.,2.501
180,3.021,0.,3.021,2.998,0.,2.997,2.98,0.,2.979
190,3.512,0.,3.512,3.509,0.,3.508,3.533,0.001,3.532
200,4.125,0.,4.125,4.123,0.,4.123,4.115,0.001,4.111
