param-0-univ-count,param-1-n,abstract-regression-quadratic-real,abstract-regression-quadratic-sys,abstract-regression-quadratic-user,close-abstract-regression-quadratic-real,close-abstract-regression-quadratic-sys,close-abstract-regression-quadratic-user,exact-regression-linear-real,exact-regression-linear-sys,exact-regression-linear-user
1,0,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,1,0.,0.,0.,0.,0.,0.,0.,0.,0.
4,2,0.,0.,0.,0.,0.,0.,0.,0.,0.
8,3,0.,0.,0.,0.,0.,0.,0.,0.,0.
16,4,0.,0.,0.,0.001,0.,0.001,0.,0.,0.
32,5,0.,0.,0.,0.002,0.,0.002,0.,0.,0.
64,6,0.,0.,0.,0.004,0.,0.004,0.001,0.,0.001
128,7,0.,0.,0.,0.053,0.005,0.048,0.003,0.,0.002
256,8,0.,0.,0.,0.024,0.,0.024,0.006,0.,0.006
512,9,0.,0.,0.,0.051,0.,0.051,0.013,0.,0.013
1024,10,0.,0.,0.,0.152,0.,0.152,0.027,0.,0.027
2048,11,0.,0.,0.,0.478,0.,0.477,0.069,0.,0.069
4096,12,0.,0.,0.,1.457,0.001,1.455,0.152,0.,0.152
8192,13,0.,0.,0.,4.873,0.007,4.866,0.316,0.003,0.312
16384,14,0.,0.,0.,18.448,0.017,18.429,0.6,0.005,0.595
