param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbn-regression-quadratic-sys,cps+cbn-regression-quadratic-user,cps+cbv-regression-quadratic-real,cps+cbv-regression-quadratic-sys,cps+cbv-regression-quadratic-user,cps+lazy-regression-quadratic-real,cps+lazy-regression-quadratic-sys,cps+lazy-regression-quadratic-user,cps+native-compute-regression-quadratic-real,cps+native-compute-regression-quadratic-sys,cps+native-compute-regression-quadratic-user,cps+simpl-regression-quadratic-real,cps+simpl-regression-quadratic-sys,cps+simpl-regression-quadratic-user,cps+vm-compute-regression-quadratic-real,cps+vm-compute-regression-quadratic-sys,cps+vm-compute-regression-quadratic-user,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(bottomup-bottomup)-regression-exponential-sys,rewrite-strat(bottomup-bottomup)-regression-exponential-user,rewrite-strat(topdown-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-sys,rewrite-strat(topdown-bottomup)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
1,1,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.005,0.002,0.003
2,1,2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.002,0.002,0.,0.003,0.,0.003,0.016,0.001,0.014
2,2,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001,0.01,0.001,0.008
3,1,3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.007,0.001,0.005,0.007,0.001,0.005,0.071,0.007,0.063
3,3,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.005,0.,0.004,0.005,0.,0.005,0.015,0.,0.015
4,1,4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.056,0.006,0.049,0.059,0.009,0.05,0.047,0.,0.047
4,2,2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.009,0.001,0.008,0.009,0.001,0.008,0.027,0.,0.027
4,4,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.011,0.002,0.008,0.012,0.002,0.009,0.026,0.,0.026
5,1,5,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.,0.,0.,0.042,0.01,0.032,0.04,0.01,0.03,0.137,0.02,0.117
5,5,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.06,0.005,0.055,0.06,0.007,0.053,0.043,0.,0.043
6,2,3,,,,,,,,,,,,,,,,,,,,,,,,,0.077,0.,0.077
7,1,7,,,,,,,,,,,,,,,,,,,0.146,0.017,0.129,0.15,0.013,0.136,0.293,0.015,0.277
7,7,1,,,,,,,,,,,,,,,,,,,0.049,0.,0.049,0.052,0.,0.052,0.114,0.,0.113
8,1,8,,,,,,,,,,,,,,,,,,,0.166,0.,0.165,0.164,0.,0.163,0.383,0.,0.383
8,2,4,,,,,,,,,,,,,,,,,,,0.066,0.,0.066,0.065,0.,0.065,0.096,0.,0.096
8,4,2,,,,,,,,,,,,,,,,,,,0.045,0.,0.045,0.046,0.,0.046,0.101,0.,0.101
8,8,1,,,,,,,,,,,,,,,,,,,0.072,0.,0.072,0.077,0.,0.077,0.158,0.,0.158
9,1,9,,,,,,,,,,,,,,,,,,,0.256,0.,0.256,0.256,0.,0.256,0.578,0.,0.577
9,3,3,,,,,,,,,,,,,,,,,,,0.074,0.,0.074,0.068,0.,0.068,0.157,0.,0.157
9,9,1,,,,,,,,,,,,,,,,,,,0.113,0.,0.113,0.116,0.,0.116,0.23,0.,0.23
10,1,10,,,,,,,,,,,,,,,,,,,,,,,,,0.835,0.,0.835
10,10,1,,,,,,,,,,,,,,,,,,,,,,,,,0.325,0.,0.325
11,1,11,,,,,,,,,,,,,,,,,,,0.604,0.001,0.602,0.603,0.,0.602,,,
11,11,1,,,,,,,,,,,,,,,,,,,0.206,0.,0.205,0.224,0.,0.223,,,
12,1,12,0.002,0.,0.002,,,,,,,,,,,,,,,,0.9,0.,0.899,0.908,0.001,0.904,,,
12,3,4,0.001,0.,0.001,,,,,,,,,,,,,,,,0.171,0.,0.171,0.169,0.,0.169,0.161,0.,0.161
12,12,1,0.001,0.,0.001,,,,,,,,,,,,,,,,0.263,0.,0.262,0.297,0.,0.297,,,
13,1,13,,,,,,,,,,,,,,,,,,,,,,,,,2.141,0.004,2.137
13,13,1,,,,,,,,,,,,,,,,,,,,,,,,,0.759,0.002,0.756
15,1,15,,,,,,,,,,,,,,,,,,,2.826,0.007,2.818,2.833,0.009,2.824,,,
15,15,1,,,,,,,,,,,,,,,,,,,0.533,0.,0.533,0.606,0.,0.605,,,
16,1,16,,,,,,,,,,,,,0.003,0.,0.003,,,,,,,,,,,,
16,4,4,,,,,,,,,,,,,0.001,0.,0.001,,,,,,,,,,,,
16,16,1,,,,,,,,,,,,,0.001,0.,0.,,,,,,,,,,,,
17,1,17,,,,,,,,,,,,,,,,,,,,,,,,,5.903,0.01,5.892
17,17,1,,,,,,,,,,,,,,,,,,,,,,,,,1.922,0.004,1.916
18,1,18,0.003,0.,0.003,,,,,,,,,,,,,,,,,,,,,,,,
18,18,1,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,,,,,
