param-n,case-and-regression-linear-real,case-and-regression-linear-sys,case-and-regression-linear-user,case-clear-intros-and-regression-linear-real,case-clear-intros-and-regression-linear-sys,case-clear-intros-and-regression-linear-user,case-clear-intros-or-regression-linear-real,case-clear-intros-or-regression-linear-sys,case-clear-intros-or-regression-linear-user,case-or-regression-linear-real,case-or-regression-linear-sys,case-or-regression-linear-user,destruct-and-regression-linear-real,destruct-and-regression-linear-sys,destruct-and-regression-linear-user,destruct-or-regression-linear-real,destruct-or-regression-linear-sys,destruct-or-regression-linear-user,intros-regression-linear-real,intros-regression-linear-sys,intros-regression-linear-user,lazy-regression-linear-real,lazy-regression-linear-sys,lazy-regression-linear-user
1,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.,0.,0.,0.005,0.,0.005,0.005,0.,0.004,0.001,0.,0.001,0.006,0.002,0.004
2,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.009,0.,0.009,0.009,0.,0.009,0.003,0.,0.003,0.059,0.006,0.052
3,0.006,0.,0.006,0.006,0.,0.006,0.006,0.,0.006,0.006,0.,0.006,0.024,0.,0.024,0.025,0.,0.025,0.017,0.,0.017,0.014,0.,0.014
4,0.003,0.,0.003,0.003,0.,0.003,0.004,0.,0.004,0.004,0.,0.004,0.02,0.,0.02,0.021,0.,0.021,0.009,0.,0.009,0.077,0.008,0.069
5,0.005,0.,0.005,0.005,0.,0.005,0.006,0.,0.005,0.006,0.,0.005,0.028,0.,0.028,0.027,0.,0.027,0.016,0.,0.016,0.046,0.,0.045
6,0.015,0.,0.015,0.016,0.,0.016,0.016,0.,0.016,0.015,0.,0.015,0.055,0.,0.055,0.054,0.,0.054,0.064,0.,0.063,0.051,0.,0.051
7,0.015,0.,0.015,0.015,0.,0.015,0.015,0.,0.015,0.015,0.,0.015,0.071,0.,0.071,0.054,0.,0.053,0.062,0.,0.062,0.044,0.,0.044
8,0.012,0.,0.012,0.012,0.,0.012,0.012,0.,0.012,0.012,0.,0.012,0.053,0.,0.053,0.052,0.,0.052,0.048,0.,0.048,0.084,0.,0.084
9,0.013,0.,0.012,0.013,0.,0.012,0.013,0.,0.013,0.012,0.,0.012,0.056,0.,0.056,0.054,0.,0.054,0.054,0.,0.054,0.125,0.001,0.123
10,0.014,0.,0.014,0.014,0.,0.014,0.014,0.,0.014,0.014,0.,0.014,0.062,0.,0.062,0.062,0.,0.062,0.063,0.,0.063,0.096,0.001,0.094
50,0.046,0.,0.046,0.047,0.,0.047,0.048,0.,0.048,0.048,0.,0.048,0.287,0.002,0.285,0.253,0.,0.253,1.208,0.,1.208,0.576,0.017,0.558
100,0.093,0.,0.093,0.093,0.,0.093,0.097,0.,0.097,0.096,0.,0.096,0.542,0.,0.542,0.501,0.,0.501,4.758,0.,4.758,1.023,0.019,1.003
150,0.14,0.,0.14,0.141,0.,0.141,0.142,0.,0.142,0.142,0.,0.142,0.771,0.,0.771,0.74,0.,0.74,10.584,0.001,10.581,1.791,0.007,1.782
200,0.187,0.,0.187,0.187,0.,0.187,0.186,0.,0.185,0.185,0.,0.185,1.001,0.,1.001,0.994,0.,0.994,19.113,0.002,19.109,2.105,0.022,2.082
