param-n,cbn-regression-cubic-real,cbn-regression-cubic-sys,cbn-regression-cubic-user,cbv-regression-quadratic-real,cbv-regression-quadratic-sys,cbv-regression-quadratic-user,lazy-regression-quadratic-real,lazy-regression-quadratic-sys,lazy-regression-quadratic-user,native-compute(1)-regression-quadratic-real,native-compute(1)-regression-quadratic-sys,native-compute(1)-regression-quadratic-user,native-compute(2)-regression-quadratic-real,native-compute(2)-regression-quadratic-sys,native-compute(2)-regression-quadratic-user,simpl-regression-cubic-real,simpl-regression-cubic-sys,simpl-regression-cubic-user,vm-compute-regression-quadratic-real,vm-compute-regression-quadratic-sys,vm-compute-regression-quadratic-user
2,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.114,0.004,0.,0.112,0.004,0.,0.001,0.,0.,0.,0.,0.
3,0.002,0.,0.002,0.,0.,0.,0.,0.,0.,0.111,0.004,0.,0.112,0.003,0.001,0.02,0.,0.02,0.,0.,0.
4,0.004,0.,0.004,0.,0.,0.,0.,0.,0.,0.114,0.,0.004,0.112,0.004,0.,0.004,0.,0.004,0.,0.,0.
5,0.008,0.,0.008,0.,0.,0.,0.,0.,0.,0.112,0.004,0.,0.113,0.004,0.,0.006,0.,0.006,0.,0.,0.
6,0.013,0.,0.013,0.,0.,0.,0.,0.,0.,0.113,0.003,0.001,0.115,0.004,0.,0.011,0.,0.011,0.,0.,0.
7,0.018,0.,0.018,0.,0.,0.,0.,0.,0.,0.114,0.004,0.,0.113,0.004,0.,0.016,0.,0.016,0.,0.,0.
8,0.023,0.,0.023,0.017,0.007,0.009,0.,0.,0.,0.113,0.005,0.,0.113,0.005,0.,0.055,0.,0.055,0.,0.,0.
9,0.065,0.,0.065,0.,0.,0.,0.,0.,0.,0.112,0.,0.004,0.112,0.003,0.001,0.03,0.,0.03,0.,0.,0.
10,0.043,0.,0.043,0.,0.,0.,0.,0.,0.,0.112,0.004,0.,0.112,0.004,0.,0.04,0.,0.04,0.,0.,0.
11,0.072,0.004,0.067,0.,0.,0.,,,,,,,,,,0.097,0.004,0.093,,,
12,0.077,0.,0.077,,,,0.,0.,0.,,,,,,,0.06,0.,0.06,,,
13,0.106,0.,0.106,,,,,,,,,,,,,0.073,0.,0.073,,,
14,0.097,0.,0.097,,,,,,,,,,,,,0.139,0.,0.139,,,
15,0.142,0.,0.142,,,,,,,,,,,,,0.114,0.,0.114,,,
16,0.123,0.,0.123,,,,,,,,,,,,,0.128,0.,0.128,,,
17,,,,,,,,,,,,,,,,0.147,0.,0.147,,,
18,0.164,0.,0.164,,,,0.019,0.,0.019,,,,,,,0.173,0.,0.173,,,
19,0.2,0.,0.2,0.018,0.,0.018,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,0.224,0.,0.224,,,
22,0.295,0.,0.295,,,,,,,,,,,,,0.294,0.,0.294,,,
23,,,,,,,0.,0.,0.,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,0.355,0.,0.355,,,
25,0.385,0.,0.385,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,0.439,0.,0.439,,,
28,0.521,0.,0.521,0.,0.,0.,0.,0.,0.,,,,,,,0.533,0.,0.533,,,
30,0.646,0.,0.646,,,,,,,,,,,,,0.644,0.,0.644,,,
32,,,,,,,,,,,,,,,,0.738,0.,0.738,,,
33,0.759,0.,0.759,,,,0.001,0.,0.001,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,0.881,0.,0.881,,,
36,0.988,0.,0.988,0.001,0.,0.,,,,,,,,,,,,,,,
39,,,,,,,0.001,0.,0.001,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,1.398,0.,1.398,0.,0.,0.
43,1.6,0.,1.6,,,,,,,,,,,,,,,,,,
44,,,,,,,0.001,0.,0.001,,,,,,,,,,,,
45,,,,0.001,0.,0.001,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,2.076,0.,2.076,,,
49,,,,,,,0.002,0.,0.002,,,,,,,,,,,,
50,2.302,0.,2.302,,,,,,,,,,,,,,,,,,
53,,,,0.001,0.,0.001,,,,,,,,,,,,,,,
54,,,,,,,0.002,0.,0.002,,,,,,,2.944,0.004,2.94,,,
56,3.109,0.,3.109,,,,,,,,,,,,,,,,,,
59,,,,,,,0.002,0.,0.002,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,3.969,0.,3.968,,,
62,,,,0.002,0.,0.002,,,,,,,,,,,,,,,
63,4.527,0.,4.527,,,,,,,,,,,,,,,,,,
65,,,,,,,0.003,0.,0.003,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,5.454,0.,5.454,,,
70,5.866,0.,5.865,,,,0.003,0.,0.003,,,,,,,,,,,,
71,,,,0.002,0.,0.002,,,,,,,,,,,,,,,
75,,,,,,,0.004,0.,0.004,,,,,,,,,,,,
79,,,,0.003,0.,0.003,,,,,,,,,,,,,,,
80,,,,,,,0.034,0.,0.034,,,,,,,,,,0.,0.,0.
86,,,,,,,0.004,0.,0.004,,,,,,,,,,,,
88,,,,0.003,0.,0.003,,,,,,,,,,,,,,,
91,,,,,,,0.005,0.,0.005,,,,,,,,,,,,
