param-n,noop-repeat-rewrite-strat-bottomup-regression-cubic-real,noop-repeat-rewrite-strat-bottomup-regression-cubic-sys,noop-repeat-rewrite-strat-bottomup-regression-cubic-user,noop-repeat-rewrite-strat-topdown-regression-cubic-real,noop-repeat-rewrite-strat-topdown-regression-cubic-sys,noop-repeat-rewrite-strat-topdown-regression-cubic-user,noop-repeat-setoid-rewrite-regression-cubic-real,noop-repeat-setoid-rewrite-regression-cubic-sys,noop-repeat-setoid-rewrite-regression-cubic-user
0,0.,0.,0.,0.,0.,0.,0.,0.,0.
1,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,0.,0.,0.,0.,0.,0.,0.,0.,0.
10,0.003,0.,0.003,0.003,0.,0.002,0.003,0.,0.002
20,0.008,0.,0.008,0.047,0.004,0.042,0.01,0.001,0.008
30,0.02,0.,0.02,0.02,0.,0.02,0.02,0.,0.02
40,0.04,0.,0.04,0.04,0.,0.04,0.041,0.,0.041
50,0.071,0.,0.071,0.072,0.,0.072,0.115,0.004,0.111
60,0.118,0.,0.118,0.118,0.,0.118,0.119,0.,0.119
70,0.182,0.,0.182,0.183,0.,0.182,0.184,0.,0.184
80,0.268,0.,0.268,0.271,0.,0.271,0.272,0.,0.272
90,0.374,0.,0.374,0.373,0.,0.373,0.381,0.,0.379
100,0.507,0.,0.507,0.51,0.,0.51,0.507,0.,0.507
110,0.671,0.,0.671,0.676,0.,0.676,0.671,0.,0.671
120,0.885,0.,0.885,0.876,0.,0.876,0.873,0.,0.872
130,1.105,0.,1.104,1.101,0.,1.101,1.107,0.,1.107
140,1.389,0.,1.388,1.391,0.,1.391,1.394,0.,1.393
150,1.696,0.,1.695,1.705,0.,1.705,1.703,0.,1.703
160,2.076,0.,2.076,2.066,0.,2.066,2.089,0.,2.088
170,2.504,0.,2.504,2.516,0.,2.516,2.491,0.,2.49
180,2.971,0.,2.971,2.973,0.,2.972,3.01,0.,3.009
190,3.486,0.001,3.485,3.515,0.,3.515,3.508,0.001,3.506
200,4.066,0.,4.065,4.066,0.001,4.065,4.04,0.,4.039
