param-n,cbn-regression-cubic-real,cbv-regression-quadratic-real,lazy-regression-quadratic-real,native-compute(1)-native-compute-compilation-real,native-compute(1)-native-compute-conversion-to-native-code-real,native-compute(1)-native-compute-evaluation-real,native-compute(1)-native-compute-reification-real,native-compute(1)-regression-quadratic-real,native-compute(2)-native-compute-compilation-real,native-compute(2)-native-compute-conversion-to-native-code-real,native-compute(2)-native-compute-evaluation-real,native-compute(2)-native-compute-reification-real,native-compute(2)-regression-quadratic-real,simpl-regression-cubic-real,vm-compute-regression-quadratic-real
18908,,,,0.10210,0.00029,0.93861,0.02160,1.062,0.09788,0.00031,0.93510,0.02179,1.055,,
20069,,,,,,,,,,,,,,,8.17
20089,,,,0.09360,0.00029,1.02359,0.02437,1.142,0.09655,0.00028,1.03169,0.02327,1.151,,
21271,,,,0.09637,0.00027,1.16294,0.02329,1.283,0.09431,0.00031,1.16642,0.03606,1.297,,
22452,,,,0.09312,0.00029,1.28883,0.02496,1.407,0.09315,0.00031,1.28757,0.02481,1.406,,
22578,,,,,,,,,,,,,,,10.341
23634,,,,0.09331,0.00025,1.42450,0.02884,1.547,0.09441,0.00030,1.44490,0.02606,1.565,,
25086,,,,,,,,,,,,,,,12.697
28361,,,,0.09673,0.00027,2.03031,0.03096,2.158,0.09553,0.00031,2.07061,0.03047,2.197,,
33087,,,,0.10212,0.00027,2.76256,0.03647,2.901,0.09922,0.00032,2.75075,0.03525,2.885,,
37814,,,,0.09328,0.00029,3.55295,0.04791,3.694,0.09307,0.00029,3.62031,0.04150,3.755,,
42540,,,,0.09502,0.00029,4.56238,0.04997,4.707,0.09692,0.00031,4.60210,0.07477,4.774,,
47267,,,,0.09423,0.00030,5.58590,0.07835,5.758,0.09840,0.00032,5.59724,0.05141,5.747,,
