param-n,abstract+repeat-rewrite-strat-bottomup-regression-cubic-real,abstract+repeat-rewrite-strat-bottomup-regression-cubic-sys,abstract+repeat-rewrite-strat-bottomup-regression-cubic-user,abstract+repeat-rewrite-strat-topdown-regression-cubic-real,abstract+repeat-rewrite-strat-topdown-regression-cubic-sys,abstract+repeat-rewrite-strat-topdown-regression-cubic-user,close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-real,close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-sys,close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-user,close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-real,close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-sys,close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-user,noop-repeat-rewrite-strat-bottomup-regression-cubic-real,noop-repeat-rewrite-strat-bottomup-regression-cubic-sys,noop-repeat-rewrite-strat-bottomup-regression-cubic-user,noop-repeat-rewrite-strat-topdown-regression-cubic-real,noop-repeat-rewrite-strat-topdown-regression-cubic-sys,noop-repeat-rewrite-strat-topdown-regression-cubic-user,repeat-rewrite-strat-bottomup-regression-cubic-real,repeat-rewrite-strat-bottomup-regression-cubic-sys,repeat-rewrite-strat-bottomup-regression-cubic-user,repeat-rewrite-strat-topdown-regression-cubic-real,repeat-rewrite-strat-topdown-regression-cubic-sys,repeat-rewrite-strat-topdown-regression-cubic-user
0,0.006,0.003,0.003,0.005,0.005,0.,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.001,0.,0.004,0.002,0.001,0.003,0.003,0.
1,0.012,0.004,0.008,0.01,0.006,0.004,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.,0.01,0.003,0.006,0.008,0.005,0.003
2,0.019,0.003,0.015,0.017,0.003,0.013,0.002,0.,0.001,0.001,0.,0.001,0.002,0.,0.002,0.001,0.,0.001,0.014,0.003,0.01,0.014,0.003,0.01
3,0.028,0.006,0.021,0.024,0.008,0.016,0.001,0.001,0.,0.001,0.001,0.,0.002,0.,0.001,0.001,0.001,0.,0.024,0.004,0.02,0.02,0.004,0.016
4,0.088,0.029,0.059,0.088,0.023,0.064,0.001,0.,0.001,0.001,0.,0.001,0.002,0.,0.002,0.002,0.,0.001,0.084,0.028,0.055,0.083,0.023,0.06
5,0.04,0.,0.04,0.038,0.,0.038,0.002,0.,0.002,0.002,0.,0.001,0.003,0.,0.003,0.002,0.,0.002,0.034,0.,0.034,0.033,0.,0.033
6,0.059,0.,0.059,0.06,0.,0.06,0.003,0.,0.003,0.002,0.,0.002,0.003,0.,0.003,0.003,0.,0.003,0.052,0.,0.052,0.053,0.,0.053
7,0.068,0.,0.068,0.066,0.,0.066,0.003,0.,0.003,0.003,0.,0.003,0.004,0.,0.004,0.004,0.,0.004,0.06,0.,0.06,0.058,0.,0.058
8,0.086,0.,0.086,0.085,0.,0.085,0.004,0.,0.004,0.004,0.,0.004,0.004,0.,0.004,0.004,0.,0.004,0.077,0.,0.077,0.076,0.,0.076
9,0.107,0.,0.107,0.104,0.,0.104,0.004,0.,0.004,0.004,0.,0.004,0.005,0.,0.005,0.005,0.,0.005,0.096,0.,0.096,0.093,0.,0.093
10,0.191,0.027,0.163,0.189,0.012,0.177,0.005,0.,0.005,0.005,0.,0.005,0.006,0.,0.006,0.007,0.,0.007,0.179,0.027,0.151,0.176,0.011,0.164
11,0.157,0.,0.157,0.154,0.,0.154,0.006,0.,0.006,0.006,0.,0.006,0.007,0.,0.007,0.007,0.,0.007,0.144,0.,0.143,0.14,0.,0.14
12,0.192,0.,0.192,0.185,0.,0.185,0.007,0.,0.007,0.006,0.,0.006,0.008,0.,0.008,0.008,0.,0.008,0.176,0.,0.176,0.17,0.,0.17
13,0.221,0.,0.221,0.219,0.,0.219,0.007,0.,0.007,0.007,0.,0.007,0.009,0.,0.009,0.009,0.,0.009,0.204,0.,0.204,0.202,0.,0.202
14,0.266,0.,0.266,0.261,0.,0.261,0.008,0.,0.008,0.009,0.,0.009,0.01,0.,0.01,0.011,0.,0.011,0.247,0.,0.247,0.239,0.,0.239
15,0.318,0.,0.318,0.308,0.,0.308,0.009,0.,0.009,0.009,0.,0.009,0.011,0.,0.011,0.011,0.,0.011,0.297,0.,0.297,0.286,0.,0.286
16,0.375,0.,0.375,0.357,0.,0.357,0.01,0.,0.01,0.01,0.,0.01,0.013,0.,0.013,0.013,0.,0.013,0.351,0.,0.351,0.332,0.,0.332
17,0.431,0.,0.431,0.413,0.,0.413,0.011,0.,0.011,0.012,0.,0.012,0.013,0.,0.013,0.014,0.,0.014,0.405,0.,0.405,0.385,0.,0.385
18,0.489,0.,0.489,0.482,0.,0.482,0.012,0.,0.012,0.013,0.,0.013,0.015,0.,0.015,0.015,0.,0.015,0.46,0.,0.46,0.453,0.,0.453
19,0.57,0.,0.57,0.559,0.,0.559,0.013,0.,0.013,0.013,0.,0.013,0.017,0.,0.017,0.017,0.,0.017,0.538,0.,0.538,0.528,0.,0.528
20,0.635,0.,0.634,0.646,0.,0.646,0.014,0.,0.014,0.014,0.,0.014,0.02,0.,0.02,0.019,0.,0.019,0.599,0.,0.599,0.611,0.,0.611
21,0.749,0.,0.749,0.748,0.,0.748,0.016,0.,0.016,0.016,0.,0.016,0.023,0.,0.023,0.02,0.,0.02,0.707,0.,0.707,0.711,0.,0.711
22,0.833,0.,0.833,0.859,0.,0.859,0.017,0.,0.017,0.017,0.,0.017,0.022,0.,0.022,0.031,0.,0.031,0.793,0.,0.793,0.81,0.,0.81
23,0.941,0.,0.941,0.947,0.,0.947,0.021,0.,0.021,0.019,0.,0.019,0.024,0.,0.024,0.024,0.,0.024,0.894,0.,0.894,0.903,0.,0.902
24,1.076,0.,1.076,1.07,0.,1.07,0.02,0.,0.02,0.02,0.,0.02,0.028,0.,0.028,0.026,0.,0.026,1.026,0.,1.026,1.023,0.,1.023
25,1.198,0.,1.198,1.198,0.,1.198,0.02,0.,0.02,0.022,0.,0.022,0.03,0.,0.03,0.028,0.,0.028,1.147,0.,1.147,1.147,0.,1.147
30,2.069,0.,2.068,2.09,0.,2.09,0.029,0.,0.029,0.03,0.,0.03,0.042,0.,0.042,0.043,0.,0.043,1.996,0.,1.996,2.016,0.,2.016
35,3.365,0.,3.365,3.342,0.,3.342,0.037,0.,0.037,0.039,0.,0.039,0.065,0.,0.065,0.059,0.,0.059,3.261,0.,3.261,3.243,0.,3.243
40,5.266,0.,5.26,5.186,0.,5.186,0.047,0.,0.047,0.051,0.,0.051,0.087,0.,0.087,0.079,0.,0.079,5.131,0.,5.125,5.054,0.,5.054
45,7.843,0.,7.843,7.785,0.002,7.782,0.059,0.,0.059,0.057,0.,0.057,0.112,0.,0.112,0.109,0.,0.109,7.67,0.,7.67,7.617,0.002,7.615
50,11.343,0.003,11.336,11.283,0.,11.282,0.072,0.,0.072,0.071,0.,0.07,0.143,0.,0.143,0.142,0.,0.142,11.127,0.003,11.12,11.069,0.,11.068
