param-n,cbn-regression-cubic-real,cbn-regression-cubic-sys,cbn-regression-cubic-user,cbv-regression-quadratic-real,cbv-regression-quadratic-sys,cbv-regression-quadratic-user,lazy-regression-quadratic-real,lazy-regression-quadratic-sys,lazy-regression-quadratic-user,native-compute(1)-regression-quadratic-real,native-compute(1)-regression-quadratic-sys,native-compute(1)-regression-quadratic-user,native-compute(2)-regression-quadratic-real,native-compute(2)-regression-quadratic-sys,native-compute(2)-regression-quadratic-user,simpl-regression-cubic-real,simpl-regression-cubic-sys,simpl-regression-cubic-user,vm-compute-regression-quadratic-real,vm-compute-regression-quadratic-sys,vm-compute-regression-quadratic-user
2,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.084,0.,0.004,0.083,0.,0.004,0.001,0.,0.001,0.,0.,0.
3,0.003,0.,0.003,0.,0.,0.,0.,0.,0.,0.081,0.003,0.,0.083,0.,0.004,0.002,0.,0.002,0.,0.,0.
4,0.047,0.007,0.039,0.,0.,0.,0.,0.,0.,0.084,0.,0.004,0.084,0.003,0.001,0.046,0.,0.046,0.,0.,0.
5,0.01,0.,0.009,0.,0.,0.,0.,0.,0.,0.084,0.004,0.,0.079,0.004,0.,0.008,0.,0.008,0.,0.,0.
6,0.016,0.,0.016,0.,0.,0.,0.,0.,0.,0.079,0.,0.004,0.08,0.004,0.,0.014,0.,0.014,0.,0.,0.
7,0.022,0.,0.022,0.,0.,0.,0.,0.,0.,0.084,0.,0.004,0.08,0.,0.004,0.02,0.,0.02,0.,0.,0.
8,0.044,0.,0.044,0.,0.,0.,0.,0.,0.,0.08,0.004,0.,0.084,0.,0.004,0.044,0.,0.044,0.,0.,0.
9,0.039,0.,0.039,0.,0.,0.,0.,0.,0.,0.081,0.,0.004,0.081,0.004,0.,0.038,0.,0.038,0.,0.,0.
10,0.052,0.,0.052,0.,0.,0.,0.04,0.,0.04,0.079,0.,0.004,0.083,0.,0.004,0.067,0.,0.067,0.,0.,0.
11,0.107,0.016,0.091,0.,0.,0.,,,,,,,,,,0.127,0.019,0.107,,,
12,0.144,0.,0.144,,,,0.,0.,0.,,,,,,,0.085,0.,0.084,,,
13,0.111,0.,0.111,,,,,,,,,,,,,0.112,0.,0.112,,,
14,0.14,0.,0.14,,,,,,,,,,,,,0.179,0.015,0.163,,,
15,0.165,0.,0.165,,,,,,,,,,,,,0.245,0.003,0.241,,,
16,0.266,0.,0.266,,,,,,,,,,,,,0.192,0.,0.192,,,
17,,,,,,,,,,,,,,,,0.203,0.,0.203,,,
18,0.321,0.,0.321,,,,0.,0.,0.,,,,,,,0.346,0.,0.345,,,
19,0.279,0.,0.279,0.,0.,0.,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,0.435,0.,0.435,,,
22,0.55,0.,0.55,,,,,,,,,,,,,0.421,0.003,0.417,,,
23,,,,,,,0.001,0.,0.,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,0.62,0.,0.62,,,
25,0.664,0.,0.663,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,0.602,0.,0.602,,,
28,0.691,0.003,0.687,0.001,0.,0.001,0.042,0.,0.042,,,,,,,0.692,0.,0.692,,,
30,0.804,0.,0.804,,,,,,,,,,,,,0.842,0.,0.842,,,
32,,,,,,,,,,,,,,,,0.966,0.,0.966,,,
33,0.967,0.,0.967,,,,0.001,0.,0.001,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,1.148,0.,1.148,,,
36,1.237,0.,1.237,0.042,0.024,0.018,,,,,,,,,,,,,,,
39,,,,,,,0.002,0.,0.002,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,1.85,0.,1.85,0.,0.,0.
43,1.995,0.,1.995,,,,,,,,,,,,,,,,,,
44,,,,,,,0.002,0.,0.002,,,,,,,,,,,,
45,,,,0.002,0.002,0.,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,2.753,0.003,2.749,,,
49,,,,,,,0.002,0.,0.002,,,,,,,,,,,,
50,2.92,0.,2.919,,,,,,,,,,,,,,,,,,
53,,,,0.002,0.,0.002,,,,,,,,,,,,,,,
54,,,,,,,0.003,0.,0.003,,,,,,,3.913,0.003,3.909,,,
56,3.974,0.,3.973,,,,,,,,,,,,,,,,,,
59,,,,,,,0.003,0.,0.003,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,5.229,0.004,5.224,,,
62,,,,0.003,0.,0.003,,,,,,,,,,,,,,,
63,5.813,0.,5.813,,,,,,,,,,,,,,,,,,
65,,,,,,,0.004,0.,0.004,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,7.266,0.019,7.245,,,
70,7.682,0.,7.681,,,,0.005,0.,0.005,,,,,,,,,,,,
71,,,,0.003,0.,0.003,,,,,,,,,,,,,,,
75,,,,,,,0.005,0.,0.005,,,,,,,,,,,,
79,,,,0.004,0.,0.004,,,,,,,,,,,,,,,
80,,,,,,,0.006,0.,0.006,,,,,,,,,,0.,0.,0.
86,,,,,,,0.022,0.,0.022,,,,,,,,,,,,
88,,,,0.005,0.,0.005,,,,,,,,,,,,,,,
91,,,,,,,0.007,0.,0.007,,,,,,,,,,,,
96,,,,0.006,0.,0.006,0.008,0.,0.008,,,,,,,,,,,,
101,,,,,,,0.008,0.,0.008,,,,,,,,,,,,
105,,,,0.007,0.,0.007,,,,,,,,,,,,,,,
106,,,,,,,0.01,0.,0.01,,,,,,,,,,,,
112,,,,,,,0.01,0.,0.01,,,,,,,,,,,,
113,,,,0.023,0.,0.023,,,,,,,,,,,,,,,
116,,,,,,,,,,0.093,0.003,0.001,0.089,0.003,0.001,,,,,,
117,,,,,,,0.011,0.,0.011,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,0.,0.,0.
122,,,,0.008,0.,0.008,0.012,0.,0.012,,,,,,,,,,,,
127,,,,,,,0.031,0.,0.031,,,,,,,,,,,,
130,,,,0.009,0.,0.009,,,,,,,,,,,,,,,
133,,,,,,,0.014,0.,0.014,,,,,,,,,,,,
138,,,,,,,0.015,0.,0.015,,,,,,,,,,,,
139,,,,0.01,0.,0.01,,,,,,,,,,,,,,,
143,,,,,,,0.018,0.,0.018,,,,,,,,,,,,
148,,,,0.012,0.,0.012,0.017,0.,0.017,,,,,,,,,,,,
153,,,,,,,0.021,0.,0.021,,,,,,,,,,,,
156,,,,0.013,0.,0.013,,,,,,,,,,,,,,,
159,,,,,,,0.019,0.,0.019,,,,,,,,,,0.042,0.003,0.038
164,,,,,,,0.12,0.,0.12,,,,,,,,,,,,
165,,,,0.014,0.,0.014,,,,,,,,,,,,,,,
169,,,,,,,0.021,0.,0.021,,,,,,,,,,,,
173,,,,0.034,0.,0.034,,,,,,,,,,,,,,,
174,,,,,,,0.024,0.,0.024,,,,,,,,,,,,
180,,,,,,,0.023,0.,0.023,,,,,,,,,,,,
182,,,,0.016,0.,0.016,,,,,,,,,,,,,,,
185,,,,,,,0.052,0.,0.052,,,,,,,,,,,,
190,,,,0.018,0.,0.018,0.026,0.,0.026,,,,,,,,,,,,
195,,,,,,,0.029,0.,0.029,,,,,,,,,,,,
198,,,,,,,,,,,,,,,,,,,0.001,0.,0.001
199,,,,0.02,0.,0.02,,,,,,,,,,,,,,,
200,,,,,,,0.029,0.,0.029,,,,,,,,,,,,
206,,,,,,,0.03,0.,0.03,,,,,,,,,,,,
208,,,,0.02,0.,0.02,,,,,,,,,,,,,,,
211,,,,,,,0.034,0.,0.034,,,,,,,,,,,,
216,,,,0.023,0.,0.023,0.05,0.,0.05,,,,,,,,,,,,
221,,,,,,,0.037,0.,0.037,,,,,,,,,,,,
225,,,,0.123,0.,0.123,,,,,,,,,,,,,,,
227,,,,,,,0.056,0.,0.056,,,,,,,,,,,,
229,,,,,,,,,,0.134,0.007,0.042,0.088,0.004,0.001,,,,,,
232,,,,,,,0.037,0.,0.037,,,,,,,,,,,,
233,,,,0.024,0.,0.024,,,,,,,,,,,,,,,
237,,,,,,,0.139,0.,0.139,,,,,,,,,,0.001,0.,0.001
242,,,,0.027,0.,0.027,0.041,0.,0.041,,,,,,,,,,,,
247,,,,,,,0.068,0.,0.068,,,,,,,,,,,,
250,,,,0.054,0.,0.054,,,,,,,,,,,,,,,
253,,,,,,,0.047,0.,0.047,,,,,,,,,,,,
258,,,,,,,0.044,0.,0.044,,,,,,,,,,,,
259,,,,0.029,0.,0.029,,,,,,,,,,,,,,,
263,,,,,,,0.051,0.,0.051,,,,,,,,,,,,
268,,,,0.033,0.,0.033,0.07,0.,0.07,,,,,,,,,,,,
273,,,,,,,0.071,0.,0.071,,,,,,,,,,,,
276,,,,0.034,0.,0.034,,,,,,,,,,,,,0.002,0.,0.002
279,,,,,,,0.154,0.,0.154,,,,,,,,,,,,
284,,,,,,,0.06,0.,0.06,,,,,,,,,,,,
285,,,,0.037,0.,0.037,,,,,,,,,,,,,,,
289,,,,,,,0.093,0.,0.093,,,,,,,,,,,,
292,,,,,,,0.113,0.,0.113,,,,,,,,,,,,
293,,,,0.054,0.,0.054,,,,,,,,,,,,,,,
294,,,,,,,0.057,0.,0.057,,,,,,,,,,,,
300,,,,,,,0.062,0.,0.062,,,,,,,,,,,,
302,,,,0.04,0.,0.04,,,,,,,,,,,,,,,
305,,,,,,,0.086,0.,0.086,,,,,,,,,,,,
310,,,,0.06,0.,0.06,0.086,0.,0.086,,,,,,,,,,,,
315,,,,,,,0.141,0.,0.141,,,,,,,,,,,,
316,,,,,,,,,,,,,,,,,,,0.003,0.,0.003
319,,,,0.144,0.,0.144,,,,,,,,,,,,,,,
320,,,,,,,0.071,0.,0.071,,,,,,,,,,,,
326,,,,,,,0.08,0.,0.08,,,,,,,,,,,,
328,,,,0.045,0.,0.045,,,,,,,,,,,,,,,
331,,,,,,,0.082,0.003,0.078,,,,,,,,,,,,
336,,,,0.074,0.,0.074,0.098,0.004,0.094,,,,,,,,,,,,
341,,,,,,,0.093,0.,0.093,,,,,,,,,,,,
343,,,,,,,,,,0.087,0.,0.005,0.089,0.,0.006,,,,,,
345,,,,0.049,0.,0.049,,,,,,,,,,,,,,,
347,,,,,,,0.089,0.,0.089,,,,,,,,,,,,
352,,,,,,,0.084,0.,0.084,,,,,,,,,,,,
353,,,,0.049,0.,0.049,,,,,,,,,,,,,,,
355,,,,,,,,,,,,,,,,,,,0.003,0.,0.003
357,,,,,,,0.083,0.,0.083,,,,,,,,,,,,
362,,,,0.07,0.,0.07,0.091,0.,0.091,,,,,,,,,,,,
367,,,,,,,0.095,0.,0.095,,,,,,,,,,,,
370,,,,0.057,0.,0.057,,,,,,,,,,,,,,,
373,,,,,,,0.095,0.,0.095,,,,,,,,,,,,
378,,,,,,,0.102,0.,0.102,,,,,,,,,,,,
379,,,,0.076,0.,0.076,,,,,,,,,,,,,,,
383,,,,,,,0.099,0.,0.099,,,,,,,,,,,,
387,,,,0.16,0.,0.16,,,,,,,,,,,,,,,
388,,,,,,,0.102,0.,0.102,,,,,,,,,,,,
394,,,,,,,0.1,0.,0.1,,,,,,,,,,0.004,0.,0.004
396,,,,0.089,0.,0.089,,,,,,,,,,,,,,,
399,,,,,,,0.105,0.,0.105,,,,,,,,,,,,
404,,,,,,,0.118,0.003,0.115,,,,,,,,,,,,
405,,,,0.064,0.,0.064,,,,,,,,,,,,,,,
409,,,,,,,0.125,0.004,0.121,,,,,,,,,,,,
413,,,,0.084,0.,0.084,,,,,,,,,,,,,,,
414,,,,,,,0.13,0.003,0.126,,,,,,,,,,,,
420,,,,,,,0.125,0.,0.125,,,,,,,,,,,,
422,,,,0.07,0.,0.07,,,,,,,,,,,,,,,
425,,,,,,,0.119,0.,0.119,,,,,,,,,,,,
430,,,,0.095,0.,0.095,0.15,0.,0.15,,,,,,,,,,,,
433,,,,,,,,,,,,,,,,,,,0.005,0.,0.005
435,,,,,,,0.153,0.,0.153,,,,,,,,,,,,
439,,,,0.076,0.,0.076,,,,,,,,,,,,,,,
441,,,,,,,0.158,0.,0.158,,,,,,,,,,,,
446,,,,,,,0.146,0.,0.146,,,,,,,,,,,,
447,,,,0.078,0.,0.078,,,,,,,,,,,,,,,
451,,,,,,,0.176,0.011,0.164,,,,,,,,,,,,
456,,,,0.082,0.,0.082,,,,0.085,0.004,0.001,0.084,0.,0.005,,,,,,
458,,,,0.139,0.023,0.115,,,,,,,,,,,,,,,
465,,,,0.085,0.,0.085,,,,,,,,,,,,,,,
469,,,,,,,0.175,0.003,0.171,,,,,,,,,,,,
472,,,,,,,,,,,,,,,,,,,0.005,0.,0.005
473,,,,0.088,0.,0.088,,,,,,,,,,,,,,,
482,,,,0.092,0.,0.092,,,,,,,,,,,,,,,
487,,,,,,,0.184,0.004,0.18,,,,,,,,,,,,
490,,,,0.091,0.,0.091,,,,,,,,,,,,,,,
499,,,,0.095,0.,0.095,,,,,,,,,,,,,,,
505,,,,,,,0.179,0.003,0.175,,,,,,,,,,,,
507,,,,0.095,0.,0.095,,,,,,,,,,,,,,,
511,,,,,,,,,,,,,,,,,,,0.006,0.,0.006
516,,,,0.1,0.,0.1,,,,,,,,,,,,,,,
523,,,,,,,0.2,0.,0.2,,,,,,,,,,,,
525,,,,0.106,0.,0.106,,,,,,,,,,,,,,,
533,,,,0.11,0.,0.11,,,,,,,,,,,,,,,
541,,,,,,,0.215,0.004,0.211,,,,,,,,,,,,
542,,,,0.11,0.,0.11,,,,,,,,,,,,,,,
550,,,,0.117,0.,0.117,,,,,,,,,,,,,,,
551,,,,,,,,,,,,,,,,,,,0.024,0.,0.024
559,,,,0.119,0.,0.119,0.228,0.007,0.22,,,,,,,,,,,,
567,,,,0.122,0.,0.122,,,,,,,,,,,,,,,
570,,,,,,,,,,0.087,0.,0.005,0.087,0.,0.006,,,,,,
576,,,,0.125,0.,0.125,,,,,,,,,,,,,,,
577,,,,,,,0.238,0.,0.238,,,,,,,,,,,,
583,,,,,,,0.252,0.011,0.24,,,,,,,,,,,,
585,,,,0.126,0.,0.126,,,,,,,,,,,,,,,
590,,,,,,,,,,,,,,,,,,,0.008,0.,0.008
593,,,,0.131,0.,0.131,,,,,,,,,,,,,,,
595,,,,,,,0.293,0.004,0.289,,,,,,,,,,,,
602,,,,0.134,0.,0.134,,,,,,,,,,,,,,,
610,,,,0.139,0.,0.139,,,,,,,,,,,,,,,
613,,,,,,,0.322,0.,0.322,,,,,,,,,,,,
619,,,,0.142,0.,0.142,,,,,,,,,,,,,,,
627,,,,0.144,0.,0.144,,,,,,,,,,,,,,,
629,,,,,,,,,,,,,,,,,,,0.009,0.,0.009
631,,,,,,,0.33,0.,0.33,,,,,,,,,,,,
636,,,,0.152,0.,0.152,,,,,,,,,,,,,,,
644,,,,0.152,0.,0.152,,,,,,,,,,,,,,,
649,,,,,,,0.301,0.,0.301,,,,,,,,,,,,
653,,,,0.159,0.,0.159,,,,,,,,,,,,,,,
662,,,,0.161,0.,0.161,,,,,,,,,,,,,,,
667,,,,,,,0.348,0.007,0.34,,,,,,,,,,,,
668,,,,,,,,,,,,,,,,,,,0.01,0.,0.01
670,,,,0.165,0.,0.165,,,,,,,,,,,,,,,
679,,,,0.172,0.,0.172,,,,,,,,,,,,,,,
684,,,,,,,,,,0.089,0.003,0.004,0.086,0.004,0.002,,,,,,
685,,,,,,,0.355,0.,0.355,,,,,,,,,,,,
687,,,,0.172,0.,0.172,,,,,,,,,,,,,,,
696,,,,0.18,0.,0.18,,,,,,,,,,,,,,,
703,,,,,,,0.43,0.,0.43,,,,,,,,,,,,
704,,,,0.183,0.,0.183,,,,,,,,,,,,,,,
707,,,,,,,,,,,,,,,,,,,0.012,0.,0.012
713,,,,0.186,0.,0.186,,,,,,,,,,,,,,,
721,,,,,,,0.427,0.,0.427,,,,,,,,,,,,
739,,,,,,,0.405,0.,0.405,,,,,,,,,,,,
744,,,,0.201,0.,0.201,,,,,,,,,,,,,,,
747,,,,,,,,,,,,,,,,,,,0.013,0.,0.013
757,,,,,,,0.437,0.,0.437,,,,,,,,,,,,
775,,,,0.217,0.,0.217,0.492,0.,0.492,,,,,,,,,,,,
786,,,,,,,,,,,,,,,,,,,0.014,0.,0.014
793,,,,,,,0.509,0.,0.509,,,,,,,,,,,,
797,,,,,,,,,,0.086,0.003,0.004,0.088,0.003,0.005,,,,,,
806,,,,0.232,0.,0.232,,,,,,,,,,,,,,,
811,,,,,,,0.503,0.,0.503,,,,,,,,,,,,
825,,,,,,,,,,,,,,,,,,,0.016,0.,0.016
829,,,,,,,0.546,0.,0.546,,,,,,,,,,,,
837,,,,0.248,0.,0.248,,,,,,,,,,,,,,,
847,,,,,,,0.622,0.,0.622,,,,,,,,,,,,
864,,,,,,,,,,,,,,,,,,,0.016,0.,0.016
865,,,,,,,0.575,0.,0.575,,,,,,,,,,,,
868,,,,0.265,0.,0.265,,,,,,,,,,,,,,,
873,,,,,,,0.844,0.008,0.835,,,,,,,,,,,,
883,,,,,,,0.631,0.,0.631,,,,,,,,,,,,
898,,,,0.283,0.,0.283,,,,,,,,,,,,,,,
901,,,,,,,0.645,0.,0.645,,,,,,,,,,,,
903,,,,,,,,,,,,,,,,,,,0.018,0.,0.018
911,,,,,,,,,,0.088,0.004,0.004,0.088,0.004,0.004,,,,,,
914,,,,0.432,0.,0.432,,,,,,,,,,,,,,,
929,,,,0.3,0.,0.3,,,,,,,,,,,,,,,
943,,,,,,,,,,,,,,,,,,,0.038,0.,0.038
960,,,,0.319,0.,0.319,,,,,,,,,,,,,,,
982,,,,,,,,,,,,,,,,,,,0.021,0.,0.021
991,,,,0.341,0.,0.34,0.788,0.011,0.776,,,,,,,,,,,,
1021,,,,,,,,,,,,,,,,,,,0.022,0.,0.022
1022,,,,0.363,0.,0.363,,,,,,,,,,,,,,,
1025,,,,,,,,,,0.09,0.003,0.006,0.09,0.,0.01,,,,,,
1053,,,,0.381,0.,0.381,,,,,,,,,,,,,,,
1060,,,,,,,,,,,,,,,,,,,0.024,0.,0.024
1081,,,,,,,0.968,0.,0.968,,,,,,,,,,,,
1084,,,,0.4,0.,0.4,,,,,,,,,,,,,,,
1099,,,,,,,,,,,,,,,,,,,0.026,0.,0.026
1115,,,,0.426,0.,0.426,,,,,,,,,,,,,,,
1138,,,,,,,,,,0.116,0.011,0.022,0.095,0.,0.011,,,,0.028,0.,0.028
1146,,,,0.449,0.,0.449,,,,,,,,,,,,,,,
1164,,,,,,,1.233,0.015,1.217,,,,,,,,,,,,
1171,,,,,,,1.08,0.,1.08,,,,,,,,,,,,
1177,,,,0.477,0.,0.477,,,,,,,,,,,,,,,
1178,,,,,,,,,,,,,,,,,,,0.13,0.,0.13
1208,,,,0.497,0.,0.497,,,,,,,,,,,,,,,
1217,,,,,,,,,,,,,,,,,,,0.031,0.,0.031
1239,,,,0.521,0.003,0.517,,,,,,,,,,,,,,,
1252,,,,,,,,,,0.093,0.003,0.009,0.093,0.003,0.008,,,,,,
1256,,,,,,,,,,,,,,,,,,,0.033,0.,0.033
1261,,,,,,,1.277,0.,1.277,,,,,,,,,,,,
1269,,,,0.542,0.,0.542,,,,,,,,,,,,,,,
1295,,,,,,,,,,,,,,,,,,,0.035,0.,0.035
1300,,,,0.556,0.,0.556,,,,,,,,,,,,,,,
1331,,,,0.597,0.,0.597,,,,,,,,,,,,,,,
1334,,,,,,,,,,,,,,,,,,,0.065,0.,0.065
1351,,,,,,,1.446,0.,1.446,,,,,,,,,,,,
1362,,,,0.619,0.,0.619,,,,,,,,,,,,,,,
1365,,,,,,,,,,0.098,0.004,0.01,0.093,0.,0.013,,,,,,
1370,,,,0.814,0.,0.814,,,,,,,,,,,,,,,
1374,,,,,,,,,,,,,,,,,,,0.039,0.,0.039
1393,,,,0.639,0.,0.639,,,,,,,,,,,,,,,
1413,,,,,,,,,,,,,,,,,,,0.042,0.,0.042
1424,,,,0.671,0.,0.671,,,,,,,,,,,,,,,
1441,,,,,,,1.679,0.015,1.662,,,,,,,,,,,,
1452,,,,,,,,,,,,,,,,,,,0.044,0.,0.044
1454,,,,,,,2.045,0.008,2.037,,,,,,,,,,,,
1479,,,,,,,,,,0.101,0.004,0.014,0.099,0.,0.014,,,,,,
1491,,,,,,,,,,,,,,,,,,,0.046,0.,0.046
1530,,,,,,,,,,,,,,,,,,,0.048,0.,0.048
1531,,,,,,,1.896,0.011,1.884,,,,,,,,,,,,
1566,,,,0.787,0.,0.787,,,,,,,,,,,,,,,
1570,,,,,,,,,,,,,,,,,,,0.067,0.,0.067
1593,,,,,,,,,,0.101,0.003,0.013,0.097,0.003,0.012,,,,,,
1609,,,,,,,,,,,,,,,,,,,0.054,0.003,0.05
1621,,,,,,,2.113,0.016,2.097,,,,,,,,,,,,
1648,,,,,,,,,,,,,,,,,,,0.074,0.,0.074
1687,,,,,,,,,,,,,,,,,,,0.158,0.,0.158
1706,,,,,,,,,,0.101,0.004,0.014,0.127,0.,0.044,,,,,,
1709,,,,0.946,0.,0.946,,,,,,,,,,,,,,,
1711,,,,,,,2.336,0.,2.336,,,,,,,,,,,,
1726,,,,,,,,,,,,,,,,,,,0.06,0.,0.06
1765,,,,,,,,,,,,,,,,,,,0.091,0.,0.091
1801,,,,,,,2.638,0.,2.638,,,,,,,,,,,,
1805,,,,,,,,,,,,,,,,,,,0.066,0.,0.066
1820,,,,,,,,,,0.1,0.003,0.016,0.102,0.003,0.016,,,,,,
1826,,,,1.237,0.,1.237,,,,,,,,,,,,,,,
1844,,,,,,,,,,,,,,,,,,,0.068,0.,0.068
1851,,,,1.106,0.,1.106,,,,,,,,,,,,,,,
1883,,,,,,,,,,,,,,,,,,,0.087,0.,0.087
1922,,,,,,,,,,,,,,,,,,,0.091,0.,0.091
1933,,,,,,,,,,0.102,0.003,0.017,0.107,0.004,0.021,,,,,,
1961,,,,,,,,,,,,,,,,,,,0.176,0.,0.175
1993,,,,1.262,0.,1.262,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,0.106,0.,0.106
2013,,,,,,,,,,,,,,,,,,,0.136,0.016,0.12
2040,,,,,,,,,,,,,,,,,,,0.083,0.,0.083
2047,,,,,,,,,,0.106,0.002,0.021,0.105,0.005,0.018,,,,,,
2079,,,,,,,,,,,,,,,,,,,0.085,0.,0.085
2118,,,,,,,,,,,,,,,,,,,0.105,0.,0.105
2136,,,,1.462,0.,1.461,,,,,,,,,,,,,,,
2157,,,,,,,,,,,,,,,,,,,0.092,0.,0.092
2161,,,,,,,3.911,0.,3.91,0.107,0.003,0.023,0.107,0.003,0.021,,,,,,
2197,,,,,,,,,,,,,,,,,,,0.12,0.,0.12
2236,,,,,,,,,,,,,,,,,,,0.1,0.,0.1
2274,,,,,,,,,,0.108,0.003,0.024,0.223,0.007,0.133,,,,,,
2275,,,,,,,,,,,,,,,,,,,0.103,0.,0.103
2278,,,,1.647,0.,1.647,,,,,,,,,,,,,,,
2282,,,,1.668,0.,1.668,,,,,,,,,,,,,,,
2314,,,,,,,,,,,,,,,,,,,0.105,0.,0.105
2353,,,,,,,,,,,,,,,,,,,0.111,0.,0.111
2388,,,,,,,,,,0.112,0.008,0.021,0.11,0.004,0.025,,,,,,
2392,,,,,,,,,,,,,,,,,,,0.113,0.,0.113
2420,,,,1.865,0.003,1.861,,,,,,,,,,,,,,,
2432,,,,,,,,,,,,,,,,,,,0.117,0.,0.117
2471,,,,,,,,,,,,,,,,,,,0.12,0.,0.12
2502,,,,,,,,,,0.118,0.003,0.031,0.115,0.003,0.028,,,,,,
2510,,,,,,,,,,,,,,,,,,,0.123,0.,0.123
2521,,,,,,,5.242,0.015,5.226,,,,,,,,,,,,
2549,,,,,,,,,,,,,,,,,,,0.127,0.,0.127
2562,,,,2.088,0.004,2.083,,,,,,,,,,,,,,,
2588,,,,,,,,,,,,,,,,,,,0.131,0.,0.131
2615,,,,,,,,,,0.151,0.003,0.063,0.118,0.004,0.03,,,,,,
2628,,,,,,,,,,,,,,,,,,,0.135,0.,0.135
2667,,,,,,,,,,,,,,,,,,,0.139,0.003,0.136
