param-0-nm,param-1-n,param-2-m,param-3-input-size,param-4-output-size,param-5-num-rewrites,autorewrite-regression-cubic-real,rewrite!-regression-cubic-real,rewrite-strat(bottomup)-regression-cubic-real,rewrite-strat(topdown)-regression-cubic-real,setoid-rewrite-regression-cubic-real,ssr-rewrite!-regression-cubic-real
257,0,257,517,3,257,0.295,,,,0.671,
258,0,258,519,3,258,,0.295,,,,
259,2,37,533,15,259,0.127,,,,0.463,
261,1,87,529,7,261,,0.216,,,,
266,2,38,547,15,266,,,,,,0.308
270,1,90,547,7,270,,,,0.319,,0.51
270,3,18,571,31,270,,0.092,,0.212,0.396,0.186
279,1,93,565,7,279,0.254,,,,,
279,4,9,621,63,279,,0.051,,0.154,0.337,
280,2,40,575,15,280,,,,0.266,,
281,0,281,565,3,281,,,,0.446,,
283,0,283,569,3,283,0.421,,,,,
285,3,19,601,31,285,,0.102,,,0.422,0.196
286,0,286,575,3,286,0.369,,,,,
287,0,287,577,3,287,,0.362,,,,
287,2,41,589,15,287,,0.166,,,,
288,0,288,579,3,288,,,,0.552,,
300,3,20,631,31,300,0.096,0.111,,,0.467,0.226
301,2,43,617,15,301,0.166,,,,,
303,1,101,613,7,303,,,,0.39,,
306,1,102,619,7,306,,0.293,,,,
309,0,309,621,3,309,,,,0.553,,
310,4,10,683,63,310,0.065,0.066,,0.201,,
315,0,315,633,3,315,0.45,,,,,
315,1,105,637,7,315,0.308,,,,,
315,2,45,645,15,315,,,,0.35,,
315,3,21,661,31,315,,0.125,,0.267,0.518,0.245
315,5,5,757,127,315,0.041,0.041,,0.169,,0.101
316,0,316,635,3,316,,0.455,,,,
330,3,22,691,31,330,,0.129,,,0.562,0.268
336,1,112,679,7,336,,,,0.496,,
337,0,337,677,3,337,,,,0.674,,
341,4,11,745,63,341,0.073,,,0.239,,
342,0,342,687,3,342,,0.512,,,,
343,2,49,701,15,343,0.214,0.222,,0.392,,
345,3,23,721,31,345,,0.134,,,0.638,0.279
350,2,50,715,15,350,,,,0.4,,
357,2,51,729,15,357,,,,0.416,,
360,3,24,751,31,360,,0.15,,,0.687,0.306
364,2,52,743,15,364,,,,0.53,,
371,2,53,757,15,371,,,,0.453,,
372,4,12,807,63,372,0.084,0.087,,,,
375,3,25,781,31,375,,0.172,,,0.748,0.333
378,2,54,771,15,378,,,,0.505,,
378,5,6,883,127,378,0.058,,,0.22,,0.137
381,6,3,1017,255,381,,0.047,,,0.393,0.091
385,0,385,773,3,385,,,,,1.401,
385,2,55,785,15,385,,,,0.471,0.952,
390,3,26,811,31,390,,0.173,,,0.76,0.356
392,2,56,799,15,392,,,,0.49,,
399,2,57,813,15,399,,,,0.505,,
403,4,13,869,63,403,0.103,,,,0.641,
405,3,27,841,31,405,,0.187,,,,0.389
406,2,58,827,15,406,,,,0.646,,
413,2,59,841,15,413,,,,0.603,,
420,2,60,855,15,420,,,,0.622,,
420,3,28,871,31,420,,0.202,,,,0.412
427,0,427,857,3,427,,0.777,,,,
427,2,61,869,15,427,0.325,0.35,,0.689,,
434,2,62,883,15,434,,,,0.602,,
434,4,14,931,63,434,0.121,0.121,,0.406,,0.295
435,3,29,901,31,435,,0.212,,,,0.448
441,2,63,897,15,441,,,,0.614,,
441,5,7,1009,127,441,0.077,,,0.291,,
448,2,64,911,15,448,,,,0.697,,
450,3,30,931,31,450,,0.221,,,,0.512
455,2,65,925,15,455,,,,0.691,,
462,2,66,939,15,462,,,,0.706,,
465,3,31,961,31,465,,0.236,,,,0.544
465,4,15,993,63,465,0.135,,,,,
469,2,67,953,15,469,,,,0.7,,
476,2,68,967,15,476,,,,0.798,,
480,3,32,991,31,480,,0.247,,,,0.579
483,2,69,981,15,483,,,,0.798,,
490,2,70,995,15,490,,,,0.757,,
495,3,33,1021,31,495,,0.267,,,,0.617
496,4,16,1055,63,496,0.153,0.17,,,,0.367
497,2,71,1009,15,497,,,,0.788,,
504,2,72,1023,15,504,,,,0.865,,
504,5,8,1135,127,504,0.095,,,0.393,,
505,0,505,1013,3,505,,,,1.384,,
508,0,508,1019,3,508,1.101,,,,,
508,6,4,1271,255,508,,0.062,,,0.6,
510,3,34,1051,31,510,,0.284,,,,0.663
511,2,73,1037,15,511,,0.487,,,1.624,
511,8,1,2045,1023,511,0.054,0.041,,0.378,0.55,0.081
512,0,512,1027,3,512,,1.099,,,,
513,0,513,1029,3,513,,,,,2.494,
525,3,35,1081,31,525,,0.291,,,,0.713
527,4,17,1117,63,527,0.171,0.182,,0.5,,
540,3,36,1111,31,540,,0.331,,,,0.752
541,0,541,1085,3,541,,,,,,2.505
555,3,37,1141,31,555,,0.35,,,,
558,4,18,1179,63,558,,0.199,,,,
565,0,565,1133,3,565,1.39,,,,,
567,5,9,1261,127,567,,,,,0.899,0.28
570,3,38,1171,31,570,,0.367,,,,
575,0,575,1153,3,575,,,,1.839,,
589,4,19,1241,63,589,0.208,0.21,,0.626,,
590,0,590,1183,3,590,,,,2.006,,
593,0,593,1189,3,593,1.519,,,,,
620,4,20,1303,63,620,,0.236,,,,
651,4,21,1365,63,651,0.254,0.254,,0.811,,
674,0,674,1351,3,674,,,,2.92,,
677,0,677,1357,3,677,1.936,,,,,
682,4,22,1427,63,682,,0.283,,,,
683,0,683,1369,3,683,,1.962,,,,
693,5,11,1513,127,693,0.165,0.175,,0.681,,
769,0,769,1541,3,769,,,,,5.419,
811,0,811,1625,3,811,,,,,,5.596
819,5,13,1765,127,819,,,,,1.747,0.559
1008,5,16,2143,127,1008,0.361,0.357,,1.308,,
1011,0,1011,2025,3,1011,,,,5.775,,
1016,0,1016,2035,3,1016,4.391,,,,,
1023,9,1,4093,2047,1023,0.123,0.081,,1.065,1.493,0.17
1024,0,1024,2051,3,1024,,4.489,,,,
1025,0,1025,2053,3,1025,,,,,9.529,
1071,5,17,2269,127,1071,,,,,,0.932
1081,0,1081,2165,3,1081,,,,,,9.827
1323,5,21,2773,127,1323,0.615,0.602,,2.123,,
1365,0,1365,2733,3,1365,,8.122,,,,
