param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbv-regression-quadratic-real,cps+lazy-regression-quadratic-real,cps+native-compute-regression-quadratic-real,cps+simpl-regression-quadratic-real,cps+vm-compute-regression-quadratic-real,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-real,setoid-rewrite-regression-cubic-real
2800,1,2800,,0.01,0.013,,,,,,
2800,2800,1,,0.008,0.011,,,,,,
2809,1,2809,,,,,,0.013,,,
2809,53,53,,,,,,0.013,,,
2809,2809,1,,,,,,0.017,,,
2817,1,2817,,,,0.102,,,,,
2817,2817,1,,,,0.104,,,,,
2828,1,2828,,,,,,0.014,,,
2828,2828,1,,,,,,0.018,,,
2842,1,2842,,0.014,,,,,,,
2842,2842,1,,0.008,,,,,,,
2845,1,2845,,,,,,0.014,,,
2845,2845,1,,,,,,0.025,,,
2858,1,2858,,0.021,0.013,,,,,,
2858,2858,1,,0.009,0.011,,,,,,
2862,53,54,,0.005,0.006,0.098,,0.013,,,
2867,1,2867,,,,0.104,,,,,
2867,2867,1,,,,0.109,,,,,
2881,1,2881,,,,,,0.014,,,
2881,2881,1,,,,,,0.018,,,
2894,1,2894,,,,,,0.028,,,
2894,2894,1,,,,,,0.018,,,
2917,1,2917,,0.01,0.019,,,0.014,,,
2917,2917,1,,0.009,0.011,,,0.018,,,
2918,1,2918,,,,0.105,,,,,
2918,2918,1,,,,0.107,,,,,
2940,1,2940,,0.011,,,,,,,
2940,2940,1,,0.009,,,,,,,
2953,1,2953,,,,,,0.025,,,
2953,2953,1,,,,,,0.018,,,
2959,1,2959,,,,,,0.014,,,
2959,2959,1,,,,,,0.019,,,
2968,1,2968,,,,0.103,,,,,
2968,2968,1,,,,0.118,,,,,
2970,54,55,,0.005,0.016,0.103,,0.013,,,
2975,1,2975,,0.011,0.014,,,,,,
2975,2975,1,,0.028,0.027,,,,,,
2989,1,2989,,,,,,0.015,,,
2989,2989,1,,,,,,0.019,,,
2994,1,2994,,,0.014,,,,,,
2994,2994,1,,,0.011,,,,,,
3018,1,3018,,,,0.101,,,,,
3018,3018,1,,,,0.108,,,,,
3025,1,3025,,,,,,0.017,,,
3025,55,55,,,,,,0.014,,,
3025,3025,1,,,,,,0.019,,,
3033,1,3033,,0.011,0.014,,,,,,
3033,3033,1,,0.009,0.012,,,,,,
3038,1,3038,,0.016,,,,,,,
3038,3038,1,,0.009,,,,,,,
3061,1,3061,,,,,,0.022,,,
3061,3061,1,,,,,,0.02,,,
3068,1,3068,,,,0.103,,,,,
3068,3068,1,,,,0.107,,,,,
3080,55,56,,0.005,0.006,0.117,,0.014,,,
3092,1,3092,,0.011,0.038,,,,,,
3092,3092,1,,0.015,0.012,,,,,,
3097,1,3097,,,,,,0.015,,,
3097,3097,1,,,,,,0.02,,,
3119,1,3119,,,,0.108,,,,,
3119,3119,1,,,,0.11,,,,,
3131,1,3131,,,0.022,,,,,,
3131,3131,1,,,0.012,,,,,,
3133,1,3133,,,,,,0.02,,,
3133,3133,1,,,,,,0.02,,,
3136,1,3136,,0.012,,,,,,,
3136,56,56,,0.005,,,,,,,
3136,3136,1,,0.018,,,,,,,
3150,1,3150,,0.012,0.014,,,,,,
3150,3150,1,,0.009,0.012,,,,,,
3169,1,3169,,,,0.107,,0.025,,,
3169,3169,1,,,,0.116,,0.02,,,
3192,56,57,,0.006,0.012,0.114,,0.015,,,
3205,1,3205,,,,,,0.015,,,
3205,3205,1,,,,,,0.02,,,
3208,1,3208,,0.012,0.015,,,,,,
3208,3208,1,,0.021,0.012,,,,,,
3219,1,3219,,,,0.107,,,,,
3219,3219,1,,,,0.112,,,,,
3234,1,3234,,0.012,,,,,,,
3234,3234,1,,0.01,,,,,,,
3241,1,3241,,,,,,0.016,,,
3241,3241,1,,,,,,0.021,,,
3267,1,3267,,0.012,0.015,,,,,,
3267,3267,1,,0.01,0.024,,,,,,
3270,1,3270,,,,0.102,,,,,
3270,3270,1,,,,0.108,,,,,
3277,1,3277,,,,,,0.028,,,
3277,3277,1,,,,,,0.019,,,
3306,57,58,,0.006,0.007,0.126,,0.015,,,
3313,1,3313,,,,,,0.016,,,
3313,3313,1,,,,,,0.02,,,
3320,1,3320,,,,0.104,,,,,
3320,3320,1,,,,0.11,,,,,
3325,1,3325,,0.012,0.023,,,,,,
3325,3325,1,,0.019,0.013,,,,,,
3332,1,3332,,0.017,,,,,,,
3332,3332,1,,0.01,,,,,,,
3349,1,3349,,,,,,0.016,,,
3349,3349,1,,,,,,0.021,,,
3370,1,3370,,,,0.101,,,,,
3370,3370,1,,,,0.111,,,,,
3383,1,3383,,0.013,0.015,,,,,,
3383,3383,1,,0.01,0.019,,,,,,
3385,1,3385,,,,,,0.055,,,
3385,3385,1,,,,,,0.021,,,
3403,1,3403,,,0.016,,,,,,
3403,3403,1,,,0.025,,,,,,
3420,1,3420,,,,0.104,,,,,
3420,3420,1,,,,0.113,,,,,
3421,1,3421,,,,,,0.017,,,
3421,3421,1,,,,,,0.021,,,
3422,58,59,,0.006,0.007,0.114,,0.016,,,
3430,1,3430,,0.013,,,,,,,
3430,3430,1,,0.019,,,,,,,
3442,1,3442,,0.013,0.016,,,,,,
3442,3442,1,,0.028,0.013,,,,,,
3457,1,3457,,,,,,0.028,,,
3457,3457,1,,,,,,0.022,,,
3471,1,3471,,,,0.108,,,,,
3471,3471,1,,,,0.129,,,,,
3493,1,3493,,,,,,0.017,,,
3493,3493,1,,,,,,0.022,,,
3500,1,3500,,0.013,0.025,,,,,,
3500,3500,1,,0.011,0.013,,,,,,
3521,1,3521,,,,0.102,,,,,
3521,3521,1,,,,0.124,,,,,
3528,1,3528,,0.013,,,,,,,
3528,3528,1,,0.011,,,,,,,
3529,1,3529,,,,,,0.017,,,
3529,3529,1,,,,,,0.022,,,
3539,1,3539,,,0.016,,,,,,
3539,3539,1,,,0.014,,,,,,
3540,59,60,,0.006,0.025,0.106,,0.016,,,
3558,1,3558,,0.013,0.038,,,,,,
3558,3558,1,,0.013,0.014,,,,,,
3565,1,3565,,,,,,0.018,,,
3565,3565,1,,,,,,0.023,,,
3571,1,3571,,,,0.112,,,,,
3571,3571,1,,,,0.114,,,,,
3601,1,3601,,,,,,0.024,,,
3601,3601,1,,,,,,0.023,,,
3617,1,3617,,0.013,0.017,,,,,,
3617,3617,1,,0.011,0.041,,,,,,
3622,1,3622,,,,0.102,,,,,
3622,3622,1,,,,0.113,,,,,
3626,1,3626,,0.024,,,,,,,
3626,3626,1,,0.011,,,,,,,
3637,1,3637,,,,,,0.018,,,
3637,3637,1,,,,,,0.024,,,
3660,60,61,,0.006,0.007,0.111,,0.017,,,
3672,1,3672,,,,0.106,,,,,
3672,3672,1,,,,0.112,,,,,
3673,1,3673,,,,,,0.018,,,
3673,3673,1,,,,,,0.043,,,
3675,1,3675,,0.014,0.017,,,,,,
3675,3675,1,,0.017,0.022,,,,,,
3709,1,3709,,,,,,0.036,,,
3709,3709,1,,,,,,0.024,,,
3722,1,3722,,,,0.115,,,,,
3722,3722,1,,,,0.121,,,,,
3724,1,3724,,0.014,,,,,,,
3724,3724,1,,0.026,,,,,,,
3733,1,3733,,0.014,0.017,,,,,,
3733,3733,1,,0.011,0.014,,,,,,
3745,1,3745,,,,,,0.018,,,
3745,3745,1,,,,,,0.024,,,
3772,1,3772,,,,0.107,,,,,
3772,3772,1,,,,0.117,,,,,
3781,1,3781,,,,,,0.019,,,
3781,3781,1,,,,,,0.024,,,
3782,61,62,,0.007,0.007,0.105,,0.017,,,
3792,1,3792,,0.025,0.021,,,,,,
3792,3792,1,,0.012,0.015,,,,,,
3811,1,3811,,,0.017,,,,,,
3811,3811,1,,,0.028,,,,,,
3817,1,3817,,,,,,0.019,,,
3817,3817,1,,,,,,0.025,,,
3822,1,3822,,0.014,,,,,,,
3822,3822,1,,0.012,,,,,,,
3823,1,3823,,,,0.122,,,,,
3823,3823,1,,,,0.121,,,,,
3850,1,3850,,0.014,0.022,,,,,,
3850,3850,1,,0.012,0.015,,,,,,
3853,1,3853,,,,,,0.019,,,
3853,3853,1,,,,,,0.025,,,
3873,1,3873,,,,0.111,,,,,
3873,3873,1,,,,0.115,,,,,
3889,1,3889,,,,,,0.045,,,
3889,3889,1,,,,,,0.025,,,
3906,62,63,,0.007,0.008,0.112,,0.018,,,
3908,1,3908,,0.03,0.018,,,,,,
3908,3908,1,,0.012,0.023,,,,,,
3920,1,3920,,0.017,,,,,,,
3920,3920,1,,0.012,,,,,,,
3923,1,3923,,,,0.114,,,,,
3923,3923,1,,,,0.115,,,,,
3925,1,3925,,,,,,0.019,,,
3925,3925,1,,,,,,0.025,,,
3947,1,3947,,,0.018,,,,,,
3947,3947,1,,,0.027,,,,,,
3961,1,3961,,,,,,0.03,,,
3961,3961,1,,,,,,0.025,,,
3967,1,3967,,0.014,0.018,,,,,,
3967,3967,1,,0.015,0.026,,,,,,
3974,1,3974,,,,0.107,,,,,
3974,3974,1,,,,0.117,,,,,
3997,1,3997,,,,,,0.019,,,
3997,3997,1,,,,,,0.028,,,
4018,1,4018,,0.015,,,,,,,
4018,4018,1,,0.017,,,,,,,
4024,1,4024,,,,0.11,,,,,
4024,4024,1,,,,0.119,,,,,
4025,1,4025,,0.015,0.019,,,,,,
4025,4025,1,,0.012,0.016,,,,,,
4032,63,64,,0.007,0.008,0.11,,0.019,,,
4033,1,4033,,,,,,0.02,,,
4033,4033,1,,,,,,0.026,,,
4069,1,4069,,,,,,0.02,,,
4069,4069,1,,,,,,0.026,,,
4074,1,4074,,,,0.113,,,,,
4074,4074,1,,,,0.124,,,,,
4083,1,4083,,0.02,0.019,,,,,,
4083,4083,1,,0.013,0.022,,,,,,
4105,1,4105,,,,,,0.021,,,
4105,4105,1,,,,,,0.032,,,
4116,1,4116,,0.015,,,,,,,
4116,4116,1,,0.013,,,,,,,
4124,1,4124,,,,0.108,,,,,
4124,4124,1,,,,0.117,,,,,
4141,1,4141,,,,,,0.02,,,
4141,4141,1,,,,,,0.031,,,
4142,1,4142,,0.016,0.029,,,,,,
4142,4142,1,,0.013,0.016,,,,,,
4160,64,65,,0.013,0.009,0.106,,0.019,,,
4175,1,4175,,,,0.114,,,,,
4175,4175,1,,,,0.118,,,,,
4177,1,4177,,,,,,0.02,,,
4177,4177,1,,,,,,0.026,,,
4200,1,4200,,0.02,0.03,,,,,,
4200,4200,1,,0.013,0.016,,,,,,
4213,1,4213,,,,,,0.021,,,
4213,4213,1,,,,,,0.052,,,
4214,1,4214,,0.016,,,,,,,
4214,4214,1,,0.013,,,,,,,
4219,1,4219,,,0.02,,,,,,
4219,4219,1,,,0.023,,,,,,
4225,1,4225,,,,0.105,,,,,
4225,65,65,,,,0.102,,,,,
4225,4225,1,,,,0.125,,,,,
4249,1,4249,,,,,,0.021,,,
4249,4249,1,,,,,,0.027,,,
4258,1,4258,,0.016,0.042,,,,,,
4258,4258,1,,0.019,0.017,,,,,,
4285,1,4285,,,,0.109,,0.02,,,
4285,4285,1,,,,0.122,,0.032,,,
4290,65,66,,0.008,0.009,0.112,,0.02,,,
4312,1,4312,,0.025,,,,,,,
4312,4312,1,,0.013,,,,,,,
4317,1,4317,,0.016,0.03,,,,,,
4317,4317,1,,0.013,0.017,,,,,,
4321,1,4321,,,,,,0.021,,,
4321,4321,1,,,,,,0.028,,,
4346,1,4346,,,,0.116,,,,,
4346,4346,1,,,,0.117,,,,,
4356,1,4356,,,0.02,,,,,,
4356,66,66,,,0.009,,,,,,
4356,4356,1,,,0.017,,,,,,
4357,1,4357,,,,,,0.021,,,
4357,4357,1,,,,,,0.028,,,
4375,1,4375,,0.024,0.035,,,,,,
4375,4375,1,,0.014,0.017,,,,,,
4393,1,4393,,,,,,0.023,,,
4393,4393,1,,,,,,0.027,,,
4406,1,4406,,,,0.119,,,,,
4406,4406,1,,,,0.122,,,,,
4410,1,4410,,0.016,,,,,,,
4410,4410,1,,0.017,,,,,,,
4422,66,67,,0.008,0.009,0.112,,0.035,,,
4429,1,4429,,,,,,0.021,,,
4429,4429,1,,,,,,0.028,,,
4433,1,4433,,0.017,0.02,,,,,,
4433,4433,1,,0.025,0.016,,,,,,
4465,1,4465,,,,,,0.021,,,
4465,4465,1,,,,,,0.042,,,
4466,1,4466,,,,0.109,,,,,
4466,4466,1,,,,0.121,,,,,
4492,1,4492,,0.017,0.053,,,,,,
4492,4492,1,,0.015,0.018,,,,,,
4501,1,4501,,,,,,0.022,,,
4501,4501,1,,,,,,0.029,,,
4508,1,4508,,0.017,,,,,,,
4508,4508,1,,0.018,,,,,,,
4527,1,4527,,,,0.112,,,,,
4527,4527,1,,,,0.116,,,,,
4537,1,4537,,,,,,0.027,,,
4537,4537,1,,,,,,0.03,,,
4550,1,4550,,0.022,0.032,,,,,,
4550,4550,1,,0.014,0.018,,,,,,
4556,67,68,,0.008,0.009,0.131,,0.022,,,
4573,1,4573,,,,,,0.027,,,
4573,4573,1,,,,,,0.029,,,
4587,1,4587,,,,0.112,,,,,
4587,4587,1,,,,0.12,,,,,
4606,1,4606,,0.017,,,,,,,
4606,4606,1,,0.029,,,,,,,
4608,1,4608,,0.017,0.025,,,,,,
4608,4608,1,,0.022,0.018,,,,,,
4609,1,4609,,,,,,0.022,,,
4609,4609,1,,,,,,0.04,,,
4628,1,4628,,,0.034,,,,,,
4628,4628,1,,,0.018,,,,,,
4645,1,4645,,,,,,0.023,,,
4645,4645,1,,,,,,0.03,,,
4647,1,4647,,,,0.113,,,,,
4647,4647,1,,,,0.128,,,,,
4667,1,4667,,0.018,0.041,,,,,,
4667,4667,1,,0.015,0.018,,,,,,
4681,1,4681,,,,,,0.04,,,
4681,4681,1,,,,,,0.03,,,
4688,1,4688,,,,,,0.024,,,
4688,4688,1,,,,,,0.03,,,
4692,68,69,,0.008,0.01,0.114,,0.022,,,
4704,1,4704,,0.017,,,,,,,
4704,4704,1,,0.014,,,,,,,
4708,1,4708,,,,0.112,,,,,
4708,4708,1,,,,0.143,,,,,
4717,1,4717,,,,,,0.023,,,
4717,4717,1,,,,,,0.031,,,
4725,1,4725,,0.022,0.03,,,,,,
4725,4725,1,,0.015,0.018,,,,,,
4753,1,4753,,,,,,0.024,,,
4753,4753,1,,,,,,0.043,,,
4764,1,4764,,,0.025,,,,,,
4764,4764,1,,,0.019,,,,,,
4768,1,4768,,,,0.117,,,,,
4768,4768,1,,,,0.128,,,,,
4783,1,4783,,0.024,0.045,,,,,,
4783,4783,1,,0.015,0.019,,,,,,
4789,1,4789,,,,,,0.024,,,
4789,4789,1,,,,,,0.031,,,
4802,1,4802,,0.04,,,,,,,
4802,4802,1,,0.014,,,,,,,
4825,1,4825,,,,,,0.045,,,
4825,4825,1,,,,,,0.032,,,
4828,1,4828,,,,0.128,,,,,
4828,4828,1,,,,0.12,,,,,
4830,69,70,,0.008,0.011,0.112,,0.035,,,
4840,1,4840,,,,,,0.024,,,
4840,4840,1,,,,,,0.031,,,
4842,1,4842,,0.019,0.031,,,,,,
4842,4842,1,,0.025,0.019,,,,,,
4861,1,4861,,,,,,0.024,,,
4861,4861,1,,,,,,0.031,,,
4889,1,4889,,,,0.113,,,,,
4889,4889,1,,,,0.133,,,,,
4897,1,4897,,,,,,0.024,,,
4897,4897,1,,,,,,0.057,,,
4900,1,4900,,0.022,0.022,,,,,,
4900,70,70,,0.009,0.01,,,,,,
4900,4900,1,,0.015,0.028,,,,,,
4929,1,4929,,,,0.108,,,,,
4929,4929,1,,,,0.117,,,,,
4933,1,4933,,,,,,0.025,,,
4933,4933,1,,,,,,0.032,,,
4949,1,4949,,,,0.112,,,,,
4949,4949,1,,,,0.121,,,,,
4958,1,4958,,0.019,0.045,,,,,,
4958,4958,1,,0.016,0.02,,,,,,
4969,1,4969,,,,,,0.036,,,
4969,4969,1,,,,,,0.032,,,
4970,70,71,,0.022,0.011,0.104,,0.026,,,
4991,1,4991,,,,,,0.024,,,
4991,4991,1,,,,,,0.032,,,
5005,1,5005,,,,,,0.025,,,
5005,5005,1,,,,,,0.039,,,
5009,1,5009,,,,0.113,,,,,
5009,5009,1,,,,0.139,,,,,
5017,1,5017,,0.018,0.033,,,,,,
5017,5017,1,,0.016,0.02,,,,,,
5041,1,5041,,,,,,0.025,,,
5041,71,71,,,,,,0.023,,,
5041,5041,1,,,,,,0.045,,,
5063,1,5063,,0.025,,,,,,,
5063,5063,1,,0.016,,,,,,,
5070,1,5070,,,,0.114,,,,,
5070,5070,1,,,,0.119,,,,,
5075,1,5075,,0.028,0.029,,,,,,
5075,5075,1,,0.016,0.02,,,,,,
5077,1,5077,,,,,,0.025,,,
5077,5077,1,,,,,,0.049,,,
5112,71,72,,0.009,0.01,0.13,,0.032,,,
5113,1,5113,,,,,,0.025,,,
5113,5113,1,,,,,,0.034,,,
5130,1,5130,,,,0.115,,,,,
5130,5130,1,,,,0.125,,,,,
5133,1,5133,,0.021,0.026,,,,,,
5133,5133,1,,0.016,0.02,,,,,,
5142,1,5142,,,,,,0.025,,,
5142,5142,1,,,,,,0.036,,,
5145,1,5145,,,0.027,,,,,,
5145,5145,1,,,0.02,,,,,,
5149,1,5149,,,,,,0.042,,,
5149,5149,1,,,,,,0.033,,,
5185,1,5185,,,,,,0.045,,,
5185,5185,1,,,,,,0.032,,,
5190,1,5190,,,,0.125,,,,,
5190,5190,1,,,,0.129,,,,,
5192,1,5192,,0.02,0.033,,,,,,
5192,5192,1,,0.022,0.024,,,,,,
5221,1,5221,,,,,,0.025,,,
5221,5221,1,,,,,,0.049,,,
5227,1,5227,,0.029,,,,,,,
5227,5227,1,,0.017,,,,,,,
5250,1,5250,,0.019,0.025,,,,,,
5250,5250,1,,0.017,0.034,,,,,,
5251,1,5251,,,,0.139,,,,,
5251,5251,1,,,,0.12,,,,,
5256,72,73,,0.01,0.011,0.113,,0.025,,,
5257,1,5257,,,,,,0.026,,,
5257,5257,1,,,,,,0.033,,,
5294,1,5294,,,,,,0.026,,,
5294,5294,1,,,,,,0.054,,,
5308,1,5308,,0.02,0.03,,,,,,
5308,5308,1,,0.017,0.021,,,,,,
5311,1,5311,,,,0.112,,,,,
5311,5311,1,,,,0.142,,,,,
5330,1,5330,,,,,,0.063,,,
5330,5330,1,,,,,,0.034,,,
5366,1,5366,,,,,,0.026,,,
5366,5366,1,,,,,,0.034,,,
5367,1,5367,,0.034,0.058,,,,,,
5367,5367,1,,0.017,0.021,,,,,,
5372,1,5372,,,,0.113,,,,,
5372,5372,1,,,,0.121,,,,,
5390,1,5390,,0.032,0.045,,,,,,
5390,5390,1,,0.017,0.021,,,,,,
5402,1,5402,,,,,,0.026,,,
5402,73,74,,0.01,0.018,0.155,,0.025,,,
5402,5402,1,,,,,,0.035,,,
5425,1,5425,,0.021,0.043,,,,,,
5425,5425,1,,0.021,0.022,,,,,,
5432,1,5432,,,,0.115,,,,,
5432,5432,1,,,,0.124,,,,,
5438,1,5438,,,,,,0.025,,,
5438,5438,1,,,,,,0.036,,,
5445,1,5445,,,,,,0.027,,,
5445,5445,1,,,,,,0.056,,,
5474,1,5474,,,,,,0.025,,,
5474,5474,1,,,,,,0.056,,,
5483,1,5483,,0.021,0.053,,,,,,
5483,5483,1,,0.022,0.022,,,,,,
5492,1,5492,,,,0.13,,,,,
5492,5492,1,,,,0.126,,,,,
5510,1,5510,,,,,,0.026,,,
5510,5510,1,,,,,,0.035,,,
5542,1,5542,,0.021,0.026,,,,,,
5542,5542,1,,0.017,0.044,,,,,,
5546,1,5546,,,,,,0.057,,,
5546,5546,1,,,,,,0.036,,,
5550,74,75,,0.022,0.026,0.123,,0.027,,,
5553,1,5553,,0.02,,0.147,,,,,
5553,5553,1,,0.017,,0.121,,,,,
5582,1,5582,,,,,,0.042,,,
5582,5582,1,,,,,,0.037,,,
5596,1,5596,,,,,,0.028,,,
5596,5596,1,,,,,,0.037,,,
5600,1,5600,,0.024,0.026,,,,,,
5600,5600,1,,0.019,0.028,,,,,,
5613,1,5613,,,,0.114,,,,,
5613,5613,1,,,,0.141,,,,,
5618,1,5618,,,,,,0.028,,,
5618,5618,1,,,,,,0.07,,,
5633,1,5633,,,,0.148,,,,,
5633,5633,1,,,,0.125,,,,,
5635,1,5635,,,0.026,,,,,,
5635,5635,1,,,0.036,,,,,,
5654,1,5654,,,,,,0.028,,,
5654,5654,1,,,,,,0.037,,,
5658,1,5658,,0.03,0.034,,,,,,
5658,5658,1,,0.018,0.023,,,,,,
5673,1,5673,,,,0.118,,,,,
5673,5673,1,,,,0.124,,,,,
5690,1,5690,,,,,,0.028,,,
5690,5690,1,,,,,,0.066,,,
5700,75,76,,0.01,0.012,0.11,,0.028,,,
5717,1,5717,,0.021,0.054,,,,,,
5717,5717,1,,0.018,0.023,,,,,,
5726,1,5726,,,,,,0.028,,,
5726,5726,1,,,,,,0.036,,,
5734,1,5734,,,,0.156,,,,,
5734,5734,1,,,,0.128,,,,,
5747,1,5747,,,,,,0.046,,,
5747,5747,1,,,,,,0.038,,,
5762,1,5762,,,,,,0.033,,,
5762,5762,1,,,,,,0.038,,,
5775,1,5775,,0.026,0.061,,,,,,
5775,5775,1,,0.019,0.023,,,,,,
5794,1,5794,,,,0.116,,,,,
5794,5794,1,,,,0.145,,,,,
5798,1,5798,,,,,,0.044,,,
5798,5798,1,,,,,,0.037,,,
5833,1,5833,,0.044,0.036,,,,,,
5833,5833,1,,0.02,0.029,,,,,,
5834,1,5834,,,,,,0.029,,,
5834,5834,1,,,,,,0.038,,,
5852,76,77,,0.011,0.012,0.117,,0.063,,,
5854,1,5854,,,,0.118,,,,,
5854,5854,1,,,,0.143,,,,,
5870,1,5870,,,,,,0.029,,,
5870,5870,1,,,,,,0.047,,,
5880,1,5880,,0.022,0.033,,,,,,
5880,5880,1,,0.02,0.046,,,,,,
5892,1,5892,,0.022,0.027,,,,,,
5892,5892,1,,0.028,0.04,,,,,,
5899,1,5899,,,,,,0.029,,,
5899,5899,1,,,,,,0.039,,,
5906,1,5906,,,,,,0.029,,,
5906,5906,1,,,,,,0.041,,,
5915,1,5915,,,,0.12,,,,,
5915,5915,1,,,,0.13,,,,,
5942,1,5942,,,,,,0.03,,,
5942,5942,1,,,,,,0.068,,,
5950,1,5950,,0.023,0.046,,,,,,
5950,5950,1,,0.022,0.023,,,,,,
5975,1,5975,,,,0.121,,,,,
5975,5975,1,,,,0.127,,,,,
5978,1,5978,,,,,,0.03,,,
5978,5978,1,,,,,,0.05,,,
6006,77,78,,0.011,0.012,0.126,,0.028,,,
6008,1,6008,,0.024,0.04,,,,,,
6008,6008,1,,0.021,0.035,,,,,,
6014,1,6014,,,,,,0.03,,,
6014,6014,1,,,,,,0.04,,,
6035,1,6035,,,,0.118,,,,,
6035,6035,1,,,,0.123,,,,,
6043,1,6043,,0.023,,,,,,,
6043,6043,1,,0.022,,,,,,,
6050,1,6050,,,,,,0.03,,,
6050,6050,1,,,,,,0.054,,,
6067,1,6067,,0.023,0.028,,,,,,
6067,6067,1,,0.019,0.041,,,,,,
6086,1,6086,,,,,,0.037,,,
6086,6086,1,,,,,,0.041,,,
6096,1,6096,,,,0.127,,,,,
6096,6096,1,,,,0.13,,,,,
6122,1,6122,,,,,,0.03,,,
6122,6122,1,,,,,,0.064,,,
6125,1,6125,,0.029,0.029,,,,,,
6125,6125,1,,0.02,0.035,,,,,,
6156,1,6156,,,,0.128,,,,,
6156,6156,1,,,,0.135,,,,,
6158,1,6158,,,,,,0.031,,,
6158,6158,1,,,,,,0.053,,,
6162,78,79,,0.011,0.013,0.117,,0.033,,,
6183,1,6183,,0.026,0.03,,,,,,
6183,6183,1,,0.021,0.024,,,,,,
6194,1,6194,,,,,,0.03,,,
6194,6194,1,,,,,,0.066,,,
6207,1,6207,,0.025,,,,,,,
6207,6207,1,,0.019,,,,,,,
6216,1,6216,,,,0.119,,,,,
6216,6216,1,,,,0.134,,,,,
6230,1,6230,,,,,,0.03,,,
6230,6230,1,,,,,,0.04,,,
6242,1,6242,,0.036,0.052,,,,,,
6242,6242,1,,0.021,0.025,,,,,,
6266,1,6266,,,,,,0.032,,,
6266,6266,1,,,,,,0.074,,,
6277,1,6277,,,,0.118,,,,,
6277,6277,1,,,,0.128,,,,,
6300,1,6300,,0.031,0.03,,,,,,
6300,6300,1,,0.022,0.044,,,,,,
6302,1,6302,,,,,,0.048,,,
6302,6302,1,,,,,,0.04,,,
6320,79,80,,0.011,0.034,0.123,,0.03,,,
6337,1,6337,,,,0.125,,,,,
6337,6337,1,,,,0.145,,,,,
6338,1,6338,,,,,,0.031,,,
6338,6338,1,,,,,,0.042,,,
6358,1,6358,,0.04,0.03,,,,,,
6358,6358,1,,0.021,0.033,,,,,,
6370,1,6370,,0.04,0.03,,,,,,
6370,6370,1,,0.02,0.034,,,,,,
6374,1,6374,,,,,,0.049,,,
6374,6374,1,,,,,,0.042,,,
6410,1,6410,,,,0.123,,0.059,,,
6410,6410,1,,,,0.127,,0.042,,,
6417,1,6417,,0.032,0.055,,,,,,
6417,6417,1,,0.021,0.026,,,,,,
6446,1,6446,,,,,,0.032,,,
6446,6446,1,,,,,,0.041,,,
6475,1,6475,,0.042,0.031,,,,,,
6475,6475,1,,0.021,0.033,,,,,,
6480,80,81,,0.011,0.026,0.126,,0.031,,,
6482,1,6482,,,,,,0.033,,,
6482,6482,1,,,,,,0.043,,,
6483,1,6483,,,,0.119,,,,,
6483,6483,1,,,,0.139,,,,,
6518,1,6518,,,,,,0.049,,,
6518,6518,1,,,,,,0.043,,,
6533,1,6533,,0.032,0.035,,,,,,
6533,6533,1,,0.021,0.026,,,,,,
6554,1,6554,,,,,,0.055,,,
6554,6554,1,,,,,,0.042,,,
6556,1,6556,,,,0.126,,,,,
6556,6556,1,,,,0.135,,,,,
6590,1,6590,,,,,,0.059,,,
6590,6590,1,,,,,,0.043,,,
6592,1,6592,,0.045,0.049,,,,,,
6592,6592,1,,0.021,0.036,,,,,,
6615,1,6615,,,0.046,,,,,,
6615,6615,1,,,0.026,,,,,,
6626,1,6626,,,,,,0.051,,,
6626,6626,1,,,,,,0.043,,,
6628,1,6628,,,,0.135,,,,,
6628,6628,1,,,,0.129,,,,,
6642,81,82,,0.019,0.043,0.124,,0.04,,,
6650,1,6650,,0.056,0.031,,,,,,
6650,6650,1,,0.021,0.027,,,,,,
6662,1,6662,,,,,,0.103,,,
6662,6662,1,,,,,,0.043,,,
6697,1,6697,,0.026,,,,,,,
6697,6697,1,,0.024,,,,,,,
6698,1,6698,,,,,,0.033,,,
6698,6698,1,,,,,,0.053,,,
6701,1,6701,,,,0.119,,,,,
6701,6701,1,,,,0.131,,,,,
6708,1,6708,,0.045,0.038,,,,,,
6708,6708,1,,0.022,0.026,,,,,,
6734,1,6734,,,,,,0.033,,,
6734,6734,1,,,,,,0.043,,,
6767,1,6767,,0.055,0.033,,,,,,
6767,6767,1,,0.021,0.027,,,,,,
6770,1,6770,,,,,,0.033,,,
6770,6770,1,,,,,,0.073,,,
6774,1,6774,,,,0.131,,,,,
6774,6774,1,,,,0.13,,,,,
6806,1,6806,,,,,,0.032,,,
6806,82,83,,0.012,0.014,0.128,,0.053,,,
6806,6806,1,,,,,,0.069,,,
6825,1,6825,,0.043,0.074,,,,,,
6825,6825,1,,0.023,0.028,,,,,,
6842,1,6842,,,,,,0.034,,,
6842,6842,1,,,,,,0.061,,,
6847,1,6847,,,,0.121,,,,,
6847,6847,1,,,,0.136,,,,,
6860,1,6860,,0.048,0.072,,,,,,
6860,6860,1,,0.022,0.027,,,,,,
6878,1,6878,,,,,,0.035,,,
6878,6878,1,,,,,,0.069,,,
6883,1,6883,,0.053,0.052,,,,,,
6883,6883,1,,0.023,0.046,,,,,,
6914,1,6914,,,,,,0.036,,,
