param-n,abstract-regression-quadratic-real,build-I-regression-linear-real,build-admit-cast-regression-linear-real,build-admit-regression-linear-real,build-eval-thunk-regression-linear-real,build-pf-cast-regression-linear-real,build-thunk-regression-linear-real,check-I-regression-linear-real,check-admit-cast-regression-quadratic-real,check-admit-regression-quadratic-real,check-pf-cast-regression-quadratic-real,close-abstract-regression-quadratic-real,eval-thunk-regression-linear-real,fast-rewrite-regression-quadratic-real,refine-regression-quadratic-regression-linear-real,type-I-regression-linear-real,type-admit-cast-regression-quadratic-real,type-admit-regression-quadratic-real,type-pf-cast-regression-quadratic-real
79,0.037,0.,0.,0.,0.007,0.,0.007,0.001,0.002,0.002,0.004,0.005,0.,0.031,0.002,0.001,0.002,0.002,0.002
80,0.036,0.,0.,0.,0.008,0.,0.007,0.001,0.002,0.002,0.002,0.005,0.,0.03,0.002,0.001,0.002,0.002,0.002
81,0.038,0.,0.,0.,0.008,0.,0.008,0.003,0.002,0.002,0.002,0.005,0.,0.033,0.002,0.001,0.002,0.002,0.002
82,0.04,0.,0.,0.,0.007,0.,0.007,0.001,0.002,0.002,0.002,0.008,0.,0.031,0.002,0.001,0.002,0.002,0.002
83,0.037,0.,0.,0.,0.007,0.,0.007,0.001,0.002,0.002,0.002,0.005,0.,0.03,0.002,0.001,0.002,0.002,0.002
84,0.04,0.,0.,0.,0.008,0.,0.008,0.001,0.002,0.002,0.002,0.005,0.,0.033,0.002,0.001,0.002,0.003,0.002
85,0.039,0.,0.,0.,0.008,0.,0.008,0.001,0.002,0.002,0.002,0.005,0.,0.032,0.002,0.001,0.002,0.002,0.002
86,0.042,0.,0.,0.,0.011,0.,0.011,0.001,0.002,0.002,0.002,0.005,0.,0.036,0.002,0.001,0.002,0.002,0.002
87,0.041,0.,0.002,0.,0.008,0.,0.008,0.001,0.002,0.002,0.002,0.005,0.,0.034,0.002,0.001,0.002,0.002,0.002
88,0.04,0.,0.,0.,0.008,0.,0.008,0.001,0.002,0.002,0.002,0.005,0.,0.034,0.002,0.001,0.002,0.002,0.002
89,0.044,0.,0.,0.,0.011,0.,0.011,0.001,0.002,0.002,0.002,0.006,0.,0.037,0.002,0.001,0.002,0.002,0.002
90,0.043,0.,0.,0.,0.009,0.,0.008,0.001,0.002,0.002,0.002,0.006,0.,0.037,0.002,0.001,0.002,0.004,0.002
91,0.044,0.,0.,0.,0.009,0.,0.008,0.001,0.002,0.002,0.002,0.007,0.,0.035,0.002,0.001,0.002,0.002,0.002
92,0.043,0.,0.,0.,0.008,0.,0.008,0.001,0.003,0.002,0.002,0.006,0.,0.036,0.003,0.001,0.002,0.002,0.002
93,0.044,0.,0.,0.,0.009,0.,0.009,0.002,0.002,0.002,0.002,0.006,0.,0.037,0.003,0.001,0.002,0.002,0.002
94,0.047,0.,0.,0.,0.009,0.,0.009,0.001,0.003,0.002,0.005,0.006,0.,0.039,0.003,0.001,0.002,0.002,0.003
95,0.045,0.,0.,0.,0.009,0.,0.009,0.001,0.003,0.002,0.003,0.006,0.,0.037,0.003,0.001,0.003,0.002,0.003
96,0.046,0.,0.,0.,0.01,0.,0.01,0.001,0.003,0.002,0.003,0.006,0.,0.039,0.003,0.001,0.003,0.002,0.003
97,0.047,0.,0.,0.,0.009,0.,0.009,0.001,0.003,0.004,0.003,0.006,0.,0.04,0.003,0.001,0.003,0.003,0.002
98,0.047,0.,0.,0.,0.009,0.,0.009,0.001,0.003,0.003,0.003,0.006,0.,0.039,0.003,0.001,0.003,0.002,0.004
99,0.047,0.,0.,0.,0.009,0.,0.009,0.001,0.003,0.003,0.003,0.006,0.,0.039,0.003,0.001,0.003,0.003,0.003
