param-n,cbn-regression-cubic-real,cbn-regression-cubic-sys,cbn-regression-cubic-user,cbv-regression-quadratic-real,cbv-regression-quadratic-sys,cbv-regression-quadratic-user,lazy-regression-quadratic-real,lazy-regression-quadratic-sys,lazy-regression-quadratic-user,native-compute(1)-native-compute-compilation-real,native-compute(1)-native-compute-conversion-to-native-code-real,native-compute(1)-native-compute-evaluation-real,native-compute(1)-native-compute-reification-real,native-compute(1)-regression-quadratic-real,native-compute(1)-regression-quadratic-sys,native-compute(1)-regression-quadratic-user,native-compute(2)-native-compute-compilation-real,native-compute(2)-native-compute-conversion-to-native-code-real,native-compute(2)-native-compute-evaluation-real,native-compute(2)-native-compute-reification-real,native-compute(2)-regression-quadratic-real,native-compute(2)-regression-quadratic-sys,native-compute(2)-regression-quadratic-user,simpl-regression-cubic-real,simpl-regression-cubic-sys,simpl-regression-cubic-user,vm-compute-regression-quadratic-real,vm-compute-regression-quadratic-sys,vm-compute-regression-quadratic-user
883,,,,,,,0.391,0.,0.391,,,,,,,,,,,,,,,,,,,,
898,,,,0.188,0.,0.188,,,,,,,,,,,,,,,,,,,,,,,
901,,,,,,,0.451,0.,0.451,,,,,,,,,,,,,,,,,,,,
903,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013,0.,0.013
911,,,,,,,,,,0.08394,0.00014,0.00256,0.00082,0.087,0.,0.004,0.08447,0.00015,0.00258,0.00082,0.088,0.,0.004,,,,,,
914,,,,0.309,0.,0.309,,,,,,,,,,,,,,,,,,,,,,,
929,,,,0.199,0.,0.199,,,,,,,,,,,,,,,,,,,,,,,
943,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,0.,0.015
960,,,,0.212,0.,0.212,,,,,,,,,,,,,,,,,,,,,,,
982,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016,0.,0.016
991,,,,0.227,0.,0.227,0.47,0.,0.47,,,,,,,,,,,,,,,,,,,,
1021,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017,0.,0.017
1022,,,,0.244,0.,0.244,,,,,,,,,,,,,,,,,,,,,,,
1025,,,,,,,,,,0.08388,0.00013,0.00308,0.00091,0.088,0.,0.004,0.08419,0.00016,0.00303,0.00091,0.088,0.,0.004,,,,,,
1053,,,,0.257,0.003,0.253,,,,,,,,,,,,,,,,,,,,,,,
1060,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019,0.,0.019
1081,,,,,,,0.627,0.,0.627,,,,,,,,,,,,,,,,,,,,
1084,,,,0.271,0.,0.271,,,,,,,,,,,,,,,,,,,,,,,
1099,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.,0.03
1115,,,,0.28,0.,0.28,,,,,,,,,,,,,,,,,,,,,,,
1138,,,,,,,,,,0.08340,0.00013,0.00371,0.00103,0.088,0.,0.005,0.08367,0.00016,0.00366,0.00100,0.088,0.,0.005,,,,0.022,0.,0.022
1146,,,,0.296,0.,0.296,,,,,,,,,,,,,,,,,,,,,,,
1164,,,,,,,0.897,0.004,0.893,,,,,,,,,,,,,,,,,,,,
1171,,,,,,,0.692,0.003,0.688,,,,,,,,,,,,,,,,,,,,
1177,,,,0.313,0.,0.313,,,,,,,,,,,,,,,,,,,,,,,
1178,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023,0.,0.023
1208,,,,0.332,0.,0.332,,,,,,,,,,,,,,,,,,,,,,,
1217,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0.,0.025
1239,,,,0.349,0.,0.349,,,,,,,,,,,,,,,,,,,,,,,
1252,,,,,,,,,,0.08274,0.00013,0.00419,0.01439,0.101,0.,0.019,0.08442,0.00018,0.00421,0.00109,0.09,0.,0.006,,,,,,
1256,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026,0.,0.026
1261,,,,,,,0.793,0.,0.793,,,,,,,,,,,,,,,,,,,,
1269,,,,0.363,0.,0.363,,,,,,,,,,,,,,,,,,,,,,,
1295,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028,0.,0.028
1300,,,,0.381,0.,0.381,,,,,,,,,,,,,,,,,,,,,,,
1331,,,,0.396,0.,0.396,,,,,,,,,,,,,,,,,,,,,,,
1334,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029,0.,0.029
1351,,,,,,,0.925,0.,0.925,,,,,,,,,,,,,,,,,,,,
1362,,,,0.409,0.,0.409,,,,,,,,,,,,,,,,,,,,,,,
1365,,,,,,,,,,0.08434,0.00013,0.00486,0.00118,0.09,0.002,0.004,0.08313,0.00015,0.00503,0.00118,0.089,0.,0.006,,,,,,
1370,,,,0.577,0.,0.577,,,,,,,,,,,,,,,,,,,,,,,
1374,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029,0.,0.029
1393,,,,0.429,0.,0.429,,,,,,,,,,,,,,,,,,,,,,,
1413,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032,0.,0.032
1424,,,,0.452,0.,0.452,,,,,,,,,,,,,,,,,,,,,,,
1441,,,,,,,1.101,0.,1.101,,,,,,,,,,,,,,,,,,,,
1452,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034,0.,0.034
1454,,,,,,,1.189,0.007,1.181,,,,,,,,,,,,,,,,,,,,
1479,,,,,,,,,,0.08403,0.00013,0.00574,0.00125,0.091,0.,0.007,0.08470,0.00015,0.00578,0.00126,0.092,0.,0.008,,,,,,
1491,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,0.,0.035
1530,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037,0.,0.038
1531,,,,,,,1.25,0.007,1.242,,,,,,,,,,,,,,,,,,,,
1566,,,,0.536,0.,0.536,,,,,,,,,,,,,,,,,,,,,,,
1570,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.,0.04
1593,,,,,,,,,,0.08470,0.00013,0.00641,0.00136,0.092,0.,0.008,0.08354,0.00016,0.00666,0.00153,0.092,0.,0.009,,,,,,
1609,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041,0.,0.041
1621,,,,,,,1.37,0.003,1.366,,,,,,,,,,,,,,,,,,,,
1648,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043,0.,0.043
1687,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045,0.,0.045
1706,,,,,,,,,,0.08353,0.00013,0.00736,0.00145,0.092,0.,0.009,0.08403,0.00016,0.00745,0.00183,0.093,0.,0.01,,,,,,
1709,,,,0.629,0.,0.629,,,,,,,,,,,,,,,,,,,,,,,
1711,,,,,,,1.526,0.007,1.518,,,,,,,,,,,,,,,,,,,,
1726,,,,,,,,,,,,,,,,,,,,,,,,,,,0.051,0.,0.051
1765,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047,0.,0.047
1801,,,,,,,1.671,0.007,1.663,,,,,,,,,,,,,,,,,,,,
1805,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.,0.05
1820,,,,,,,,,,0.08452,0.00013,0.00990,0.00153,0.096,0.,0.012,0.08369,0.00015,0.00843,0.00153,0.093,0.,0.01,,,,,,
1826,,,,0.712,0.,0.712,,,,,,,,,,,,,,,,,,,,,,,
1844,,,,,,,,,,,,,,,,,,,,,,,,,,,0.053,0.,0.053
1851,,,,0.738,0.,0.738,,,,,,,,,,,,,,,,,,,,,,,
1883,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,0.,0.055
1922,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058,0.,0.058
1933,,,,,,,,,,0.08411,0.00013,0.00945,0.00165,0.095,0.,0.012,0.08442,0.00016,0.00914,0.00163,0.095,0.,0.011,,,,,,
1961,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.,0.06
1993,,,,0.85,0.,0.85,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,0.069,0.,0.069
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,0.062,0.,0.062
2040,,,,,,,,,,,,,,,,,,,,,,,,,,,0.062,0.,0.062
2047,,,,,,,,,,0.08308,0.00013,0.01661,0.00172,0.101,0.,0.019,0.08456,0.00015,0.01239,0.00204,0.099,0.,0.015,,,,,,
2079,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,0.,0.064
2118,,,,,,,,,,,,,,,,,,,,,,,,,,,0.069,0.,0.069
2136,,,,0.971,0.,0.971,,,,,,,,,,,,,,,,,,,,,,,
2157,,,,,,,,,,,,,,,,,,,,,,,,,,,0.071,0.,0.071
2161,,,,,,,2.417,0.008,2.409,0.08363,0.00013,0.01177,0.00189,0.097,0.,0.014,0.08401,0.00016,0.01278,0.00180,0.098,0.,0.015,,,,,,
2197,,,,,,,,,,,,,,,,,,,,,,,,,,,0.074,0.,0.074
2236,,,,,,,,,,,,,,,,,,,,,,,,,,,0.074,0.,0.074
2274,,,,,,,,,,0.08516,0.00014,0.01268,0.00192,0.1,0.,0.015,0.08434,0.00016,0.01280,0.01147,0.108,0.,0.025,,,,,,
2275,,,,,,,,,,,,,,,,,,,,,,,,,,,0.079,0.,0.079
2278,,,,1.102,0.004,1.097,,,,,,,,,,,,,,,,,,,,,,,
2282,,,,1.095,0.,1.095,,,,,,,,,,,,,,,,,,,,,,,
2314,,,,,,,,,,,,,,,,,,,,,,,,,,,0.146,0.,0.146
2353,,,,,,,,,,,,,,,,,,,,,,,,,,,0.081,0.,0.081
2388,,,,,,,,,,0.08495,0.00013,0.01367,0.00199,0.1,0.003,0.013,0.08465,0.00016,0.01340,0.00202,0.1,0.,0.016,,,,,,
2392,,,,,,,,,,,,,,,,,,,,,,,,,,,0.084,0.,0.084
2420,,,,1.246,0.,1.246,,,,,,,,,,,,,,,,,,,,,,,
2432,,,,,,,,,,,,,,,,,,,,,,,,,,,0.089,0.,0.089
2471,,,,,,,,,,,,,,,,,,,,,,,,,,,0.093,0.,0.093
2502,,,,,,,,,,0.08415,0.00013,0.01560,0.00210,0.102,0.,0.018,0.08550,0.00016,0.01533,0.00210,0.103,0.003,0.015,,,,,,
2510,,,,,,,,,,,,,,,,,,,,,,,,,,,0.135,0.,0.135
2521,,,,,,,3.229,0.,3.229,,,,,,,,,,,,,,,,,,,,
2549,,,,,,,,,,,,,,,,,,,,,,,,,,,0.095,0.,0.095
2562,,,,1.386,0.,1.386,,,,,,,,,,,,,,,,,,,,,,,
2588,,,,,,,,,,,,,,,,,,,,,,,,,,,0.099,0.,0.099
2615,,,,,,,,,,0.08469,0.00013,0.01888,0.00227,0.106,0.,0.022,0.08497,0.00016,0.01664,0.00216,0.104,0.,0.019,,,,,,
2628,,,,,,,,,,,,,,,,,,,,,,,,,,,0.102,0.,0.102
2667,,,,,,,,,,,,,,,,,,,,,,,,,,,0.127,0.,0.127
2705,,,,1.52,0.003,1.517,,,,,,,,,,,,,,,,,,,,,,,
2706,,,,,,,,,,,,,,,,,,,,,,,,,,,0.109,0.,0.109
2729,,,,,,,,,,0.08386,0.00014,0.09296,0.00227,0.179,0.,0.096,0.08532,0.00015,0.01787,0.00231,0.105,0.,0.021,,,,,,
2745,,,,,,,,,,,,,,,,,,,,,,,,,,,0.108,0.,0.108
2784,,,,,,,,,,,,,,,,,,,,,,,,,,,0.116,0.,0.116
2824,,,,,,,,,,,,,,,,,,,,,,,,,,,0.118,0.,0.118
2842,,,,,,,,,,0.08419,0.00013,0.02077,0.00239,0.107,0.,0.024,0.08473,0.00016,0.01934,0.00237,0.106,0.,0.022,,,,,,
2847,,,,1.671,0.,1.671,,,,,,,,,,,,,,,,,,,,,,,
2863,,,,,,,,,,,,,,,,,,,,,,,,,,,0.118,0.,0.118
2881,,,,,,,4.261,0.003,4.257,,,,,,,,,,,,,,,,,,,,
2902,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,0.,0.125
2941,,,,,,,,,,,,,,,,,,,,,,,,,,,0.135,0.,0.135
2956,,,,,,,,,,0.08556,0.03996,0.02082,0.00249,0.149,0.,0.064,0.08539,0.00016,0.02277,0.00252,0.111,0.,0.026,,,,,,
2980,,,,,,,,,,,,,,,,,,,,,,,,,,,0.134,0.,0.134
3019,,,,,,,,,,,,,,,,,,,,,,,,,,,0.129,0.,0.129
3059,,,,,,,,,,,,,,,,,,,,,,,,,,,0.148,0.,0.148
3070,,,,,,,,,,0.08694,0.00013,0.02249,0.00259,0.112,0.,0.026,0.08453,0.00016,0.03280,0.00254,0.12,0.,0.036,,,,,,
3098,,,,,,,,,,,,,,,,,,,,,,,,,,,0.136,0.,0.136
3137,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.,0.14
3183,,,,,,,,,,0.08633,0.00013,0.02443,0.00264,0.113,0.003,0.025,0.08521,0.00015,0.02444,0.00264,0.112,0.,0.028,,,,,,
3241,,,,,,,5.667,0.011,5.655,,,,,,,,,,,,,,,,,,,,
3268,,,,,,,,,,,,,,,,,,,,,,,,,,,0.152,0.,0.152
3297,,,,,,,,,,0.08494,0.00013,0.02655,0.00272,0.114,0.,0.03,0.08457,0.00016,0.02710,0.00271,0.114,0.,0.03,,,,,,
3398,,,,,,,,,,,,,,,,,,,,,,,,,,,0.241,0.,0.241
3410,,,,,,,,,,0.08443,0.00014,0.03582,0.00276,0.123,0.,0.039,0.08502,0.00016,0.02717,0.00277,0.115,0.,0.03,,,,,,
3416,,,,2.385,0.,2.385,,,,,,,,,,,,,,,,,,,,,,,
3524,,,,,,,,,,0.08463,0.00013,0.03716,0.00287,0.124,0.,0.041,0.08414,0.00016,0.04247,0.00286,0.129,0.,0.046,,,,,,
3529,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175,0.,0.175
3601,,,,,,,6.536,0.047,6.487,,,,,,,,,,,,,,,,,,,,
3638,,,,,,,,,,0.08605,0.00014,0.03121,0.00299,0.12,0.,0.035,0.08648,0.00016,0.03504,0.00299,0.124,0.,0.039,,,,,,
3660,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,0.,0.23
3674,,,,,,,,,,0.08642,0.00017,0.04546,0.00300,0.219,0.019,0.114,0.08558,0.00016,0.04532,0.00304,0.134,0.,0.049,,,,,,
3751,,,,,,,,,,0.08547,0.00013,0.10759,0.00303,0.196,0.003,0.107,0.08499,0.00016,0.03603,0.00302,0.124,0.,0.039,,,,,,
3790,,,,,,,,,,,,,,,,,,,,,,,,,,,0.197,0.,0.197
3865,,,,,,,,,,0.08477,0.00014,0.07500,0.00307,0.163,0.,0.078,0.08487,0.00015,0.03825,0.00312,0.126,0.,0.042,,,,,,
3921,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231,0.,0.231
3979,,,,,,,,,,0.08487,0.00013,0.05040,0.00320,0.138,0.,0.054,0.08612,0.00016,0.03975,0.00326,0.129,0.,0.044,,,,,,
3985,,,,3.15,0.,3.15,,,,,,,,,,,,,,,,,,,,,,,
4024,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238,0.,0.238
4052,,,,,,,,,,,,,,,,,,,,,,,,,,,0.229,0.,0.229
4092,,,,,,,,,,0.08565,0.00013,0.03937,0.00332,0.128,0.,0.043,0.08507,0.00015,0.04094,0.00331,0.129,0.,0.045,,,,,,
4182,,,,,,,,,,,,,,,,,,,,,,,,,,,0.245,0.,0.245
4206,,,,,,,,,,0.08503,0.00016,0.04848,0.00340,0.137,0.,0.052,0.08571,0.00016,0.04295,0.00341,0.132,0.,0.047,,,,,,
4313,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,0.,0.26
4319,,,,,,,,,,0.08512,0.00014,0.04391,0.00346,0.132,0.003,0.044,0.08509,0.00016,0.04630,0.00349,0.135,0.003,0.046,,,,,,
4433,,,,,,,,,,0.08513,0.00013,0.04569,0.00353,0.134,0.,0.05,0.08565,0.00016,0.04567,0.00358,0.135,0.003,0.046,,,,,,
4444,,,,,,,,,,,,,,,,,,,,,,,,,,,0.288,0.,0.288
4547,,,,,,,,,,0.08518,0.00014,0.04977,0.00395,0.139,0.003,0.05,0.08533,0.00016,0.05076,0.00366,0.14,0.,0.055,,,,,,
4555,,,,4.119,0.011,4.107,,,,,,,,,,,,,,,,,,,,,,,
4574,,,,,,,,,,,,,,,,,,,,,,,,,,,0.304,0.,0.304
4660,,,,,,,,,,0.08605,0.00013,0.05134,0.00378,0.141,0.,0.056,0.08609,0.00016,0.05149,0.00380,0.141,0.,0.056,,,,,,
4705,,,,,,,,,,,,,,,,,,,,,,,,,,,0.318,0.,0.318
4774,,,,,,,,,,0.08613,0.00013,0.05422,0.00382,0.144,0.,0.059,0.08481,0.00015,0.05151,0.00638,0.143,0.,0.058,,,,,,
4836,,,,,,,,,,,,,,,,,,,,,,,,,,,0.335,0.,0.335
4887,,,,,,,,,,0.08435,0.00014,0.05373,0.00390,0.142,0.,0.058,0.08699,0.00016,0.05702,0.00467,0.149,0.,0.062,,,,,,
4966,,,,,,,,,,,,,,,,,,,,,,,,,,,0.352,0.,0.352
5001,,,,,,,,,,0.08607,0.00017,0.05729,0.00406,0.147,0.,0.062,0.08671,0.00016,0.05924,0.00402,0.15,0.003,0.06,,,,,,
5097,,,,,,,,,,,,,,,,,,,,,,,,,,,0.355,0.,0.355
5115,,,,,,,,,,0.08544,0.00013,0.06017,0.00418,0.15,0.,0.064,0.08505,0.00016,0.06446,0.00409,0.153,0.,0.069,,,,,,
5124,,,,5.342,0.011,5.329,,,,,,,,,,,,,,,,,,,,,,,
5228,,,,,,,,,,0.08641,0.00014,0.06309,0.00418,0.154,0.,0.068,0.08614,0.00016,0.06606,0.00424,0.156,0.,0.071,,,,0.373,0.,0.373
5342,,,,,,,,,,0.08641,0.00014,0.06611,0.00423,0.157,0.003,0.067,0.08577,0.00016,0.06680,0.00435,0.157,0.,0.072,,,,,,
5358,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392,0.,0.392
5456,,,,,,,,,,0.08570,0.00014,0.07025,0.00454,0.16,0.,0.076,0.08650,0.00017,0.07161,0.00437,0.162,0.,0.077,,,,,,
5489,,,,,,,,,,,,,,,,,,,,,,,,,,,0.411,0.,0.411
5569,,,,,,,,,,0.08593,0.00014,0.07813,0.00448,0.168,0.,0.083,0.08732,0.00016,0.07669,0.00457,0.168,0.,0.082,,,,,,
5620,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,0.,0.43
5683,,,,,,,,,,0.08641,0.00014,0.07648,0.00461,0.167,0.,0.082,0.08578,0.00016,0.07995,0.00467,0.17,0.,0.085,,,,,,
5693,,,,6.493,0.008,6.485,,,,,,,,,,,,,,,,,,,,,,,
5750,,,,,,,,,,,,,,,,,,,,,,,,,,,0.451,0.,0.451
5796,,,,,,,,,,0.08623,0.00013,0.07974,0.00467,0.17,0.,0.085,0.08660,0.00016,0.08066,0.00472,0.172,0.,0.086,,,,,,
5881,,,,,,,,,,,,,,,,,,,,,,,,,,,0.478,0.,0.478
5910,,,,,,,,,,0.08634,0.00014,0.08302,0.00476,0.174,0.,0.088,0.08614,0.00015,0.08560,0.00480,0.176,0.,0.091,,,,,,
6012,,,,,,,,,,,,,,,,,,,,,,,,,,,0.489,0.,0.489
6034,,,,,,,,,,,,,,,,,,,,,,,,,,,0.506,0.,0.506
6142,,,,,,,,,,,,,,,,,,,,,,,,,,,0.513,0.,0.513
6221,,,,,,,,,,0.08555,0.00014,0.08785,0.00578,0.179,0.003,0.09,0.08643,0.00016,0.08703,0.00529,0.179,0.,0.093,,,,,,
6273,,,,,,,,,,,,,,,,,,,,,,,,,,,0.532,0.,0.532
6532,,,,,,,,,,0.08561,0.00014,0.10050,0.00681,0.193,0.,0.108,0.08681,0.00016,0.10358,0.00530,0.196,0.,0.109,,,,,,
6843,,,,,,,,,,0.08710,0.00014,0.10566,0.00559,0.198,0.003,0.108,0.08724,0.00020,0.10873,0.00559,0.201,0.,0.115,,,,,,
6900,,,,,,,,,,,,,,,,,,,,,,,,,,,0.634,0.,0.634
7154,,,,,,,,,,0.08660,0.00014,0.11531,0.00585,0.208,0.,0.121,0.08540,0.00016,0.12413,0.00579,0.215,0.,0.13,,,,,,
7346,,,,,,,,,,0.08573,0.00013,0.12687,0.00593,0.218,0.,0.133,0.08452,0.00016,0.13400,0.00608,0.224,0.,0.14,,,,,,
7465,,,,,,,,,,0.08683,0.00014,0.12894,0.00602,0.222,0.003,0.132,0.08712,0.00016,0.12745,0.00639,0.221,0.,0.135,,,,,,
7527,,,,,,,,,,,,,,,,,,,,,,,,,,,0.757,0.,0.757
