param-n,cbn-regression-cubic-real,cbn-regression-cubic-sys,cbn-regression-cubic-user,cbv-regression-quadratic-real,cbv-regression-quadratic-sys,cbv-regression-quadratic-user,lazy-regression-quadratic-real,lazy-regression-quadratic-sys,lazy-regression-quadratic-user,native-compute(1)-native-compute-compilation-real,native-compute(1)-native-compute-conversion-to-native-code-real,native-compute(1)-native-compute-evaluation-real,native-compute(1)-native-compute-reification-real,native-compute(1)-regression-quadratic-real,native-compute(1)-regression-quadratic-sys,native-compute(1)-regression-quadratic-user,native-compute(2)-native-compute-compilation-real,native-compute(2)-native-compute-conversion-to-native-code-real,native-compute(2)-native-compute-evaluation-real,native-compute(2)-native-compute-reification-real,native-compute(2)-regression-quadratic-real,native-compute(2)-regression-quadratic-sys,native-compute(2)-regression-quadratic-user,simpl-regression-cubic-real,simpl-regression-cubic-sys,simpl-regression-cubic-user,vm-compute-regression-quadratic-real,vm-compute-regression-quadratic-sys,vm-compute-regression-quadratic-user
2,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.25891,0.00144,0.00079,0.00006,0.262,0.004,0.01,0.06737,0.00033,0.00084,0.00006,0.068,0.,0.003,0.001,0.,0.,0.,0.,0.
3,0.003,0.,0.003,0.,0.,0.,0.,0.,0.,0.06705,0.00033,0.00089,0.00007,0.068,0.003,0.,0.07074,0.00045,0.00079,0.00007,0.072,0.003,0.,0.002,0.,0.002,0.,0.,0.
4,0.005,0.,0.005,0.,0.,0.,0.,0.,0.,0.06418,0.00053,0.00066,0.00006,0.065,0.,0.004,0.06481,0.00031,0.00092,0.00007,0.066,0.003,0.,0.006,0.,0.005,0.,0.,0.
5,0.01,0.,0.009,0.,0.,0.,0.,0.,0.,0.06378,0.00039,0.00064,0.00007,0.065,0.003,0.,0.07230,0.00030,0.00071,0.00008,0.073,0.002,0.,0.007,0.,0.007,0.,0.,0.
6,0.015,0.003,0.012,0.,0.,0.,0.,0.,0.,0.06423,0.00029,0.00060,0.00007,0.065,0.003,0.,0.06786,0.00031,0.00075,0.00007,0.069,0.,0.003,0.017,0.,0.017,0.,0.,0.
7,0.038,0.,0.038,0.,0.,0.,0.,0.,0.,0.07019,0.00029,0.00083,0.00007,0.071,0.003,0.,0.06538,0.00034,0.00065,0.00007,0.066,0.,0.005,0.032,0.,0.032,0.,0.,0.
8,0.028,0.,0.028,0.,0.,0.,0.,0.,0.,0.06250,0.00028,0.00064,0.00007,0.063,0.003,0.,0.06153,0.00030,0.00068,0.00007,0.062,0.003,0.,0.03,0.,0.03,0.,0.,0.
9,0.158,0.,0.158,0.,0.,0.,0.,0.,0.,0.06515,0.00031,0.00087,0.00009,0.066,0.002,0.001,0.06425,0.00036,0.00072,0.00009,0.065,0.001,0.002,0.144,0.,0.144,0.,0.,0.
10,0.055,0.,0.055,0.,0.,0.,0.,0.,0.,0.06032,0.00030,0.00074,0.00007,0.061,0.,0.003,0.06463,0.00029,0.00075,0.00008,0.065,0.003,0.,0.051,0.,0.051,0.,0.,0.
11,0.082,0.,0.082,0.,0.,0.,,,,,,,,,,,,,,,,,,0.079,0.,0.079,,,
12,0.088,0.004,0.084,,,,0.,0.,0.,,,,,,,,,,,,,,,0.21,0.,0.21,,,
13,0.22,0.,0.22,,,,,,,,,,,,,,,,,,,,,0.091,0.,0.091,,,
14,0.14,0.,0.14,,,,,,,,,,,,,,,,,,,,,0.242,0.,0.242,,,
15,0.255,0.,0.254,,,,,,,,,,,,,,,,,,,,,0.162,0.,0.162,,,
16,0.158,0.,0.158,,,,,,,,,,,,,,,,,,,,,0.182,0.004,0.177,,,
17,,,,,,,,,,,,,,,,,,,,,,,,0.24,0.003,0.236,,,
18,0.252,0.,0.252,,,,0.,0.,0.,,,,,,,,,,,,,,,0.253,0.,0.253,,,
19,0.29,0.,0.29,0.,0.,0.,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,0.412,0.,0.412,,,
