param-n,abstract+repeat-rewrite-strat-bottomup-regression-cubic-real,abstract+repeat-rewrite-strat-bottomup-regression-cubic-sys,abstract+repeat-rewrite-strat-bottomup-regression-cubic-user,abstract+repeat-rewrite-strat-topdown-regression-cubic-real,abstract+repeat-rewrite-strat-topdown-regression-cubic-sys,abstract+repeat-rewrite-strat-topdown-regression-cubic-user,close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-real,close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-sys,close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-user,close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-real,close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-sys,close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-user,noop-repeat-rewrite-strat-bottomup-regression-cubic-real,noop-repeat-rewrite-strat-bottomup-regression-cubic-sys,noop-repeat-rewrite-strat-bottomup-regression-cubic-user,noop-repeat-rewrite-strat-topdown-regression-cubic-real,noop-repeat-rewrite-strat-topdown-regression-cubic-sys,noop-repeat-rewrite-strat-topdown-regression-cubic-user,repeat-rewrite-strat-bottomup-regression-cubic-real,repeat-rewrite-strat-bottomup-regression-cubic-sys,repeat-rewrite-strat-bottomup-regression-cubic-user,repeat-rewrite-strat-topdown-regression-cubic-real,repeat-rewrite-strat-topdown-regression-cubic-sys,repeat-rewrite-strat-topdown-regression-cubic-user
0,0.006,0.006,0.,0.005,0.004,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.005,0.005,0.,0.004,0.004,0.
1,0.01,0.005,0.005,0.009,0.,0.008,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.,0.,0.,0.008,0.004,0.003,0.007,0.,0.007
2,0.017,0.004,0.013,0.019,0.,0.019,0.,0.,0.,0.,0.,0.,0.002,0.,0.001,0.002,0.,0.002,0.014,0.003,0.011,0.016,0.,0.016
3,0.026,0.016,0.009,0.022,0.003,0.019,0.001,0.,0.001,0.,0.,0.,0.002,0.,0.001,0.002,0.002,0.,0.022,0.015,0.007,0.019,0.,0.019
4,0.033,0.015,0.017,0.029,0.009,0.019,0.,0.,0.,0.001,0.001,0.,0.002,0.002,0.,0.002,0.001,0.001,0.029,0.011,0.017,0.024,0.006,0.017
5,0.079,0.007,0.072,0.085,0.026,0.059,0.001,0.,0.001,0.001,0.,0.001,0.002,0.,0.002,0.002,0.,0.002,0.075,0.007,0.067,0.082,0.026,0.056
6,0.046,0.,0.046,0.041,0.,0.041,0.001,0.,0.001,0.001,0.,0.001,0.002,0.,0.002,0.002,0.,0.002,0.041,0.,0.041,0.037,0.,0.037
7,0.059,0.,0.059,0.053,0.,0.053,0.001,0.,0.001,0.001,0.,0.001,0.004,0.,0.004,0.003,0.,0.003,0.052,0.,0.052,0.047,0.,0.047
8,0.143,0.,0.142,0.133,0.,0.133,0.001,0.,0.001,0.001,0.,0.001,0.004,0.,0.004,0.004,0.,0.004,0.137,0.,0.136,0.126,0.,0.126
9,0.086,0.,0.086,0.074,0.,0.074,0.002,0.,0.002,0.002,0.,0.002,0.004,0.,0.004,0.004,0.,0.004,0.079,0.,0.079,0.067,0.,0.067
10,0.16,0.032,0.127,0.164,0.044,0.12,0.002,0.,0.002,0.003,0.,0.003,0.004,0.,0.004,0.005,0.,0.004,0.152,0.031,0.119,0.155,0.043,0.111
