param-n,abstract+rewrite-strat-bottomup-real,abstract+rewrite-strat-bottomup-sys,abstract+rewrite-strat-bottomup-user,abstract+rewrite-strat-topdown-real,abstract+rewrite-strat-topdown-sys,abstract+rewrite-strat-topdown-user,close-abstract+rewrite-strat-bottomup-real,close-abstract+rewrite-strat-bottomup-sys,close-abstract+rewrite-strat-bottomup-user,close-abstract+rewrite-strat-topdown-real,close-abstract+rewrite-strat-topdown-sys,close-abstract+rewrite-strat-topdown-user,rewrite-strat-bottomup-real,rewrite-strat-bottomup-sys,rewrite-strat-bottomup-user,rewrite-strat-bottomup-noop-real,rewrite-strat-bottomup-noop-sys,rewrite-strat-bottomup-noop-user,rewrite-strat-topdown-real,rewrite-strat-topdown-sys,rewrite-strat-topdown-user,rewrite-strat-topdown-noop-real,rewrite-strat-topdown-noop-sys,rewrite-strat-topdown-noop-user
45,0.059,0.,0.059,0.033,0.,0.033,0.011,0.,0.011,0.008,0.,0.008,0.046,0.,0.046,0.,0.,0.,0.023,0.,0.023,0.,0.,0.
46,0.063,0.,0.063,0.037,0.,0.037,0.012,0.,0.012,0.008,0.,0.008,0.05,0.,0.05,0.,0.,0.,0.027,0.,0.027,0.,0.,0.
47,0.065,0.,0.065,0.036,0.,0.036,0.012,0.,0.012,0.007,0.,0.007,0.052,0.,0.052,0.,0.,0.,0.025,0.,0.025,0.,0.,0.
48,0.069,0.,0.069,0.036,0.,0.036,0.013,0.,0.013,0.008,0.,0.008,0.054,0.,0.054,0.,0.,0.,0.026,0.,0.026,0.,0.,0.
49,0.07,0.,0.07,0.04,0.,0.04,0.013,0.,0.013,0.009,0.,0.009,0.055,0.,0.055,0.,0.,0.,0.029,0.,0.029,0.,0.,0.
50,0.15,0.031,0.118,0.121,0.027,0.094,0.012,0.,0.012,0.07,0.011,0.058,0.136,0.03,0.105,0.,0.,0.,0.049,0.015,0.034,0.,0.,0.
51,0.074,0.,0.074,0.043,0.,0.043,0.015,0.,0.015,0.009,0.,0.009,0.058,0.,0.058,0.,0.,0.,0.032,0.,0.032,0.,0.,0.
52,0.079,0.,0.079,0.043,0.,0.043,0.014,0.,0.014,0.011,0.,0.011,0.062,0.,0.062,0.,0.,0.,0.03,0.,0.03,0.,0.,0.
53,0.08,0.,0.08,0.044,0.,0.044,0.014,0.,0.014,0.011,0.,0.011,0.064,0.,0.064,0.,0.,0.,0.031,0.,0.031,0.,0.,0.
54,0.086,0.,0.086,0.046,0.,0.046,0.016,0.,0.016,0.01,0.,0.01,0.068,0.,0.068,0.,0.,0.,0.033,0.,0.033,0.,0.,0.
55,0.091,0.,0.091,0.048,0.,0.048,0.021,0.,0.021,0.011,0.,0.011,0.069,0.,0.069,0.,0.,0.,0.035,0.,0.035,0.,0.,0.
56,0.087,0.,0.087,0.049,0.,0.049,0.014,0.,0.014,0.011,0.,0.01,0.071,0.,0.071,0.,0.,0.,0.036,0.,0.036,0.,0.,0.
57,0.093,0.,0.093,0.055,0.,0.055,0.018,0.,0.018,0.013,0.,0.013,0.073,0.,0.073,0.,0.,0.,0.036,0.,0.036,0.004,0.,0.004
58,0.093,0.,0.093,0.054,0.,0.054,0.017,0.,0.017,0.015,0.,0.015,0.074,0.,0.074,0.,0.,0.,0.037,0.,0.037,0.,0.,0.
59,0.097,0.003,0.094,0.056,0.,0.056,0.018,0.,0.018,0.016,0.,0.016,0.076,0.002,0.074,0.,0.,0.,0.038,0.,0.038,0.,0.,0.
