param-n,abstract-regression-quadratic-real,abstract-regression-quadratic-sys,abstract-regression-quadratic-user,close-abstract-regression-quadratic-real,close-abstract-regression-quadratic-sys,close-abstract-regression-quadratic-user,ssr-rewrite!-regression-quadratic-real,ssr-rewrite!-regression-quadratic-sys,ssr-rewrite!-regression-quadratic-user,ssr-rewrite?-noop-regression-linear-real,ssr-rewrite?-noop-regression-linear-sys,ssr-rewrite?-noop-regression-linear-user
170,0.498,0.,0.498,0.184,0.,0.184,0.312,0.,0.312,0.,0.,0.
180,0.567,0.,0.567,0.219,0.,0.219,0.347,0.,0.347,0.,0.,0.
190,0.661,0.,0.661,0.254,0.,0.254,0.404,0.,0.404,0.,0.,0.
200,0.722,0.007,0.715,0.278,0.003,0.274,0.443,0.003,0.439,0.,0.,0.
210,0.743,0.,0.743,0.272,0.,0.272,0.469,0.,0.469,0.,0.,0.
220,0.83,0.,0.83,0.308,0.,0.308,0.52,0.,0.52,0.,0.,0.
230,0.891,0.,0.891,0.334,0.,0.334,0.555,0.,0.555,0.,0.,0.
240,1.03,0.,1.029,0.388,0.,0.388,0.64,0.,0.64,0.,0.,0.
250,1.049,0.012,1.037,0.395,0.003,0.391,0.652,0.008,0.644,0.,0.,0.
260,1.177,0.011,1.164,0.441,0.,0.441,0.734,0.011,0.72,0.,0.,0.
270,1.235,0.,1.235,0.454,0.,0.454,0.778,0.,0.778,0.,0.,0.
280,1.386,0.,1.386,0.5,0.,0.5,0.884,0.,0.884,0.,0.,0.
290,1.436,0.,1.436,0.527,0.,0.527,0.907,0.,0.907,0.,0.,0.
300,1.598,0.023,1.574,0.622,0.004,0.618,0.974,0.019,0.955,0.,0.,0.
310,1.717,0.,1.717,0.651,0.,0.651,1.064,0.,1.063,0.,0.,0.
320,1.747,0.,1.747,0.643,0.,0.643,1.101,0.,1.101,0.,0.,0.
330,1.905,0.008,1.895,0.67,0.,0.67,1.233,0.008,1.223,0.,0.,0.
340,1.974,0.,1.974,0.728,0.,0.728,1.244,0.,1.244,0.,0.,0.
350,2.098,0.011,2.086,0.773,0.,0.773,1.324,0.011,1.312,0.,0.,0.
360,2.245,0.,2.244,0.807,0.,0.807,1.435,0.,1.435,0.,0.,0.
370,2.403,0.015,2.386,0.918,0.,0.918,1.482,0.015,1.465,0.,0.,0.
380,2.485,0.,2.484,0.914,0.,0.914,1.568,0.,1.567,0.,0.,0.
390,2.61,0.003,2.605,0.928,0.003,0.924,1.679,0.,1.679,0.,0.,0.
400,2.797,0.027,2.768,1.034,0.019,1.014,1.761,0.007,1.753,0.,0.,0.
