param-0-nm,param-1-n,param-2-m,param-3-input-size,param-4-output-size,param-5-num-rewrites,autorewrite-regression-cubic-real,rewrite!-regression-cubic-real,rewrite-strat(bottomup)-regression-cubic-real,rewrite-strat(topdown)-regression-cubic-real,setoid-rewrite-regression-cubic-real,ssr-rewrite!-regression-cubic-real
21,2,3,57,15,21,0.004,0.003,0.017,0.006,0.013,0.005
22,0,22,47,3,22,0.01,,0.017,0.008,0.072,0.011
23,0,23,49,3,23,,,0.018,0.006,,
24,0,24,51,3,24,,,0.02,0.006,,
24,1,8,55,7,24,,,0.019,0.007,0.016,
25,0,25,53,3,25,0.011,0.011,0.022,0.007,0.019,0.014
26,0,26,55,3,26,,,0.024,0.007,,
27,0,27,57,3,27,,,0.023,0.009,,
27,1,9,61,7,27,0.011,0.006,0.023,0.017,0.018,0.01
28,0,28,59,3,28,0.067,,0.025,0.008,0.024,0.069
28,2,4,71,15,28,0.005,0.004,0.025,0.013,0.02,0.008
29,0,29,61,3,29,,,0.027,0.009,,
30,0,30,63,3,30,,,0.028,0.009,,
30,1,10,67,7,30,,,0.027,0.009,0.022,
30,3,2,91,31,30,0.004,0.005,0.036,0.009,0.022,0.007
31,0,31,65,3,31,0.01,0.015,0.029,0.009,0.029,0.015
31,4,1,125,63,31,0.004,0.003,0.023,0.01,0.022,0.005
32,0,32,67,3,32,,,0.035,0.01,,
33,0,33,69,3,33,,,0.033,0.01,,
33,1,11,73,7,33,0.008,0.008,0.033,0.01,0.023,0.02
34,0,34,71,3,34,0.012,,0.035,0.013,0.029,0.017
35,0,35,73,3,35,,,0.037,0.012,,
35,2,5,85,15,35,0.007,0.006,0.034,0.01,0.023,0.011
36,0,36,75,3,36,,,0.039,0.011,,
36,1,12,79,7,36,,,0.039,0.012,0.028,
37,0,37,77,3,37,0.014,0.074,0.041,0.012,0.033,0.02
38,0,38,79,3,38,,,0.042,0.013,,
39,0,39,81,3,39,,,0.044,0.014,,
39,1,13,85,7,39,0.01,0.01,0.044,0.013,0.034,0.018
40,0,40,83,3,40,0.017,,0.051,0.014,0.038,0.025
41,0,41,85,3,41,,,0.048,0.021,,
42,0,42,87,3,42,,,0.051,0.018,,
42,1,14,91,7,42,,,0.049,0.015,0.034,
42,2,6,99,15,42,0.011,0.008,0.046,0.013,0.032,0.014
43,0,43,89,3,43,0.017,0.016,0.053,0.02,0.041,0.027
44,0,44,91,3,44,,,0.057,0.018,,
45,0,45,93,3,45,,,0.056,0.017,,
45,1,15,97,7,45,0.014,0.013,0.053,0.019,0.041,0.022
45,3,3,121,31,45,0.007,0.009,0.116,0.014,0.091,0.013
46,0,46,95,3,46,0.018,,0.055,0.018,0.046,0.028
47,0,47,97,3,47,,,0.058,0.019,,
48,0,48,99,3,48,,,0.066,0.021,,
48,1,16,103,7,48,,,0.059,0.018,0.042,
49,0,49,101,3,49,0.022,0.019,0.067,0.02,0.052,0.033
49,2,7,113,15,49,0.01,0.01,0.06,0.016,0.037,0.02
50,0,50,103,3,50,,,0.065,0.021,,
51,0,51,105,3,51,,,0.075,0.022,,
51,1,17,109,7,51,0.015,0.015,0.068,0.02,0.057,0.027
52,0,52,107,3,52,0.024,,0.073,0.022,0.056,0.035
53,0,53,109,3,53,,,0.078,0.022,,
54,0,54,111,3,54,,,0.074,0.023,,
54,1,18,115,7,54,,,0.074,0.024,0.049,
55,0,55,113,3,55,0.025,0.026,0.073,0.026,0.061,0.04
56,0,56,115,3,56,,,0.085,0.025,,
56,2,8,127,15,56,0.013,0.012,0.076,0.02,0.045,0.022
57,0,57,117,3,57,,,0.086,0.028,,
57,1,19,121,7,57,0.018,0.018,0.08,0.024,0.057,0.033
58,0,58,119,3,58,0.029,,0.088,0.028,0.066,0.043
59,0,59,121,3,59,,,0.098,0.028,,
60,0,60,123,3,60,,,0.087,0.029,,
60,1,20,127,7,60,,,0.094,0.026,0.059,
60,3,4,151,31,60,0.01,0.014,0.077,0.021,0.039,0.021
61,0,61,125,3,61,0.03,0.031,0.098,0.03,0.069,0.046
62,0,62,127,3,62,,,0.096,0.035,,
62,4,2,187,63,62,0.008,0.006,0.077,0.021,0.04,0.012
63,0,63,129,3,63,,,0.108,0.033,,
63,1,21,133,7,63,0.022,0.022,0.096,0.03,0.064,0.041
63,2,9,141,15,63,0.015,0.014,0.098,0.03,0.052,0.026
63,5,1,253,127,63,0.008,0.005,0.061,0.026,0.042,0.011
