param-n,cbn-regression-cubic-real,cbn-regression-cubic-sys,cbn-regression-cubic-user,cbv-regression-quadratic-real,cbv-regression-quadratic-sys,cbv-regression-quadratic-user,lazy-regression-quadratic-real,lazy-regression-quadratic-sys,lazy-regression-quadratic-user,native-compute(1)-regression-quadratic-real,native-compute(1)-regression-quadratic-sys,native-compute(1)-regression-quadratic-user,native-compute(2)-regression-quadratic-real,native-compute(2)-regression-quadratic-sys,native-compute(2)-regression-quadratic-user,simpl-regression-cubic-real,simpl-regression-cubic-sys,simpl-regression-cubic-user,vm-compute-regression-quadratic-real,vm-compute-regression-quadratic-sys,vm-compute-regression-quadratic-user
2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
3,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.,0.,0.
4,0.056,0.012,0.044,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.058,0.007,0.05,0.,0.,0.
5,0.004,0.,0.004,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.004,0.,0.004,0.,0.,0.
6,0.006,0.,0.006,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.007,0.,0.007,0.,0.,0.
7,0.009,0.,0.009,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.009,0.,0.009,0.,0.,0.
8,0.012,0.,0.012,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.013,0.,0.013,0.,0.,0.
9,0.029,0.,0.029,0.053,0.,0.053,0.053,0.002,0.05,0.,0.,0.,0.,0.,0.,0.029,0.,0.029,0.,0.,0.
10,0.021,0.,0.021,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.022,0.,0.022,0.,0.,0.
11,0.083,0.007,0.075,0.,0.,0.,,,,,,,,,,0.082,0.003,0.078,,,
12,0.087,0.007,0.079,,,,0.,0.,0.,,,,,,,0.047,0.,0.047,,,
13,0.05,0.,0.05,,,,,,,,,,,,,0.042,0.,0.042,,,
14,0.048,0.,0.048,,,,,,,,,,,,,0.119,0.011,0.107,,,
15,0.075,0.,0.075,,,,,,,,,,,,,0.064,0.,0.064,,,
16,0.065,0.,0.065,,,,,,,,,,,,,0.08,0.,0.08,,,
17,,,,,,,,,,,,,,,,0.094,0.,0.094,,,
18,0.095,0.,0.095,,,,0.,0.,0.,,,,,,,0.1,0.,0.1,,,
19,0.115,0.,0.115,0.,0.,0.,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,0.2,0.,0.2,,,
22,0.261,0.,0.261,,,,,,,,,,,,,0.181,0.,0.181,,,
23,,,,,,,0.056,0.007,0.049,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,0.256,0.,0.256,,,
25,0.222,0.,0.222,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,0.265,0.,0.265,,,
28,0.399,0.,0.399,0.055,0.003,0.052,0.,0.,0.,,,,,,,0.418,0.,0.418,,,
30,0.356,0.,0.356,,,,,,,,,,,,,0.367,0.,0.367,,,
32,,,,,,,,,,,,,,,,0.431,0.,0.431,,,
33,0.425,0.,0.425,,,,0.,0.,0.,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,0.51,0.,0.51,,,
36,0.545,0.,0.545,0.,0.,0.,,,,,,,,,,,,,,,
39,,,,,,,0.001,0.,0.,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,0.818,0.,0.818,0.,0.,0.
43,0.874,0.,0.874,,,,,,,,,,,,,,,,,,
44,,,,,,,0.001,0.,0.001,,,,,,,,,,,,
45,,,,0.001,0.,0.001,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,1.218,0.,1.218,,,
49,,,,,,,0.001,0.,0.001,,,,,,,,,,,,
50,1.303,0.,1.303,,,,,,,,,,,,,,,,,,
53,,,,0.001,0.,0.001,,,,,,,,,,,,,,,
54,,,,,,,0.001,0.,0.001,,,,,,,1.744,0.,1.744,,,
56,1.767,0.003,1.763,,,,,,,,,,,,,,,,,,
59,,,,,,,0.001,0.,0.001,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,2.328,0.007,2.319,,,
62,,,,0.001,0.,0.001,,,,,,,,,,,,,,,
63,2.551,0.,2.551,,,,,,,,,,,,,,,,,,
65,,,,,,,0.002,0.,0.002,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,3.242,0.003,3.238,,,
70,3.465,0.,3.465,,,,0.002,0.,0.002,,,,,,,,,,,,
71,,,,0.002,0.,0.002,,,,,,,,,,,,,,,
75,,,,,,,0.002,0.,0.002,,,,,,,,,,,,
79,,,,0.002,0.,0.002,,,,,,,,,,,,,,,
80,,,,,,,0.015,0.,0.015,,,,,,,,,,0.,0.,0.
86,,,,,,,0.003,0.,0.003,,,,,,,,,,,,
88,,,,0.003,0.,0.003,,,,,,,,,,,,,,,
91,,,,,,,0.003,0.,0.003,,,,,,,,,,,,
96,,,,0.003,0.,0.003,0.003,0.,0.003,,,,,,,,,,,,
101,,,,,,,0.004,0.,0.004,,,,,,,,,,,,
105,,,,0.016,0.,0.016,,,,,,,,,,,,,,,
