param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbn-regression-quadratic-sys,cps+cbn-regression-quadratic-user,cps+cbv-regression-quadratic-real,cps+cbv-regression-quadratic-sys,cps+cbv-regression-quadratic-user,cps+lazy-regression-quadratic-real,cps+lazy-regression-quadratic-sys,cps+lazy-regression-quadratic-user,cps+native-compute-regression-quadratic-real,cps+native-compute-regression-quadratic-sys,cps+native-compute-regression-quadratic-user,cps+simpl-regression-quadratic-real,cps+simpl-regression-quadratic-sys,cps+simpl-regression-quadratic-user,cps+vm-compute-regression-quadratic-real,cps+vm-compute-regression-quadratic-sys,cps+vm-compute-regression-quadratic-user,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(bottomup-bottomup)-regression-exponential-sys,rewrite-strat(bottomup-bottomup)-regression-exponential-user,rewrite-strat(topdown-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-sys,rewrite-strat(topdown-bottomup)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
1,1,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.003,0.,0.003
2,1,2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.003,0.,0.003,0.003,0.,0.003,0.012,0.,0.012
2,2,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001,0.007,0.004,0.003
3,1,3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.007,0.,0.007,0.007,0.003,0.004,0.021,0.007,0.013
3,3,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.005,0.,0.005,0.005,0.003,0.002,0.045,0.,0.044
4,1,4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.047,0.,0.047,0.049,0.003,0.045,0.032,0.,0.032
4,2,2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.009,0.006,0.002,0.009,0.004,0.004,0.019,0.,0.019
4,4,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.012,0.,0.012,0.012,0.,0.012,0.032,0.002,0.029
5,1,5,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.041,0.015,0.026,0.041,0.007,0.034,0.104,0.012,0.092
5,5,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.05,0.009,0.041,0.051,0.,0.051,0.045,0.,0.045
6,2,3,,,,,,,,,,,,,,,,,,,,,,,,,0.053,0.,0.053
7,1,7,,,,,,,,,,,,,,,,,,,0.157,0.016,0.14,0.154,0.004,0.149,0.219,0.011,0.207
7,7,1,,,,,,,,,,,,,,,,,,,0.047,0.,0.047,0.051,0.,0.051,0.087,0.,0.087
8,1,8,,,,,,,,,,,,,,,,,,,0.172,0.,0.172,0.173,0.,0.173,0.267,0.,0.267
8,2,4,,,,,,,,,,,,,,,,,,,0.064,0.,0.064,0.065,0.,0.065,0.071,0.,0.071
8,4,2,,,,,,,,,,,,,,,,,,,0.105,0.003,0.102,0.107,0.,0.107,0.073,0.,0.073
8,8,1,,,,,,,,,,,,,,,,,,,0.102,0.,0.102,0.109,0.,0.109,0.22,0.,0.22
9,1,9,,,,,,,,,,,,,,,,,,,0.279,0.,0.279,0.279,0.,0.279,0.476,0.,0.475
9,3,3,,,,,,,,,,,,,,,,,,,0.068,0.,0.068,0.069,0.,0.069,0.115,0.,0.115
9,9,1,,,,,,,,,,,,,,,,,,,0.195,0.,0.195,0.203,0.,0.203,0.275,0.,0.275
10,1,10,,,,,,,,,,,,,,,,,,,,,,,,,0.641,0.,0.641
10,10,1,,,,,,,,,,,,,,,,,,,,,,,,,0.265,0.,0.265
11,1,11,,,,,,,,,,,,,,,,,,,0.718,0.,0.718,0.713,0.,0.713,,,
11,11,1,,,,,,,,,,,,,,,,,,,0.187,0.,0.187,0.21,0.,0.21,,,
12,1,12,0.002,0.,0.001,,,,,,,,,,,,,,,,1.001,0.,1.001,1.001,0.,1.001,,,
12,3,4,0.001,0.,0.001,,,,,,,,,,,,,,,,0.171,0.,0.171,0.173,0.,0.173,0.11,0.,0.11
12,12,1,0.001,0.,0.001,,,,,,,,,,,,,,,,0.247,0.,0.247,0.277,0.,0.277,,,
13,1,13,,,,,,,,,,,,,,,,,,,,,,,,,1.305,0.,1.305
13,13,1,,,,,,,,,,,,,,,,,,,,,,,,,0.615,0.,0.615
15,1,15,,,,,,,,,,,,,,,,,,,2.843,0.,2.841,2.841,0.,2.841,,,
15,15,1,,,,,,,,,,,,,,,,,,,0.514,0.,0.514,0.593,0.,0.593,,,
16,1,16,,,,,,,,,,,,,0.002,0.001,0.001,,,,,,,,,,,,
16,4,4,,,,,,,,,,,,,0.001,0.,0.001,,,,,,,,,,,,
16,16,1,,,,,,,,,,,,,0.001,0.,0.001,,,,,,,,,,,,
17,1,17,,,,,,,,,,,,,,,,,,,,,,,,,3.398,0.003,3.394
17,17,1,,,,,,,,,,,,,,,,,,,,,,,,,1.613,0.011,1.6
18,1,18,0.003,0.,0.003,,,,,,,,,,,,,,,,,,,,,,,,
18,18,1,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,,,,,
20,4,5,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,,,0.275,0.,0.275
24,1,24,0.004,0.,0.004,,,,,,,,,,,,,,,,,,,,,,,,
24,24,1,0.002,0.,0.002,,,,,,,,,,,,,,,,,,,,,,,,
27,1,27,,,,,,,,,,,,,0.004,0.,0.004,,,,,,,,,,,,
