param-n,abstract+setoid-rewrite-regression-cubic-real,abstract+setoid-rewrite-regression-cubic-sys,abstract+setoid-rewrite-regression-cubic-user,close-abstract+setoid-rewrite-regression-quadratic-real,close-abstract+setoid-rewrite-regression-quadratic-sys,close-abstract+setoid-rewrite-regression-quadratic-user,noop-repeat-setoid-rewrite-regression-cubic-real,noop-repeat-setoid-rewrite-regression-cubic-sys,noop-repeat-setoid-rewrite-regression-cubic-user,noop-try-setoid-rewrite-regression-cubic-real,noop-try-setoid-rewrite-regression-cubic-sys,noop-try-setoid-rewrite-regression-cubic-user,repeat-setoid-rewrite-regression-cubic-real,repeat-setoid-rewrite-regression-cubic-sys,repeat-setoid-rewrite-regression-cubic-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
0,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.001,0.,0.001,0.,0.
1,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.001,0.,0.001,0.,0.001
2,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.001,0.,0.001,0.,0.001
10,0.008,0.,0.008,0.001,0.,0.001,0.002,0.,0.001,0.002,0.002,0.,0.009,0.002,0.006,0.006,0.,0.006
20,0.019,0.,0.019,0.004,0.,0.004,0.004,0.004,0.,0.004,0.001,0.003,0.019,0.,0.019,0.014,0.,0.014
30,0.061,0.003,0.058,0.006,0.,0.005,0.006,0.,0.006,0.008,0.,0.008,0.059,0.,0.059,0.054,0.002,0.052
40,0.058,0.,0.058,0.013,0.,0.013,0.009,0.,0.009,0.012,0.008,0.004,0.057,0.,0.057,0.045,0.,0.045
50,0.122,0.011,0.11,0.029,0.,0.028,0.025,0.,0.025,0.017,0.,0.017,0.105,0.015,0.089,0.093,0.011,0.082
60,0.1,0.,0.1,0.027,0.,0.027,0.018,0.,0.018,0.052,0.,0.052,0.095,0.,0.095,0.073,0.,0.073
70,0.136,0.003,0.133,0.031,0.,0.031,0.085,0.,0.085,0.023,0.,0.023,0.129,0.,0.129,0.104,0.003,0.101
80,0.265,0.004,0.261,0.05,0.004,0.046,0.031,0.,0.031,0.043,0.,0.043,0.193,0.,0.193,0.214,0.,0.214
90,0.222,0.,0.221,0.056,0.,0.056,0.038,0.,0.038,0.037,0.,0.037,0.209,0.,0.209,0.165,0.,0.165
100,0.27,0.004,0.265,0.065,0.,0.065,0.046,0.,0.046,0.082,0.006,0.075,0.256,0.,0.256,0.204,0.004,0.199
110,0.414,0.,0.414,0.071,0.,0.071,0.057,0.003,0.054,0.055,0.,0.055,0.401,0.,0.401,0.342,0.,0.342
120,0.374,0.,0.374,0.085,0.,0.085,0.066,0.,0.066,0.069,0.,0.069,0.367,0.,0.367,0.288,0.,0.288
130,0.45,0.,0.449,0.098,0.,0.098,0.076,0.,0.076,0.082,0.,0.081,0.43,0.003,0.427,0.35,0.,0.35
140,0.543,0.,0.543,0.112,0.,0.112,0.09,0.,0.09,0.142,0.,0.142,0.505,0.,0.505,0.43,0.,0.43
150,0.831,0.,0.831,0.231,0.,0.231,0.138,0.,0.138,0.114,0.,0.114,0.758,0.003,0.754,0.599,0.,0.599
160,0.733,0.,0.733,0.146,0.,0.146,0.117,0.,0.117,0.158,0.,0.158,0.68,0.011,0.668,0.587,0.,0.587
170,0.842,0.007,0.834,0.164,0.,0.164,0.134,0.,0.134,0.132,0.,0.132,0.823,0.003,0.819,0.677,0.007,0.669
180,0.894,0.,0.894,0.183,0.,0.183,0.15,0.,0.15,0.154,0.,0.154,0.883,0.,0.883,0.71,0.,0.71
190,1.039,0.,1.039,0.202,0.,0.202,0.166,0.,0.166,0.257,0.,0.257,0.977,0.,0.977,0.836,0.,0.836
200,1.179,0.003,1.175,0.227,0.,0.227,0.185,0.,0.185,0.193,0.,0.193,1.086,0.003,1.082,0.951,0.003,0.947
210,1.27,0.,1.27,0.251,0.,0.251,0.206,0.,0.206,0.202,0.,0.202,1.287,0.,1.286,1.018,0.,1.018
220,1.416,0.003,1.412,0.274,0.,0.274,0.223,0.,0.223,0.221,0.,0.221,1.392,0.003,1.388,1.141,0.003,1.137
230,1.521,0.003,1.517,0.294,0.,0.294,0.251,0.,0.251,0.245,0.,0.245,1.597,0.004,1.593,1.226,0.003,1.222
240,1.744,0.004,1.739,0.322,0.,0.322,0.274,0.,0.274,0.267,0.,0.267,1.665,0.,1.665,1.42,0.004,1.416
250,2.035,0.,2.035,0.352,0.,0.352,0.299,0.,0.299,0.291,0.,0.291,2.006,0.,2.006,1.683,0.,1.682
300,2.873,0.,2.872,0.503,0.,0.503,0.443,0.,0.443,0.434,0.,0.434,2.911,0.,2.911,2.369,0.,2.368
400,6.103,0.,6.103,0.886,0.,0.886,0.836,0.,0.836,0.819,0.,0.819,6.106,0.003,6.102,5.215,0.,5.215
