Tactic call eval-thunk-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call build-eval-thunk-regression-linear ran for 0.021 secs (0.021u,0.s) (success)
Tactic call build-I-regression-linear ran for 0.002 secs (0.002u,0.s) (success)
Tactic call check-I-regression-linear ran for 0.004 secs (0.004u,0.s) (success)
Tactic call type-I-regression-linear ran for 0.004 secs (0.004u,0.s) (success)
Tactic call build-admit-regression-linear ran for 0.002 secs (0.002u,0.s) (success)
Tactic call check-admit-regression-quadratic ran for 0.016 secs (0.016u,0.s) (success)
Tactic call type-admit-regression-quadratic ran for 0.014 secs (0.014u,0.s) (success)
Tactic call build-admit-cast-regression-linear ran for 0.002 secs (0.002u,0.s) (success)
Tactic call check-admit-cast-regression-quadratic ran for 0.014 secs (0.014u,0.s) (success)
Tactic call type-admit-cast-regression-quadratic ran for 0.014 secs (0.014u,0.s) (success)
Tactic call build-pf-cast-regression-linear ran for 0.002 secs (0.002u,0.s) (success)
Tactic call check-pf-cast-regression-quadratic ran for 0.014 secs (0.014u,0.s) (success)
Tactic call type-pf-cast-regression-quadratic ran for 0.014 secs (0.014u,0.s) (success)
Tactic call refine-regression-quadratic-regression-linear ran for 0.015 secs (0.015u,0.s) (success)
Tactic call fast_rewrite-regression-quadratic ran for 0.144 secs (0.144u,0.s) (success)
Tactic call abstract-regression-quadratic ran for 0.174 secs (0.174u,0.s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.03 secs (0.03u,0.s)
Params: n= 300
Tactic call build-thunk-regression-linear ran for 0.025 secs (0.025u,0.s) (success)
Tactic call eval-thunk-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call build-eval-thunk-regression-linear ran for 0.025 secs (0.025u,0.s) (success)
Tactic call build-I-regression-linear ran for 0.002 secs (0.002u,0.s) (success)
Tactic call check-I-regression-linear ran for 0.004 secs (0.004u,0.s) (success)
Tactic call type-I-regression-linear ran for 0.004 secs (0.004u,0.s) (success)
Tactic call build-admit-regression-linear ran for 0.002 secs (0.002u,0.s) (success)
Tactic call check-admit-regression-quadratic ran for 0.021 secs (0.021u,0.s) (success)
Tactic call type-admit-regression-quadratic ran for 0.019 secs (0.019u,0.s) (success)
Tactic call build-admit-cast-regression-linear ran for 0.002 secs (0.002u,0.s) (success)
Tactic call check-admit-cast-regression-quadratic ran for 0.02 secs (0.02u,0.s) (success)
Tactic call type-admit-cast-regression-quadratic ran for 0.02 secs (0.02u,0.s) (success)
Tactic call build-pf-cast-regression-linear ran for 0.002 secs (0.002u,0.s) (success)
Tactic call check-pf-cast-regression-quadratic ran for 0.02 secs (0.02u,0.s) (success)
Tactic call type-pf-cast-regression-quadratic ran for 0.02 secs (0.02u,0.s) (success)
Tactic call refine-regression-quadratic-regression-linear ran for 0.02 secs (0.02u,0.s) (success)
Tactic call fast_rewrite-regression-quadratic ran for 0.189 secs (0.189u,0.s) (success)
Tactic call abstract-regression-quadratic ran for 0.233 secs (0.229u,0.003s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.044 secs (0.04u,0.003s)
Params: n= 350
Tactic call build-thunk-regression-linear ran for 0.029 secs (0.029u,0.s) (success)
Tactic call eval-thunk-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call build-eval-thunk-regression-linear ran for 0.03 secs (0.03u,0.s) (success)
Tactic call build-I-regression-linear ran for 0.007 secs (0.007u,0.s) (success)
Tactic call check-I-regression-linear ran for 0.005 secs (0.005u,0.s) (success)
Tactic call type-I-regression-linear ran for 0.005 secs (0.005u,0.s) (success)
Tactic call build-admit-regression-linear ran for 0.003 secs (0.003u,0.s) (success)
Tactic call check-admit-regression-quadratic ran for 0.025 secs (0.025u,0.s) (success)
