param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbn-regression-quadratic-sys,cps+cbn-regression-quadratic-user,cps+cbv-regression-quadratic-real,cps+cbv-regression-quadratic-sys,cps+cbv-regression-quadratic-user,cps+lazy-regression-quadratic-real,cps+lazy-regression-quadratic-sys,cps+lazy-regression-quadratic-user,cps+native-compute-native-compute-compilation-real,cps+native-compute-native-compute-conversion-to-native-code-real,cps+native-compute-native-compute-evaluation-real,cps+native-compute-native-compute-reification-real,cps+native-compute-regression-quadratic-real,cps+native-compute-regression-quadratic-sys,cps+native-compute-regression-quadratic-user,cps+simpl-regression-quadratic-real,cps+simpl-regression-quadratic-sys,cps+simpl-regression-quadratic-user,cps+vm-compute-regression-quadratic-real,cps+vm-compute-regression-quadratic-sys,cps+vm-compute-regression-quadratic-user,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(bottomup-bottomup)-regression-exponential-sys,rewrite-strat(bottomup-bottomup)-regression-exponential-user,rewrite-strat(topdown-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-sys,rewrite-strat(topdown-bottomup)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
1,1,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.10148,0.00036,0.00051,0.00005,0.189,0.011,0.077,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.004,0.001,0.003
2,1,2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.10086,0.00017,0.00053,0.00006,0.101,0.001,0.,0.,0.,0.,0.,0.,0.,0.004,0.001,0.003,0.004,0.,0.004,0.015,0.,0.014
2,2,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.10101,0.00018,0.00051,0.00006,0.101,0.,0.001,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.,0.009,0.002,0.006
3,1,3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.10036,0.00045,0.00052,0.00006,0.101,0.001,0.,0.,0.,0.,0.,0.,0.,0.009,0.,0.008,0.009,0.001,0.007,0.068,0.004,0.063
3,3,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.10154,0.00018,0.00052,0.00006,0.102,0.002,0.,0.,0.,0.,0.,0.,0.,0.006,0.001,0.004,0.006,0.,0.005,0.013,0.,0.013
4,1,4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.09980,0.00034,0.00054,0.00006,0.1,0.,0.002,0.,0.,0.,0.,0.,0.,0.018,0.,0.018,0.018,0.,0.018,0.038,0.,0.038
4,2,2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.10037,0.00018,0.00059,0.00006,0.101,0.,0.001,0.,0.,0.,0.,0.,0.,0.055,0.003,0.052,0.055,0.003,0.052,0.037,0.,0.037
4,4,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.09987,0.00018,0.00051,0.00006,0.1,0.001,0.001,0.,0.,0.,0.,0.,0.,0.011,0.,0.011,0.011,0.,0.011,0.023,0.,0.023
5,1,5,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.09824,0.00036,0.00052,0.00007,0.184,0.018,0.068,0.001,0.,0.001,0.,0.,0.,0.091,0.009,0.081,0.09,0.012,0.077,0.137,0.012,0.124
5,5,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.09799,0.00018,0.00054,0.00007,0.098,0.001,0.001,0.,0.,0.,0.,0.,0.,0.021,0.,0.021,0.021,0.,0.021,0.04,0.,0.04
