param-n,abstract-regression-quadratic-real,abstract-regression-quadratic-sys,abstract-regression-quadratic-user,close-abstract-regression-quadratic-real,close-abstract-regression-quadratic-sys,close-abstract-regression-quadratic-user,ssr-rewrite!-regression-quadratic-real,ssr-rewrite!-regression-quadratic-sys,ssr-rewrite!-regression-quadratic-user,ssr-rewrite?-noop-regression-linear-real,ssr-rewrite?-noop-regression-linear-sys,ssr-rewrite?-noop-regression-linear-user
28,0.012,0.,0.012,0.006,0.,0.006,0.005,0.,0.005,0.,0.,0.
29,0.014,0.,0.014,0.008,0.,0.008,0.005,0.,0.005,0.,0.,0.
30,0.014,0.,0.014,0.007,0.,0.007,0.006,0.,0.006,0.,0.,0.
31,0.015,0.,0.015,0.007,0.,0.007,0.006,0.,0.006,0.,0.,0.
32,0.017,0.,0.017,0.01,0.,0.01,0.007,0.,0.007,0.,0.,0.
33,0.016,0.,0.016,0.008,0.,0.008,0.007,0.,0.007,0.,0.,0.
34,0.017,0.,0.017,0.009,0.,0.009,0.007,0.,0.007,0.,0.,0.
35,0.02,0.,0.02,0.01,0.,0.01,0.009,0.,0.009,0.,0.,0.
36,0.019,0.,0.019,0.01,0.,0.01,0.008,0.,0.008,0.,0.,0.
37,0.022,0.,0.022,0.011,0.,0.011,0.011,0.,0.011,0.,0.,0.
38,0.021,0.,0.021,0.011,0.,0.011,0.009,0.,0.009,0.,0.,0.
39,0.024,0.,0.024,0.012,0.,0.012,0.012,0.,0.012,0.,0.,0.
40,0.024,0.,0.024,0.013,0.,0.013,0.01,0.,0.01,0.,0.,0.
41,0.028,0.,0.028,0.013,0.,0.013,0.013,0.,0.013,0.,0.,0.
42,0.027,0.,0.027,0.015,0.,0.015,0.011,0.,0.011,0.,0.,0.
43,0.027,0.,0.027,0.015,0.,0.015,0.012,0.,0.012,0.,0.,0.
44,0.03,0.,0.03,0.015,0.,0.015,0.014,0.,0.014,0.,0.,0.
45,0.031,0.,0.031,0.017,0.,0.017,0.013,0.,0.013,0.,0.,0.
46,0.031,0.,0.031,0.017,0.,0.017,0.013,0.,0.013,0.,0.,0.
47,0.034,0.,0.034,0.017,0.,0.017,0.015,0.,0.015,0.,0.,0.
48,0.035,0.,0.035,0.02,0.,0.02,0.014,0.,0.014,0.,0.,0.
49,0.038,0.,0.038,0.022,0.,0.022,0.015,0.,0.015,0.,0.,0.
50,0.08,0.004,0.076,0.06,0.004,0.056,0.019,0.,0.019,0.,0.,0.
51,0.041,0.,0.041,0.022,0.,0.022,0.018,0.,0.018,0.,0.,0.
52,0.041,0.,0.041,0.023,0.,0.023,0.017,0.,0.017,0.,0.,0.
53,0.041,0.,0.041,0.023,0.,0.023,0.017,0.,0.017,0.,0.,0.
54,0.043,0.,0.043,0.023,0.,0.023,0.019,0.,0.019,0.,0.,0.
55,0.044,0.,0.044,0.024,0.,0.024,0.019,0.,0.019,0.,0.,0.
56,0.049,0.,0.049,0.028,0.,0.028,0.019,0.,0.019,0.,0.,0.
57,0.047,0.,0.047,0.027,0.,0.027,0.019,0.,0.019,0.,0.,0.
58,0.05,0.,0.05,0.028,0.,0.028,0.021,0.,0.021,0.,0.,0.
59,0.052,0.,0.052,0.03,0.,0.03,0.021,0.,0.021,0.,0.,0.
60,0.054,0.,0.054,0.029,0.,0.029,0.024,0.,0.024,0.,0.,0.
61,0.055,0.,0.055,0.03,0.,0.03,0.024,0.,0.024,0.,0.,0.
62,0.06,0.003,0.057,0.033,0.003,0.03,0.026,0.,0.026,0.,0.,0.
63,0.06,0.,0.06,0.035,0.,0.035,0.024,0.,0.024,0.,0.,0.
