param-n,cbn-regression-cubic-real,cbn-regression-cubic-sys,cbn-regression-cubic-user,cbv-regression-quadratic-real,cbv-regression-quadratic-sys,cbv-regression-quadratic-user,lazy-regression-quadratic-real,lazy-regression-quadratic-sys,lazy-regression-quadratic-user,native-compute(1)-native-compute-compilation-real,native-compute(1)-native-compute-conversion-to-native-code-real,native-compute(1)-native-compute-evaluation-real,native-compute(1)-native-compute-reification-real,native-compute(1)-regression-quadratic-real,native-compute(1)-regression-quadratic-sys,native-compute(1)-regression-quadratic-user,native-compute(2)-native-compute-compilation-real,native-compute(2)-native-compute-conversion-to-native-code-real,native-compute(2)-native-compute-evaluation-real,native-compute(2)-native-compute-reification-real,native-compute(2)-regression-quadratic-real,native-compute(2)-regression-quadratic-sys,native-compute(2)-regression-quadratic-user,simpl-regression-cubic-real,simpl-regression-cubic-sys,simpl-regression-cubic-user,vm-compute-regression-quadratic-real,vm-compute-regression-quadratic-sys,vm-compute-regression-quadratic-user
2,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.25021,0.00122,0.00072,0.00006,0.252,0.,0.012,0.06471,0.00033,0.00062,0.00007,0.065,0.,0.003,0.001,0.,0.001,0.,0.,0.
3,0.003,0.,0.003,0.,0.,0.,0.,0.,0.,0.06572,0.00031,0.00060,0.00007,0.066,0.,0.003,0.06548,0.00033,0.00060,0.00007,0.066,0.002,0.,0.003,0.,0.002,0.,0.,0.
4,0.006,0.,0.006,0.,0.,0.,0.,0.,0.,0.06574,0.00031,0.00060,0.00007,0.066,0.002,0.,0.06488,0.00033,0.00060,0.00006,0.066,0.,0.002,0.006,0.,0.006,0.,0.,0.
5,0.011,0.,0.011,0.,0.,0.,0.,0.,0.,0.06387,0.00032,0.00060,0.00007,0.065,0.,0.002,0.06638,0.00032,0.00060,0.00007,0.067,0.,0.003,0.01,0.,0.01,0.,0.,0.
6,0.033,0.,0.033,0.,0.,0.,0.,0.,0.,0.06351,0.00032,0.00061,0.00007,0.064,0.003,0.,0.06564,0.00034,0.00061,0.00008,0.066,0.003,0.,0.032,0.011,0.02,0.,0.,0.
7,0.026,0.,0.026,0.,0.,0.,0.,0.,0.,0.06325,0.00031,0.00059,0.00007,0.064,0.003,0.,0.06298,0.00033,0.00060,0.00007,0.064,0.,0.002,0.022,0.,0.022,0.,0.,0.
8,0.033,0.,0.033,0.,0.,0.,0.,0.,0.,0.06452,0.00031,0.00060,0.00007,0.065,0.,0.002,0.06325,0.00033,0.00061,0.00007,0.064,0.003,0.,0.137,0.,0.137,0.,0.,0.
9,0.146,0.,0.146,0.,0.,0.,0.,0.,0.,0.06328,0.00032,0.00063,0.00007,0.064,0.002,0.,0.06345,0.00033,0.00061,0.00008,0.064,0.,0.002,0.041,0.,0.041,0.,0.,0.
10,0.061,0.,0.061,0.,0.,0.,0.,0.,0.,0.06366,0.00031,0.00062,0.00007,0.064,0.003,0.,0.06230,0.00033,0.00062,0.00007,0.063,0.,0.002,0.055,0.,0.055,0.,0.,0.
11,0.09,0.,0.089,0.,0.,0.,,,,,,,,,,,,,,,,,,0.081,0.,0.081,,,
