param-n,noop-repeat-rewrite-strat-bottomup-regression-cubic-real,noop-repeat-rewrite-strat-bottomup-regression-cubic-sys,noop-repeat-rewrite-strat-bottomup-regression-cubic-user,noop-repeat-rewrite-strat-topdown-regression-cubic-real,noop-repeat-rewrite-strat-topdown-regression-cubic-sys,noop-repeat-rewrite-strat-topdown-regression-cubic-user,noop-repeat-setoid-rewrite-regression-cubic-real,noop-repeat-setoid-rewrite-regression-cubic-sys,noop-repeat-setoid-rewrite-regression-cubic-user
0,0.,0.,0.,0.,0.,0.,0.,0.,0.
1,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001
10,0.004,0.,0.004,0.004,0.,0.004,0.004,0.,0.004
20,0.009,0.004,0.004,0.009,0.003,0.006,0.009,0.004,0.005
30,0.011,0.,0.011,0.011,0.,0.011,0.05,0.015,0.035
40,0.017,0.,0.017,0.018,0.,0.018,0.017,0.,0.017
50,0.024,0.,0.023,0.064,0.02,0.044,0.033,0.004,0.028
60,0.032,0.,0.032,0.033,0.,0.033,0.097,0.,0.097
70,0.041,0.,0.041,0.042,0.,0.042,0.064,0.,0.064
80,0.063,0.,0.063,0.052,0.,0.052,0.052,0.,0.052
90,0.064,0.,0.064,0.141,0.,0.141,0.064,0.,0.064
100,0.1,0.,0.1,0.079,0.,0.079,0.144,0.,0.144
110,0.101,0.,0.101,0.093,0.,0.093,0.116,0.,0.116
120,0.108,0.,0.108,0.109,0.,0.109,0.11,0.,0.11
130,0.128,0.003,0.125,0.127,0.,0.127,0.127,0.,0.127
140,0.145,0.,0.145,0.145,0.,0.145,0.145,0.,0.145
150,0.189,0.,0.189,0.246,0.,0.246,0.178,0.,0.178
160,0.187,0.,0.187,0.192,0.,0.192,0.188,0.,0.188
170,0.21,0.003,0.206,0.212,0.,0.212,0.211,0.,0.211
180,0.251,0.,0.251,0.244,0.,0.244,0.238,0.,0.238
190,0.267,0.,0.267,0.267,0.,0.267,0.264,0.,0.264
200,0.295,0.,0.295,0.295,0.,0.295,0.304,0.,0.304
