param-n,noop-repeat-rewrite-strat-bottomup-regression-cubic-real,noop-repeat-rewrite-strat-bottomup-regression-cubic-sys,noop-repeat-rewrite-strat-bottomup-regression-cubic-user,noop-repeat-rewrite-strat-topdown-regression-cubic-real,noop-repeat-rewrite-strat-topdown-regression-cubic-sys,noop-repeat-rewrite-strat-topdown-regression-cubic-user,noop-repeat-setoid-rewrite-regression-cubic-real,noop-repeat-setoid-rewrite-regression-cubic-sys,noop-repeat-setoid-rewrite-regression-cubic-user
0,0.,0.,0.,0.,0.,0.,0.,0.,0.
1,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,0.,0.,0.,0.,0.,0.,0.,0.,0.
10,0.002,0.,0.002,0.003,0.,0.003,0.003,0.,0.003
20,0.006,0.,0.006,0.017,0.003,0.014,0.006,0.,0.006
30,0.011,0.,0.011,0.011,0.,0.01,0.011,0.,0.011
40,0.016,0.,0.016,0.017,0.,0.017,0.099,0.,0.099
50,0.104,0.,0.104,0.023,0.,0.023,0.035,0.,0.035
60,0.031,0.,0.031,0.051,0.,0.051,0.033,0.,0.033
70,0.041,0.,0.041,0.041,0.,0.041,0.044,0.,0.044
80,0.068,0.,0.068,0.057,0.,0.057,0.067,0.,0.067
90,0.083,0.,0.083,0.065,0.,0.065,0.147,0.,0.147
100,0.076,0.,0.076,0.096,0.,0.096,0.08,0.,0.08
110,0.102,0.,0.102,0.104,0.,0.104,0.095,0.,0.095
120,0.109,0.,0.109,0.113,0.,0.113,0.121,0.,0.121
130,0.131,0.,0.131,0.134,0.,0.134,0.133,0.003,0.129
140,0.145,0.,0.145,0.149,0.,0.149,0.154,0.,0.154
150,0.182,0.,0.182,0.264,0.,0.264,0.182,0.,0.182
160,0.192,0.,0.192,0.193,0.,0.193,0.195,0.,0.195
170,0.219,0.,0.219,0.214,0.,0.214,0.225,0.,0.224
180,0.237,0.,0.237,0.241,0.,0.241,0.245,0.,0.245
190,0.265,0.,0.265,0.268,0.,0.268,0.274,0.,0.274
200,0.292,0.,0.292,0.293,0.,0.293,0.316,0.,0.316
