param-n,cbn-regression-cubic-real,cbn-regression-cubic-sys,cbn-regression-cubic-user,cbv-regression-quadratic-real,cbv-regression-quadratic-sys,cbv-regression-quadratic-user,lazy-regression-quadratic-real,lazy-regression-quadratic-sys,lazy-regression-quadratic-user,native-compute(1)-native-compute-compilation-real,native-compute(1)-native-compute-conversion-to-native-code-real,native-compute(1)-native-compute-evaluation-real,native-compute(1)-native-compute-reification-real,native-compute(1)-regression-quadratic-real,native-compute(1)-regression-quadratic-sys,native-compute(1)-regression-quadratic-user,native-compute(2)-native-compute-compilation-real,native-compute(2)-native-compute-conversion-to-native-code-real,native-compute(2)-native-compute-evaluation-real,native-compute(2)-native-compute-reification-real,native-compute(2)-regression-quadratic-real,native-compute(2)-regression-quadratic-sys,native-compute(2)-regression-quadratic-user,simpl-regression-cubic-real,simpl-regression-cubic-sys,simpl-regression-cubic-user,vm-compute-regression-quadratic-real,vm-compute-regression-quadratic-sys,vm-compute-regression-quadratic-user
6843,,,,,,,,,,0.09500,0.00032,0.20711,0.00759,0.31,0.003,0.216,0.08457,0.00032,0.20045,0.00986,0.295,0.007,0.206,,,,,,
6900,,,,,,,,,,,,,,,,,,,,,,,,,,,1.099,0.,1.099
7154,,,,,,,,,,0.08432,0.00026,0.20954,0.01010,0.304,0.,0.223,0.08815,0.00026,0.21836,0.00914,0.316,0.011,0.22,,,,,,
7346,,,,,,,,,,0.08137,0.00035,0.23977,0.00906,0.33,0.,0.252,0.08292,0.00035,0.22441,0.00751,0.315,0.007,0.227,,,,,,
7465,,,,,,,,,,0.10065,0.00027,0.24202,0.00907,0.352,0.012,0.243,0.09326,0.00028,0.26092,0.00874,0.363,0.003,0.27,,,,,,
7527,,,,,,,,,,,,,,,,,,,,,,,,,,,1.272,0.,1.272
7776,,,,,,,,,,0.09135,0.00031,0.25903,0.00884,0.359,0.008,0.265,0.09608,0.00029,0.28027,0.00955,0.386,0.011,0.283,,,,,,
8045,,,,,,,,,,,,,,,,,,,,,,,,,,,1.372,0.003,1.369
8087,,,,,,,,,,0.09228,0.00034,0.29528,0.00944,0.397,0.008,0.301,0.09179,0.00034,0.30488,0.00880,0.406,0.015,0.302,,,,,,
8154,,,,,,,,,,,,,,,,,,,,,,,,,,,1.497,0.,1.497
8398,,,,,,,,,,0.08640,0.00031,0.30772,0.00907,0.403,0.004,0.317,0.09208,0.00033,0.33768,0.01030,0.44,0.007,0.345,,,,,,
8709,,,,,,,,,,0.09087,0.00032,0.32299,0.01092,0.425,0.004,0.334,0.09190,0.00039,0.35536,0.01077,0.458,0.015,0.355,,,,,,
8781,,,,,,,,,,,,,,,,,,,,,,,,,,,1.695,0.,1.695
9019,,,,,,,,,,0.10324,0.00041,0.35922,0.01046,0.473,0.003,0.371,0.09906,0.00029,0.36823,0.01119,0.478,0.008,0.375,,,,,,
9330,,,,,,,,,,0.10410,0.00035,0.37614,0.01149,0.492,0.003,0.388,0.09120,0.00030,0.41764,0.00996,0.519,0.008,0.423,,,,,,
9409,,,,,,,,,,,,,,,,,,,,,,,,,,,2.046,0.007,2.038
