param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbn-regression-quadratic-sys,cps+cbn-regression-quadratic-user,cps+cbv-regression-quadratic-real,cps+cbv-regression-quadratic-sys,cps+cbv-regression-quadratic-user,cps+lazy-regression-quadratic-real,cps+lazy-regression-quadratic-sys,cps+lazy-regression-quadratic-user,cps+native-compute-native-compute-compilation-real,cps+native-compute-native-compute-conversion-to-native-code-real,cps+native-compute-native-compute-evaluation-real,cps+native-compute-native-compute-reification-real,cps+native-compute-regression-quadratic-real,cps+native-compute-regression-quadratic-sys,cps+native-compute-regression-quadratic-user,cps+simpl-regression-quadratic-real,cps+simpl-regression-quadratic-sys,cps+simpl-regression-quadratic-user,cps+vm-compute-regression-quadratic-real,cps+vm-compute-regression-quadratic-sys,cps+vm-compute-regression-quadratic-user,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(bottomup-bottomup)-regression-exponential-sys,rewrite-strat(bottomup-bottomup)-regression-exponential-user,rewrite-strat(topdown-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-sys,rewrite-strat(topdown-bottomup)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
1,1,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.07938,0.00034,0.00091,0.00007,0.08,0.,0.004,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.022,0.,0.022
2,1,2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.07669,0.00038,0.00089,0.00007,0.078,0.003,0.,0.,0.,0.,0.,0.,0.,0.002,0.,0.002,0.002,0.,0.002,0.027,0.,0.027
2,2,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.07674,0.00037,0.01508,0.00007,0.092,0.002,0.015,0.,0.,0.,0.,0.,0.,0.014,0.,0.014,0.014,0.,0.013,0.017,0.,0.017
3,1,3,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.07757,0.00034,0.00090,0.00010,0.079,0.,0.004,0.,0.,0.,0.,0.,0.,0.008,0.,0.008,0.008,0.,0.008,0.127,0.,0.127
3,3,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.07682,0.00037,0.00089,0.00008,0.078,0.,0.004,0.,0.,0.,0.,0.,0.,0.006,0.,0.006,0.006,0.,0.006,0.031,0.,0.031
4,1,4,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.07636,0.00036,0.00092,0.00009,0.077,0.003,0.001,0.001,0.,0.,0.,0.,0.,0.102,0.,0.102,0.101,0.,0.101,0.091,0.,0.091
4,2,2,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.07731,0.00037,0.00089,0.00009,0.078,0.,0.004,0.,0.,0.,0.,0.,0.,0.01,0.,0.01,0.01,0.,0.01,0.056,0.,0.056
4,4,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.07602,0.00038,0.00094,0.00009,0.077,0.003,0.001,0.,0.,0.,0.,0.,0.,0.014,0.,0.014,0.014,0.,0.014,0.08,0.,0.08
5,1,5,0.002,0.,0.001,0.,0.,0.,0.,0.,0.,0.08042,0.00031,0.00087,0.00008,0.081,0.004,0.,0.001,0.,0.,0.,0.,0.,0.061,0.,0.06,0.06,0.,0.06,0.253,0.,0.253
5,5,1,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.07829,0.00033,0.00091,0.00010,0.079,0.002,0.002,0.,0.,0.,0.,0.,0.,0.106,0.,0.106,0.111,0.,0.111,0.11,0.,0.11
6,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.146,0.,0.146
7,1,7,,,,,,,,,,,,,,,,,,,,,,,0.25,0.,0.247,0.245,0.003,0.241,0.552,0.004,0.547
7,7,1,,,,,,,,,,,,,,,,,,,,,,,0.098,0.,0.098,0.103,0.,0.103,0.239,0.,0.239
8,1,8,,,,,,,,,,,,,,,,,,,,,,,0.281,0.,0.281,0.282,0.,0.282,0.798,0.003,0.794
8,2,4,,,,,,,,,,,,,,,,,,,,,,,0.179,0.,0.178,0.176,0.,0.176,0.259,0.,0.258
8,4,2,,,,,,,,,,,,,,,,,,,,,,,0.09,0.,0.09,0.091,0.,0.091,0.216,0.,0.216
8,8,1,,,,,,,,,,,,,,,,,,,,,,,0.112,0.,0.112,0.121,0.,0.121,0.318,0.,0.318
9,1,9,,,,,,,,,,,,,,,,,,,,,,,0.453,0.,0.452,0.451,0.,0.451,0.992,0.,0.988
9,3,3,,,,,,,,,,,,,,,,,,,,,,,0.183,0.,0.183,0.187,0.,0.187,0.292,0.,0.292
9,9,1,,,,,,,,,,,,,,,,,,,,,,,0.189,0.,0.189,0.203,0.,0.203,0.439,0.003,0.435
10,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.413,0.,1.413
10,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.617,0.,0.615
11,1,11,,,,,,,,,,,,,,,,,,,,,,,0.954,0.,0.954,0.946,0.,0.946,,,
11,11,1,,,,,,,,,,,,,,,,,,,,,,,0.309,0.,0.309,0.345,0.,0.345,,,
12,1,12,0.005,0.,0.005,,,,,,,,,,,,,,,,,,,,1.417,0.,1.417,1.424,0.002,1.421,,,
12,3,4,0.015,0.,0.015,,,,,,,,,,,,,,,,,,,,0.266,0.003,0.262,0.267,0.,0.267,0.294,0.,0.294
12,12,1,0.002,0.,0.002,,,,,,,,,,,,,,,,,,,,0.41,0.003,0.406,0.459,0.,0.459,,,
13,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.411,0.,3.409
13,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,0.,1.44
15,1,15,,,,,,,,,,,,,,,,,,,,,,,4.591,0.003,4.587,4.597,0.019,4.576,,,
15,15,1,,,,,,,,,,,,,,,,,,,,,,,0.847,0.003,0.843,0.977,0.,0.977,,,
16,1,16,,,,,,,,,,,,,,,,,0.017,0.003,0.014,,,,,,,,,,,,
16,4,4,,,,,,,,,,,,,,,,,0.001,0.,0.001,,,,,,,,,,,,
16,16,1,,,,,,,,,,,,,,,,,0.001,0.,0.001,,,,,,,,,,,,
17,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.831,0.012,8.818
17,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.536,0.008,3.528
18,1,18,0.008,0.,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,1,0.003,0.,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,4,5,0.002,0.,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,0.701,0.,0.701
24,1,24,0.014,0.,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,1,0.006,0.,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1,27,,,,,,,,,,,,,,,,,0.006,0.,0.006,,,,,,,,,,,,
27,27,1,,,,,,,,,,,,,,,,,0.002,0.,0.002,,,,,,,,,,,,
30,5,6,0.004,0.,0.004,,,,,,,,,,,,,,0.002,0.,0.002,,,,,,,,,,,,
31,1,31,0.018,0.,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,31,1,0.008,0.,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1,37,0.024,0.,0.024,,,,,,,,,,,,,,0.009,0.,0.009,,,,,,,,,,,,
37,37,1,0.091,0.,0.09,,,,,,,,,,,,,,0.004,0.,0.004,,,,,,,,,,,,
42,1,42,,,,,,,,,,0.08214,0.00033,0.00090,0.00020,0.083,0.003,0.001,,,,0.,0.,0.,,,,,,,,,
42,6,7,0.005,0.,0.005,,,,,,,0.07794,0.00033,0.00087,0.00020,0.079,0.004,0.,0.003,0.,0.003,0.,0.,0.,,,,,,,,,
42,42,1,,,,,,,,,,0.07758,0.00032,0.00088,0.00025,0.079,0.004,0.,,,,0.,0.,0.,,,,,,,,,
43,1,43,0.03,0.,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,43,1,0.013,0.,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1,48,,,,,,,,,,,,,,,,,0.012,0.,0.012,,,,,,,,,,,,
48,48,1,,,,,,,,,,,,,,,,,0.006,0.,0.006,,,,,,,,,,,,
49,1,49,0.043,0.,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,7,0.006,0.,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,49,1,0.021,0.,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1,55,0.047,0.,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,1,0.046,0.,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,7,8,0.006,0.,0.006,,,,,,,,,,,,,,0.004,0.,0.004,,,,,,,,,,,,
58,1,58,,,,,,,,,,,,,,,,,0.096,0.,0.096,,,,,,,,,,,,
58,58,1,,,,,,,,,,,,,,,,,0.007,0.,0.007,,,,,,,,,,,,
61,1,61,0.053,0.,0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,61,1,0.025,0.,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1,64,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,,,,,
64,8,8,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,,,,,
64,64,1,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,,,,,
67,1,67,0.07,0.,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,67,1,0.035,0.,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1,68,,,,,,,,,,,,,,,,,0.02,0.,0.02,,,,,,,,,,,,
68,68,1,,,,,,,,,,,,,,,,,0.009,0.,0.009,,,,,,,,,,,,
72,8,9,0.007,0.,0.007,,,,,,,0.07927,0.00032,0.00089,0.00030,0.08,0.004,0.,0.005,0.,0.005,0.,0.,0.,,,,,,,,,
74,1,74,0.099,0.,0.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,74,1,0.043,0.,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1,78,,,,,,,,,,0.07869,0.00051,0.00089,0.00033,0.08,0.,0.004,,,,0.,0.,0.,,,,,,,,,
78,78,1,,,,,,,,,,0.07882,0.00032,0.00090,0.00040,0.08,0.004,0.,,,,0.,0.,0.,,,,,,,,,
79,1,79,,,,,,,,,,,,,,,,,0.025,0.,0.025,,,,,,,,,,,,
79,79,1,,,,,,,,,,,,,,,,,0.012,0.,0.012,,,,,,,,,,,,
80,1,80,0.09,0.,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,80,1,0.06,0.,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,1,86,0.095,0.,0.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,86,1,0.048,0.,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,1,89,,,,,,,,,,,,,,,,,0.029,0.,0.029,,,,,,,,,,,,
89,89,1,,,,,,,,,,,,,,,,,0.013,0.,0.013,,,,,,,,,,,,
90,9,10,0.009,0.,0.009,,,,,,,,,,,,,,0.006,0.,0.006,,,,,,,,,,,,
92,1,92,0.117,0.,0.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,92,1,0.13,0.,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,1,98,0.142,0.,0.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,98,1,0.101,0.,0.101,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,1,99,,,,,,,,,,,,,,,,,0.06,0.,0.06,,,,,,,,,,,,
99,99,1,,,,,,,,,,,,,,,,,0.017,0.,0.017,,,,,,,,,,,,
104,1,104,0.148,0.,0.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,104,1,0.08,0.,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,1,110,0.154,0.,0.154,,,,,,,,,,,,,,0.041,0.,0.041,,,,,,,,,,,,
110,10,11,0.01,0.,0.01,,,,,,,0.07804,0.00036,0.00090,0.00042,0.079,0.004,0.,0.008,0.,0.008,0.,0.,0.,,,,,,,,,
110,110,1,0.094,0.,0.093,,,,,,,,,,,,,,0.019,0.,0.019,,,,,,,,,,,,
114,1,114,,,,,,,,,,0.07914,0.00032,0.00089,0.00043,0.08,0.,0.004,,,,0.,0.,0.,,,,,,,,,
114,114,1,,,,,,,,,,0.07759,0.00034,0.00090,0.00059,0.079,0.002,0.002,,,,0.,0.,0.,,,,,,,,,
117,1,117,0.169,0.,0.169,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,117,1,0.09,0.,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,1,120,,,,,,,,,,,,,,,,,0.047,0.,0.047,,,,,,,,,,,,
120,120,1,,,,,,,,,,,,,,,,,0.021,0.,0.021,,,,,,,,,,,,
122,1,122,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,,,,,
122,122,1,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,,,,,
123,1,123,0.175,0.,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,123,1,0.093,0.,0.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,1,129,0.233,0.,0.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,129,1,0.133,0.,0.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,1,131,,,,,,,,,,,,,,,,,0.055,0.,0.055,,,,,,,,,,,,
131,131,1,,,,,,,,,,,,,,,,,0.028,0.,0.028,,,,,,,,,,,,
132,11,12,0.013,0.,0.013,0.,0.,0.,0.,0.,0.,,,,,,,,0.009,0.,0.009,,,,,,,,,,,,
135,1,135,0.24,0.,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,135,1,0.135,0.,0.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,1,141,,,,,,,,,,,,,,,,,0.062,0.,0.062,,,,,,,,,,,,
141,141,1,,,,,,,,,,,,,,,,,0.03,0.,0.03,,,,,,,,,,,,
150,1,150,,,,,,,,,,0.07950,0.00034,0.00090,0.00055,0.081,0.004,0.,,,,0.,0.,0.,,,,,,,,,
150,150,1,,,,,,,,,,0.07822,0.00034,0.00089,0.00073,0.08,0.,0.004,,,,0.,0.,0.,,,,,,,,,
151,1,151,,,,,,,,,,,,,,,,,0.068,0.,0.068,,,,,,,,,,,,
151,151,1,,,,,,,,,,,,,,,,,0.032,0.,0.032,,,,,,,,,,,,
156,12,13,0.015,0.,0.015,,,,,,,0.07833,0.00033,0.00094,0.00060,0.08,0.,0.005,0.025,0.,0.025,0.,0.,0.,,,,,,,,,
157,1,157,0.273,0.,0.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,157,1,0.15,0.003,0.146,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,1,162,,,,,,,,,,,,,,,,,0.079,0.,0.079,,,,,,,,,,,,
162,162,1,,,,,,,,,,,,,,,,,0.041,0.003,0.037,,,,,,,,,,,,
172,1,172,,,,,,,,,,,,,,,,,0.087,0.,0.087,,,,,,,,,,,,
172,172,1,,,,,,,,,,,,,,,,,0.038,0.,0.038,,,,,,,,,,,,
180,1,180,0.341,0.,0.341,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,180,1,0.189,0.,0.189,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,1,181,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,,,,,
181,181,1,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,,,,,
182,1,182,,,,,,,,,,,,,,,,,0.096,0.,0.096,,,,,,,,,,,,
182,13,14,0.017,0.,0.017,0.,0.,0.,0.,0.,0.,0.07864,0.00034,0.00089,0.00070,0.08,0.003,0.001,0.03,0.,0.03,0.,0.,0.,,,,,,,,,
182,182,1,,,,,,,,,,,,,,,,,0.121,0.,0.121,,,,,,,,,,,,
185,1,185,,,,,,,,,,0.07978,0.00033,0.00098,0.00069,0.081,0.,0.005,,,,0.,0.,0.,,,,,,,,,
185,185,1,,,,,,,,,,0.07993,0.00034,0.00091,0.00090,0.082,0.002,0.002,,,,0.001,0.,0.001,,,,,,,,,
193,1,193,,,,,,,,,,,,,,,,,0.11,0.,0.11,,,,,,,,,,,,
193,193,1,,,,,,,,,,,,,,,,,0.057,0.,0.057,,,,,,,,,,,,
