param-n,rewrite-strat(bottomup)-regression-exponential-real,rewrite-strat(bottomup)-regression-exponential-sys,rewrite-strat(bottomup)-regression-exponential-user,rewrite-strat(topdown)-regression-exponential-real,rewrite-strat(topdown)-regression-exponential-sys,rewrite-strat(topdown)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
0,0.,0.,0.,0.,0.,0.,0.,0.,0.
1,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001
2,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001
3,0.015,0.,0.015,0.014,0.003,0.011,0.015,0.,0.015
4,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003
5,0.003,0.,0.003,0.004,0.,0.004,0.017,0.,0.016
6,0.018,0.,0.017,0.017,0.,0.017,0.005,0.,0.004
7,0.018,0.,0.017,0.018,0.,0.018,0.006,0.,0.006
8,0.007,0.,0.007,0.008,0.,0.007,0.007,0.,0.007
9,0.008,0.,0.008,0.009,0.,0.009,0.008,0.,0.008
10,0.009,0.,0.009,0.009,0.,0.009,0.009,0.,0.009
11,0.011,0.,0.011,0.013,0.,0.012,0.01,0.,0.01
12,0.013,0.,0.013,0.013,0.,0.013,0.091,0.,0.091
13,0.015,0.,0.015,0.017,0.,0.016,0.012,0.,0.012
14,,,,0.097,0.,0.097,0.014,0.,0.014
15,0.019,0.,0.019,0.019,0.,0.019,0.015,0.,0.015
16,,,,,,,0.017,0.,0.017
17,,,,,,,0.018,0.,0.018
18,,,,,,,0.019,0.,0.019
19,,,,,,,0.043,0.,0.043
20,0.115,0.,0.114,,,,0.023,0.,0.023
21,,,,,,,0.026,0.,0.026
22,,,,0.044,0.,0.044,0.039,0.,0.039
23,,,,,,,0.029,0.,0.029
24,,,,,,,0.03,0.,0.03
25,,,,,,,0.034,0.,0.034
26,0.061,0.,0.061,,,,0.034,0.,0.034
27,,,,,,,0.05,0.,0.05
28,,,,,,,0.04,0.,0.04
29,,,,,,,0.041,0.,0.041
30,,,,0.105,0.,0.105,0.06,0.,0.06
31,,,,,,,0.125,0.,0.125
32,,,,,,,0.051,0.,0.051
33,0.127,0.,0.127,,,,0.074,0.,0.074
34,,,,,,,0.056,0.,0.056
35,,,,,,,0.056,0.,0.056
36,,,,,,,0.061,0.003,0.057
37,,,,0.14,0.,0.14,0.075,0.,0.075
38,,,,,,,0.068,0.,0.068
39,0.172,0.,0.172,,,,0.071,0.,0.07
40,,,,,,,0.072,0.003,0.069
41,,,,,,,0.074,0.,0.074
42,,,,,,,0.08,0.,0.08
43,,,,,,,0.161,0.,0.161
44,,,,,,,0.088,0.,0.088
45,,,,0.337,0.,0.337,0.089,0.,0.089
46,0.356,0.,0.356,,,,0.094,0.,0.094
47,,,,,,,0.102,0.,0.102
48,,,,,,,0.102,0.,0.102
49,,,,,,,0.11,0.,0.11
50,,,,,,,0.113,0.003,0.109
51,,,,,,,0.117,0.,0.117
52,0.343,0.,0.343,,,,,,
53,,,,0.38,0.,0.38,0.127,0.007,0.119
54,,,,,,,0.131,0.,0.131
55,,,,,,,0.139,0.,0.139
56,,,,,,,0.144,0.,0.144
58,,,,,,,0.157,0.,0.157
59,,,,,,,0.163,0.,0.163
60,,,,,,,0.16,0.,0.16
61,,,,,,,0.173,0.003,0.169
62,0.528,0.,0.528,,,,,,
63,,,,0.557,0.,0.557,0.173,0.,0.173
64,,,,,,,0.196,0.003,0.192
65,,,,,,,0.199,0.,0.199
66,,,,,,,0.191,0.,0.191
68,,,,,,,0.213,0.,0.213
69,,,,,,,0.212,0.,0.212
70,,,,,,,0.208,0.,0.208
71,,,,,,,0.223,0.,0.223
73,0.832,0.,0.832,,,,0.231,0.,0.231
74,,,,0.864,0.,0.864,0.24,0.,0.24
75,,,,,,,0.245,0.,0.245
78,,,,,,,0.263,0.,0.263
80,,,,,,,0.278,0.,0.278
83,1.186,0.003,1.182,,,,0.291,0.,0.291
84,,,,1.241,0.,1.241,,,
85,,,,,,,0.332,0.,0.332
88,,,,,,,0.336,0.,0.336
90,,,,,,,0.364,0.,0.364
93,,,,,,,0.398,0.,0.398
94,1.704,0.003,1.7,,,,,,
95,,,,1.785,0.003,1.781,0.41,0.,0.41
98,,,,,,,0.446,0.,0.445
100,,,,,,,0.445,0.004,0.44
104,2.28,0.,2.28,,,,,,
105,,,,2.38,0.,2.38,,,
106,,,,,,,0.607,0.003,0.603
120,,,,,,,0.645,0.003,0.641
140,,,,,,,0.909,0.,0.909
159,,,,,,,1.195,0.007,1.187
179,,,,,,,1.53,0.,1.529
199,,,,,,,1.888,0.,1.888
