param-n,noop-repeat-rewrite-strat-bottomup-regression-cubic-real,noop-repeat-rewrite-strat-bottomup-regression-cubic-sys,noop-repeat-rewrite-strat-bottomup-regression-cubic-user,noop-repeat-rewrite-strat-topdown-regression-cubic-real,noop-repeat-rewrite-strat-topdown-regression-cubic-sys,noop-repeat-rewrite-strat-topdown-regression-cubic-user,noop-repeat-setoid-rewrite-regression-cubic-real,noop-repeat-setoid-rewrite-regression-cubic-sys,noop-repeat-setoid-rewrite-regression-cubic-user
0,0.,0.,0.,0.,0.,0.,0.,0.,0.
1,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,0.,0.,0.,0.,0.,0.,0.,0.,0.
10,0.002,0.,0.002,0.002,0.,0.001,0.003,0.001,0.002
20,0.043,0.003,0.039,0.006,0.,0.006,0.006,0.002,0.003
30,0.007,0.,0.007,0.008,0.,0.008,0.008,0.,0.008
40,0.012,0.,0.012,0.012,0.,0.012,0.013,0.,0.013
50,0.016,0.,0.016,0.017,0.,0.017,0.061,0.007,0.054
60,0.023,0.,0.023,0.025,0.,0.025,0.023,0.,0.023
70,0.029,0.,0.029,0.03,0.,0.03,0.03,0.,0.03
80,0.037,0.,0.037,0.037,0.,0.037,0.039,0.,0.039
90,0.045,0.,0.045,0.046,0.,0.046,0.047,0.,0.047
100,0.055,0.,0.055,0.055,0.,0.055,0.058,0.,0.058
110,0.065,0.,0.065,0.066,0.,0.066,0.067,0.,0.067
120,0.077,0.,0.077,0.081,0.,0.081,0.079,0.,0.079
130,0.089,0.,0.089,0.09,0.,0.09,0.092,0.,0.092
140,0.103,0.,0.103,0.104,0.,0.104,0.105,0.,0.105
150,0.118,0.,0.118,0.118,0.,0.118,0.121,0.,0.121
160,0.134,0.,0.134,0.134,0.,0.134,0.136,0.,0.136
170,0.149,0.,0.149,0.151,0.,0.151,0.153,0.,0.153
180,0.167,0.,0.167,0.168,0.,0.168,0.169,0.,0.169
190,0.185,0.,0.185,0.189,0.,0.187,0.19,0.,0.19
200,0.202,0.,0.202,0.202,0.,0.202,0.208,0.,0.208
