param-n,case-and-regression-linear-real,case-and-regression-linear-sys,case-and-regression-linear-user,case-clear-intros-and-regression-linear-real,case-clear-intros-and-regression-linear-sys,case-clear-intros-and-regression-linear-user,case-clear-intros-or-regression-linear-real,case-clear-intros-or-regression-linear-sys,case-clear-intros-or-regression-linear-user,case-or-regression-linear-real,case-or-regression-linear-sys,case-or-regression-linear-user,destruct-and-regression-linear-real,destruct-and-regression-linear-sys,destruct-and-regression-linear-user,destruct-or-regression-linear-real,destruct-or-regression-linear-sys,destruct-or-regression-linear-user,intros-regression-linear-real,intros-regression-linear-sys,intros-regression-linear-user,lazy-regression-linear-real,lazy-regression-linear-sys,lazy-regression-linear-user
1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.004,0.001,0.002,0.004,0.,0.004,0.001,0.,0.001,0.006,0.001,0.004
2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.007,0.,0.007,0.007,0.,0.007,0.004,0.,0.004,0.056,0.005,0.05
3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.013,0.,0.013,0.013,0.,0.013,0.012,0.,0.012,0.014,0.,0.014
4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.014,0.,0.014,0.015,0.,0.015,0.01,0.,0.01,0.072,0.007,0.064
5,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.02,0.,0.02,0.021,0.,0.021,0.017,0.,0.017,0.044,0.,0.044
6,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.037,0.,0.037,0.036,0.,0.036,0.055,0.,0.055,0.049,0.,0.049
7,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.053,0.,0.053,0.039,0.,0.039,0.056,0.,0.056,0.044,0.,0.044
8,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.038,0.,0.038,0.038,0.,0.038,0.049,0.,0.049,0.08,0.002,0.077
9,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.038,0.,0.038,0.04,0.,0.04,0.044,0.,0.044,0.126,0.,0.125
10,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.046,0.,0.046,0.046,0.,0.046,0.062,0.,0.062,0.095,0.001,0.093
50,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.229,0.,0.228,0.197,0.,0.197,1.178,0.,1.177,0.547,0.015,0.532
100,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.42,0.,0.419,0.391,0.,0.391,4.788,0.,4.788,0.985,0.013,0.972
150,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.63,0.,0.63,0.58,0.,0.58,10.739,0.,10.739,1.483,0.009,1.473
200,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.793,0.,0.793,0.787,0.,0.787,18.542,0.,18.537,2.034,0.026,2.007
