param-n,abstract+rewrite-strat-bottomup-real,abstract+rewrite-strat-bottomup-sys,abstract+rewrite-strat-bottomup-user,abstract+rewrite-strat-topdown-real,abstract+rewrite-strat-topdown-sys,abstract+rewrite-strat-topdown-user,close-abstract+rewrite-strat-bottomup-real,close-abstract+rewrite-strat-bottomup-sys,close-abstract+rewrite-strat-bottomup-user,close-abstract+rewrite-strat-topdown-real,close-abstract+rewrite-strat-topdown-sys,close-abstract+rewrite-strat-topdown-user,rewrite-strat-bottomup-real,rewrite-strat-bottomup-sys,rewrite-strat-bottomup-user,rewrite-strat-bottomup-noop-real,rewrite-strat-bottomup-noop-sys,rewrite-strat-bottomup-noop-user,rewrite-strat-topdown-real,rewrite-strat-topdown-sys,rewrite-strat-topdown-user,rewrite-strat-topdown-noop-real,rewrite-strat-topdown-noop-sys,rewrite-strat-topdown-noop-user
60,0.079,0.,0.079,0.045,0.,0.045,0.022,0.,0.022,0.018,0.,0.018,0.055,0.,0.055,0.,0.,0.,0.026,0.,0.026,0.,0.,0.
61,0.085,0.003,0.081,0.046,0.,0.046,0.025,0.003,0.021,0.018,0.,0.018,0.058,0.,0.058,0.,0.,0.,0.026,0.,0.026,0.,0.,0.
62,0.081,0.,0.081,0.048,0.,0.048,0.025,0.,0.025,0.02,0.,0.02,0.054,0.,0.054,0.,0.,0.,0.027,0.,0.027,0.,0.,0.
63,0.084,0.,0.084,0.05,0.,0.05,0.027,0.,0.027,0.018,0.,0.018,0.056,0.,0.056,0.,0.,0.,0.03,0.,0.03,0.,0.,0.
64,0.085,0.,0.085,0.052,0.,0.052,0.027,0.,0.027,0.019,0.,0.019,0.056,0.,0.056,0.,0.,0.,0.031,0.,0.031,0.,0.,0.
65,0.089,0.,0.089,0.053,0.,0.053,0.029,0.,0.029,0.021,0.,0.021,0.059,0.,0.059,0.,0.,0.,0.031,0.,0.031,0.,0.,0.
66,0.091,0.,0.091,0.054,0.,0.054,0.028,0.,0.028,0.02,0.,0.02,0.061,0.,0.061,0.,0.,0.,0.032,0.,0.032,0.,0.,0.
67,0.093,0.,0.093,0.057,0.,0.057,0.029,0.,0.029,0.02,0.,0.02,0.062,0.,0.062,0.,0.,0.,0.035,0.,0.035,0.,0.,0.
68,0.096,0.,0.096,0.055,0.,0.055,0.03,0.,0.03,0.022,0.,0.022,0.065,0.,0.064,0.,0.,0.,0.031,0.,0.031,0.,0.,0.
69,0.099,0.,0.099,0.058,0.,0.058,0.03,0.,0.03,0.022,0.,0.022,0.068,0.,0.068,0.,0.,0.,0.034,0.,0.034,0.,0.,0.
70,0.107,0.,0.107,0.062,0.,0.062,0.035,0.,0.035,0.024,0.,0.024,0.071,0.,0.071,0.,0.,0.,0.037,0.,0.037,0.,0.,0.
