param-n pattern-regression-linear-real pattern-regression-linear-sys pattern-regression-linear-user
247 0.005 0. 0.005
248 0.006 0. 0.006
249 0.004 0. 0.004
250 0.004 0. 0.004
251 0.005 0. 0.005
252 0.005 0. 0.005
253 0.005 0. 0.005
254 0.007 0. 0.007
255 0.007 0. 0.007
256 0.005 0. 0.005
257 0.005 0. 0.005
258 0.006 0. 0.006
259 0.005 0. 0.005
260 0.005 0. 0.005
261 0.005 0. 0.005
262 0.009 0. 0.009
263 0.005 0. 0.005
264 0.006 0. 0.006
265 0.005 0. 0.005
266 0.008 0. 0.008
267 0.007 0. 0.007
268 0.006 0. 0.006
269 0.006 0. 0.006
270 0.006 0. 0.006
271 0.005 0. 0.005
272 0.006 0. 0.006
273 0.005 0. 0.005
274 0.006 0. 0.006
275 0.005 0. 0.005
276 0.007 0. 0.007
277 0.005 0. 0.005
278 0.005 0. 0.005
279 0.005 0. 0.005
280 0.005 0. 0.005
281 0.005 0. 0.005
282 0.005 0. 0.005
283 0.007 0. 0.007
284 0.006 0. 0.006
285 0.005 0. 0.005
286 0.005 0. 0.005
287 0.005 0. 0.005
288 0.005 0. 0.005
289 0.007 0. 0.007
290 0.006 0. 0.006
291 0.005 0. 0.005
292 0.006 0. 0.006
293 0.015 0. 0.015
294 0.006 0. 0.006
295 0.006 0. 0.006
296 0.008 0. 0.008
297 0.007 0. 0.007
298 0.007 0. 0.007
299 0.006 0. 0.006
300 0.005 0. 0.005
301 0.006 0. 0.006
302 0.007 0. 0.007
303 0.008 0. 0.008
304 0.006 0. 0.006
305 0.006 0. 0.006
306 0.006 0. 0.006
307 0.006 0. 0.006
308 0.013 0. 0.013
309 0.007 0. 0.007
310 0.006 0. 0.006
311 0.006 0. 0.006
312 0.006 0. 0.006
313 0.007 0. 0.007
314 0.007 0. 0.007
315 0.007 0. 0.007
316 0.007 0. 0.007
317 0.007 0. 0.007
318 0.007 0. 0.007
319 0.007 0. 0.007
320 0.008 0. 0.008
321 0.006 0. 0.006
322 0.008 0. 0.008
323 0.007 0. 0.007
324 0.006 0. 0.006
325 0.007 0. 0.007
326 0.011 0. 0.011
327 0.007 0. 0.007
328 0.007 0. 0.007
329 0.012 0. 0.012
330 0.006 0. 0.006
331 0.008 0. 0.008
332 0.007 0. 0.007
333 0.006 0. 0.006
334 0.013 0. 0.013
335 0.007 0. 0.007
336 0.008 0. 0.008
337 0.007 0. 0.007
338 0.011 0. 0.011
339 0.007 0. 0.007
340 0.007 0. 0.007
341 0.006 0. 0.006
342 0.008 0. 0.008
343 0.007 0. 0.007
344 0.006 0. 0.006
345 0.007 0. 0.007
346 0.006 0. 0.006
347 0.006 0. 0.006
348 0.007 0. 0.007
349 0.006 0. 0.006
350 0.008 0. 0.008
351 0.007 0. 0.007
352 0.007 0. 0.007
353 0.011 0. 0.011
354 0.006 0. 0.006
355 0.006 0. 0.006
356 0.007 0. 0.007
357 0.006 0. 0.006
358 0.008 0. 0.008
359 0.007 0. 0.007
360 0.007 0. 0.007
361 0.007 0. 0.007
362 0.007 0. 0.007
363 0.009 0. 0.009
364 0.007 0. 0.007
365 0.007 0. 0.007
366 0.012 0. 0.012
367 0.01 0. 0.01
368 0.009 0. 0.009
