param-n,abstract-regression-quadratic-real,abstract-regression-quadratic-sys,abstract-regression-quadratic-user,close-abstract-regression-quadratic-real,close-abstract-regression-quadratic-sys,close-abstract-regression-quadratic-user,ssr-rewrite!-regression-quadratic-real,ssr-rewrite!-regression-quadratic-sys,ssr-rewrite!-regression-quadratic-user,ssr-rewrite?-noop-regression-linear-real,ssr-rewrite?-noop-regression-linear-sys,ssr-rewrite?-noop-regression-linear-user
28,0.021,0.,0.021,0.012,0.,0.012,0.008,0.,0.008,0.,0.,0.
29,0.021,0.,0.021,0.011,0.,0.011,0.009,0.,0.009,0.,0.,0.
30,0.023,0.,0.023,0.012,0.,0.012,0.01,0.,0.01,0.,0.,0.
31,0.026,0.,0.026,0.015,0.,0.015,0.01,0.,0.01,0.,0.,0.
32,0.026,0.,0.026,0.014,0.,0.014,0.011,0.,0.011,0.,0.,0.
33,0.027,0.,0.027,0.014,0.,0.014,0.011,0.,0.011,0.,0.,0.
34,0.03,0.,0.03,0.015,0.,0.015,0.014,0.,0.014,0.,0.,0.
35,0.029,0.,0.029,0.016,0.,0.016,0.013,0.,0.013,0.,0.,0.
36,0.034,0.,0.034,0.017,0.,0.017,0.016,0.,0.016,0.,0.,0.
37,0.034,0.,0.034,0.018,0.,0.018,0.014,0.,0.014,0.,0.,0.
38,0.038,0.,0.038,0.019,0.,0.019,0.019,0.,0.018,0.,0.,0.
39,0.036,0.,0.036,0.02,0.,0.02,0.015,0.,0.015,0.,0.,0.
40,0.041,0.,0.041,0.021,0.,0.021,0.019,0.,0.019,0.,0.,0.
41,0.042,0.,0.042,0.024,0.,0.024,0.017,0.,0.017,0.,0.,0.
42,0.043,0.,0.043,0.024,0.,0.024,0.018,0.,0.018,0.,0.,0.
43,0.048,0.,0.048,0.025,0.,0.025,0.022,0.,0.022,0.,0.,0.
44,0.049,0.,0.049,0.028,0.,0.028,0.02,0.,0.02,0.,0.,0.
45,0.052,0.,0.052,0.03,0.,0.03,0.021,0.,0.021,0.,0.,0.
46,0.051,0.,0.051,0.029,0.,0.029,0.021,0.,0.021,0.,0.,0.
47,0.054,0.,0.054,0.029,0.,0.029,0.024,0.,0.024,0.,0.,0.
48,0.057,0.,0.057,0.03,0.,0.03,0.025,0.,0.025,0.,0.,0.
49,0.059,0.,0.059,0.035,0.,0.034,0.024,0.,0.024,0.,0.,0.
50,0.121,0.012,0.109,0.084,0.,0.084,0.037,0.012,0.024,0.,0.,0.
51,0.067,0.,0.067,0.039,0.,0.039,0.026,0.,0.026,0.,0.,0.
52,0.065,0.,0.065,0.037,0.,0.037,0.027,0.,0.027,0.,0.,0.
53,0.07,0.,0.07,0.041,0.,0.041,0.027,0.,0.027,0.,0.,0.
54,0.072,0.,0.072,0.042,0.,0.042,0.029,0.,0.029,0.,0.,0.
55,0.075,0.,0.075,0.044,0.,0.044,0.03,0.,0.03,0.,0.,0.
56,0.077,0.,0.077,0.041,0.,0.041,0.034,0.,0.034,0.,0.,0.
57,0.082,0.,0.082,0.043,0.,0.043,0.037,0.,0.037,0.,0.,0.
58,0.085,0.,0.085,0.048,0.,0.048,0.035,0.,0.035,0.,0.,0.
59,0.085,0.,0.085,0.049,0.,0.049,0.034,0.,0.034,0.,0.,0.
60,0.09,0.,0.09,0.053,0.,0.053,0.035,0.,0.035,0.,0.,0.
61,0.091,0.,0.091,0.05,0.,0.05,0.04,0.,0.04,0.,0.,0.
62,0.098,0.,0.098,0.055,0.,0.055,0.042,0.,0.042,0.,0.,0.
63,0.098,0.,0.098,0.053,0.,0.053,0.043,0.,0.043,0.,0.,0.
64,0.1,0.,0.1,0.057,0.,0.057,0.041,0.,0.041,0.,0.,0.
65,0.104,0.,0.104,0.061,0.,0.061,0.041,0.,0.041,0.,0.,0.
66,0.112,0.,0.112,0.061,0.,0.061,0.05,0.,0.05,0.,0.,0.
67,0.109,0.,0.109,0.061,0.,0.061,0.047,0.,0.047,0.,0.,0.
68,0.111,0.,0.111,0.063,0.,0.063,0.047,0.,0.047,0.,0.,0.
69,0.127,0.,0.127,0.074,0.,0.074,0.051,0.,0.051,0.,0.,0.
70,0.119,0.,0.119,0.064,0.,0.064,0.053,0.,0.053,0.,0.,0.
71,0.121,0.,0.121,0.071,0.,0.071,0.049,0.,0.049,0.,0.,0.
72,0.13,0.,0.13,0.072,0.,0.072,0.057,0.,0.057,0.,0.,0.
