param-n,cbn-regression-cubic-real,cbn-regression-cubic-sys,cbn-regression-cubic-user,cbv-regression-quadratic-real,cbv-regression-quadratic-sys,cbv-regression-quadratic-user,lazy-regression-quadratic-real,lazy-regression-quadratic-sys,lazy-regression-quadratic-user,native-compute(1)-native-compute-compilation-real,native-compute(1)-native-compute-conversion-to-native-code-real,native-compute(1)-native-compute-evaluation-real,native-compute(1)-native-compute-reification-real,native-compute(1)-regression-quadratic-real,native-compute(1)-regression-quadratic-sys,native-compute(1)-regression-quadratic-user,native-compute(2)-native-compute-compilation-real,native-compute(2)-native-compute-conversion-to-native-code-real,native-compute(2)-native-compute-evaluation-real,native-compute(2)-native-compute-reification-real,native-compute(2)-regression-quadratic-real,native-compute(2)-regression-quadratic-sys,native-compute(2)-regression-quadratic-user,simpl-regression-cubic-real,simpl-regression-cubic-sys,simpl-regression-cubic-user,vm-compute-regression-quadratic-real,vm-compute-regression-quadratic-sys,vm-compute-regression-quadratic-user
2,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.24107,0.00117,0.00079,0.00006,0.244,0.,0.011,0.05930,0.00033,0.00064,0.00005,0.06,0.,0.002,0.001,0.,0.,0.,0.,0.
3,0.002,0.,0.002,0.,0.,0.,0.,0.,0.,0.05799,0.00031,0.00063,0.00005,0.059,0.,0.002,0.05774,0.00032,0.00066,0.00005,0.058,0.,0.002,0.002,0.,0.002,0.,0.,0.
4,0.004,0.,0.004,0.,0.,0.,0.,0.,0.,0.05906,0.00030,0.00065,0.00005,0.06,0.,0.002,0.05761,0.00032,0.00066,0.00005,0.058,0.,0.002,0.004,0.,0.004,0.,0.,0.
5,0.007,0.,0.007,0.,0.,0.,0.,0.,0.,0.05761,0.00031,0.00066,0.00006,0.058,0.,0.002,0.05738,0.00032,0.00064,0.00006,0.058,0.,0.002,0.006,0.,0.006,0.,0.,0.
6,0.012,0.,0.012,0.,0.,0.,0.,0.,0.,0.05851,0.00034,0.00065,0.00006,0.059,0.002,0.,0.05798,0.00032,0.00064,0.00006,0.059,0.002,0.,0.011,0.,0.011,0.,0.,0.
7,0.031,0.,0.031,0.,0.,0.,0.,0.,0.,0.05888,0.00033,0.00065,0.00006,0.06,0.001,0.001,0.05907,0.00034,0.00068,0.00007,0.06,0.002,0.,0.027,0.,0.027,0.,0.,0.
8,0.028,0.,0.028,0.,0.,0.,0.,0.,0.,0.05982,0.00031,0.00067,0.00007,0.06,0.,0.002,0.05927,0.00033,0.00066,0.00006,0.06,0.002,0.,0.022,0.,0.022,0.,0.,0.
9,0.115,0.,0.115,0.,0.,0.,0.,0.,0.,0.05875,0.00031,0.00065,0.00008,0.059,0.,0.002,0.05816,0.00032,0.00065,0.00006,0.059,0.,0.002,0.11,0.,0.11,0.,0.,0.
10,0.043,0.,0.043,0.,0.,0.,0.,0.,0.,0.05963,0.00031,0.00066,0.00006,0.06,0.,0.002,0.05871,0.00032,0.00065,0.00006,0.059,0.,0.002,0.038,0.,0.038,0.,0.,0.
11,0.064,0.004,0.06,0.,0.,0.,,,,,,,,,,,,,,,,,,0.057,0.003,0.054,,,
12,0.075,0.,0.074,,,,0.,0.,0.,,,,,,,,,,,,,,,0.141,0.,0.141,,,
13,0.16,0.,0.159,,,,,,,,,,,,,,,,,,,,,0.07,0.,0.07,,,
14,0.126,0.,0.125,,,,,,,,,,,,,,,,,,,,,0.179,0.,0.179,,,
15,0.204,0.,0.203,,,,,,,,,,,,,,,,,,,,,0.133,0.,0.133,,,
16,0.132,0.,0.132,,,,,,,,,,,,,,,,,,,,,0.125,0.,0.125,,,
17,,,,,,,,,,,,,,,,,,,,,,,,0.175,0.,0.175,,,
18,0.21,0.,0.21,,,,0.,0.,0.,,,,,,,,,,,,,,,0.197,0.,0.197,,,
19,0.243,0.,0.243,0.,0.,0.,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,0.329,0.,0.329,,,
22,0.426,0.,0.426,,,,,,,,,,,,,,,,,,,,,0.318,0.,0.318,,,
23,,,,,,,0.,0.,0.,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,0.367,0.,0.367,,,
25,0.437,0.,0.437,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,0.427,0.,0.427,,,
28,0.565,0.,0.565,0.001,0.,0.001,0.001,0.,0.001,,,,,,,,,,,,,,,0.513,0.,0.512,,,
30,0.695,0.,0.695,,,,,,,,,,,,,,,,,,,,,0.625,0.,0.624,,,
32,,,,,,,,,,,,,,,,,,,,,,,,0.733,0.,0.732,,,
33,0.86,0.,0.86,,,,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,0.879,0.,0.878,,,
36,1.103,0.,1.103,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,1.414,0.,1.414,0.,0.,0.
43,1.783,0.,1.783,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,0.002,0.,0.002,,,,,,,,,,,,,,,,,,,,
45,,,,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,2.08,0.,2.079,,,
49,,,,,,,0.002,0.,0.002,,,,,,,,,,,,,,,,,,,,
50,2.63,0.003,2.626,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,0.002,0.,0.002,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,0.002,0.,0.002,,,,,,,,,,,,,,,3.017,0.,3.017,,,
56,3.609,0.,3.608,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,0.014,0.003,0.011,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,4.004,0.007,3.995,,,
62,,,,0.003,0.,0.003,,,,,,,,,,,,,,,,,,,,,,,
63,5.171,0.,5.17,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,0.004,0.,0.004,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,5.56,0.019,5.539,,,
70,6.978,0.,6.977,,,,0.005,0.,0.004,,,,,,,,,,,,,,,,,,,,
71,,,,0.003,0.,0.003,,,,,,,,,,,,,,,,,,,,,,,
