param-n,abstract+setoid-rewrite-regression-cubic-real,abstract+setoid-rewrite-regression-cubic-sys,abstract+setoid-rewrite-regression-cubic-user,close-abstract+setoid-rewrite-regression-quadratic-real,close-abstract+setoid-rewrite-regression-quadratic-sys,close-abstract+setoid-rewrite-regression-quadratic-user,noop-repeat-setoid-rewrite-regression-cubic-real,noop-repeat-setoid-rewrite-regression-cubic-sys,noop-repeat-setoid-rewrite-regression-cubic-user,noop-try-setoid-rewrite-regression-cubic-real,noop-try-setoid-rewrite-regression-cubic-sys,noop-try-setoid-rewrite-regression-cubic-user,repeat-setoid-rewrite-regression-cubic-real,repeat-setoid-rewrite-regression-cubic-sys,repeat-setoid-rewrite-regression-cubic-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
0,0.002,0.002,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.002,0.,0.002,0.002,0.002,0.
1,0.002,0.001,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.002,0.,0.002,0.001,0.001,0.
2,0.003,0.003,0.,0.,0.,0.,0.001,0.,0.,0.,0.,0.,0.003,0.003,0.,0.002,0.002,0.
10,0.014,0.007,0.006,0.002,0.,0.002,0.003,0.,0.003,0.004,0.,0.004,0.015,0.007,0.007,0.011,0.007,0.003
20,0.07,0.019,0.05,0.044,0.006,0.037,0.006,0.,0.006,0.008,0.004,0.004,0.069,0.011,0.058,0.025,0.012,0.013
30,0.046,0.,0.045,0.012,0.,0.012,0.01,0.,0.01,0.014,0.011,0.002,0.046,0.,0.045,0.033,0.,0.033
40,0.134,0.,0.134,0.017,0.,0.017,0.018,0.,0.018,0.059,0.007,0.051,0.132,0.,0.132,0.116,0.,0.116
50,0.163,0.016,0.147,0.028,0.003,0.024,0.022,0.,0.022,0.03,0.011,0.019,0.157,0.024,0.133,0.135,0.012,0.122
60,0.179,0.003,0.175,0.04,0.003,0.036,0.03,0.,0.03,0.03,0.,0.03,0.173,0.,0.173,0.138,0.,0.138
70,0.22,0.,0.22,0.05,0.,0.05,0.039,0.,0.039,0.043,0.,0.043,0.238,0.,0.238,0.169,0.,0.169
80,0.351,0.,0.351,0.081,0.,0.081,0.05,0.,0.05,0.11,0.,0.109,0.34,0.003,0.336,0.27,0.,0.27
90,0.37,0.,0.37,0.088,0.,0.088,0.062,0.,0.062,0.061,0.,0.061,0.347,0.,0.347,0.281,0.,0.281
100,0.512,0.,0.511,0.108,0.,0.108,0.089,0.,0.089,0.115,0.,0.115,0.501,0.,0.5,0.403,0.,0.402
110,0.567,0.008,0.559,0.117,0.,0.117,0.088,0.,0.088,0.113,0.,0.11,0.506,0.003,0.502,0.449,0.008,0.441
120,0.661,0.011,0.649,0.141,0.,0.141,0.11,0.,0.11,0.104,0.,0.104,0.623,0.003,0.619,0.519,0.011,0.507
130,0.803,0.007,0.795,0.159,0.,0.159,0.123,0.,0.123,0.134,0.,0.134,0.772,0.007,0.764,0.643,0.007,0.635
140,0.882,0.,0.882,0.185,0.,0.185,0.143,0.,0.143,0.212,0.,0.212,0.843,0.007,0.835,0.697,0.,0.697
150,1.213,0.004,1.209,0.217,0.,0.217,0.16,0.,0.16,0.239,0.,0.239,1.083,0.003,1.079,0.995,0.004,0.991
160,1.117,0.003,1.113,0.24,0.,0.24,0.183,0.,0.183,0.207,0.,0.207,1.081,0.,1.081,0.876,0.003,0.872
170,1.343,0.004,1.338,0.27,0.,0.27,0.21,0.,0.21,0.216,0.,0.216,1.305,0.003,1.301,1.072,0.004,1.068
180,1.459,0.012,1.445,0.302,0.,0.302,0.23,0.,0.23,0.233,0.,0.233,1.454,0.,1.454,1.155,0.011,1.141
190,1.821,0.007,1.81,0.336,0.,0.336,0.256,0.003,0.252,0.257,0.,0.257,1.593,0.,1.593,1.484,0.007,1.473
200,1.964,0.004,1.959,0.374,0.,0.374,0.286,0.,0.286,0.293,0.,0.293,1.888,0.003,1.884,1.589,0.003,1.585
210,2.176,0.,2.176,0.402,0.,0.402,0.32,0.,0.32,0.312,0.,0.312,2.118,0.,2.118,1.773,0.,1.773
220,2.527,0.,2.527,0.446,0.,0.446,0.353,0.,0.353,0.343,0.,0.343,2.308,0.003,2.304,2.08,0.,2.08
230,2.547,0.,2.547,0.486,0.,0.486,0.381,0.,0.381,0.378,0.,0.378,2.384,0.,2.384,2.059,0.,2.059
240,2.994,0.003,2.99,0.522,0.,0.522,0.409,0.,0.409,0.413,0.,0.413,2.857,0.,2.857,2.471,0.003,2.467
250,3.368,0.008,3.36,0.57,0.,0.57,0.462,0.,0.462,0.459,0.,0.459,3.143,0.007,3.135,2.797,0.007,2.789
300,4.802,0.,4.801,0.826,0.,0.826,0.672,0.,0.672,0.673,0.,0.673,4.819,0.,4.818,3.974,0.,3.974
400,9.814,0.003,9.808,1.46,0.,1.46,1.231,0.,1.231,1.265,0.003,1.261,9.417,0.007,9.408,8.352,0.003,8.347
