param-n,abstract+repeat-rewrite-strat-bottomup-regression-cubic-real,abstract+repeat-rewrite-strat-bottomup-regression-cubic-sys,abstract+repeat-rewrite-strat-bottomup-regression-cubic-user,abstract+repeat-rewrite-strat-topdown-regression-cubic-real,abstract+repeat-rewrite-strat-topdown-regression-cubic-sys,abstract+repeat-rewrite-strat-topdown-regression-cubic-user,close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-real,close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-sys,close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-user,close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-real,close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-sys,close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-user,noop-repeat-rewrite-strat-bottomup-regression-cubic-real,noop-repeat-rewrite-strat-bottomup-regression-cubic-sys,noop-repeat-rewrite-strat-bottomup-regression-cubic-user,noop-repeat-rewrite-strat-topdown-regression-cubic-real,noop-repeat-rewrite-strat-topdown-regression-cubic-sys,noop-repeat-rewrite-strat-topdown-regression-cubic-user,repeat-rewrite-strat-bottomup-regression-cubic-real,repeat-rewrite-strat-bottomup-regression-cubic-sys,repeat-rewrite-strat-bottomup-regression-cubic-user,repeat-rewrite-strat-topdown-regression-cubic-real,repeat-rewrite-strat-topdown-regression-cubic-sys,repeat-rewrite-strat-topdown-regression-cubic-user
0,0.003,0.,0.003,0.003,0.,0.003,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.002,0.,0.002,0.002,0.,0.002
1,0.003,0.,0.003,0.003,0.003,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.003,0.,0.003,0.003,0.002,0.
2,0.006,0.,0.006,0.006,0.004,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.004,0.,0.004,0.004,0.004,0.
3,0.01,0.,0.01,0.009,0.003,0.006,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.008,0.,0.008,0.008,0.003,0.005
4,0.012,0.004,0.008,0.012,0.008,0.004,0.,0.,0.,0.,0.,0.,0.001,0.,0.,0.,0.,0.,0.01,0.003,0.006,0.01,0.007,0.002
5,0.016,0.,0.016,0.015,0.003,0.011,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.,0.014,0.,0.014,0.013,0.003,0.01
6,0.056,0.007,0.049,0.053,0.,0.053,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001,0.054,0.007,0.047,0.051,0.,0.051
7,0.018,0.,0.018,0.018,0.,0.018,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001,0.016,0.,0.016,0.016,0.,0.016
8,0.037,0.,0.037,0.036,0.,0.036,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.034,0.,0.034,0.034,0.,0.034
9,0.026,0.,0.026,0.027,0.,0.027,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.024,0.,0.024,0.024,0.,0.024
10,0.082,0.011,0.07,0.083,0.012,0.071,0.001,0.,0.,0.001,0.,0.001,0.041,0.004,0.036,0.042,0.,0.041,0.039,0.006,0.032,0.039,0.011,0.028
11,0.036,0.,0.036,0.037,0.,0.037,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.033,0.,0.033,0.033,0.,0.033
12,0.043,0.,0.043,0.043,0.,0.043,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.002,0.,0.002,0.039,0.,0.039,0.039,0.,0.039
13,0.054,0.,0.054,0.055,0.,0.055,0.001,0.,0.001,0.001,0.,0.001,0.002,0.,0.002,0.002,0.,0.002,0.05,0.,0.05,0.05,0.,0.05
14,0.062,0.,0.062,0.062,0.,0.062,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002,0.057,0.,0.057,0.057,0.,0.057
15,0.124,0.,0.124,0.065,0.,0.065,0.002,0.,0.002,0.002,0.,0.002,0.061,0.,0.061,0.002,0.,0.002,0.059,0.,0.059,0.06,0.,0.06
16,0.104,0.,0.104,0.16,0.,0.16,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002,0.032,0.,0.032,0.098,0.,0.098,0.124,0.,0.124
17,0.109,0.,0.11,0.104,0.,0.104,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002,0.104,0.,0.104,0.098,0.,0.098
18,0.091,0.,0.091,0.091,0.,0.091,0.002,0.,0.002,0.002,0.,0.002,0.003,0.,0.003,0.003,0.,0.003,0.085,0.,0.085,0.084,0.,0.084
19,0.112,0.,0.112,0.112,0.,0.112,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003,0.105,0.,0.105,0.105,0.,0.105
20,0.128,0.,0.128,0.131,0.,0.131,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003,0.121,0.,0.121,0.124,0.,0.124
21,0.183,0.,0.183,0.182,0.,0.182,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003,0.175,0.,0.175,0.175,0.,0.175
22,0.195,0.,0.195,0.197,0.,0.197,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003,0.004,0.,0.004,0.186,0.,0.186,0.189,0.,0.189
23,0.15,0.,0.15,0.153,0.,0.153,0.004,0.,0.004,0.004,0.,0.004,0.004,0.,0.004,0.004,0.,0.004,0.141,0.,0.141,0.144,0.,0.144
24,0.164,0.,0.164,0.168,0.003,0.164,0.004,0.,0.004,0.004,0.,0.004,0.004,0.,0.004,0.005,0.003,0.001,0.155,0.,0.155,0.158,0.,0.158
25,0.184,0.,0.184,0.183,0.,0.182,0.004,0.,0.004,0.004,0.,0.004,0.004,0.,0.004,0.004,0.,0.004,0.174,0.,0.174,0.172,0.,0.172
30,0.376,0.,0.376,0.348,0.,0.348,0.038,0.,0.038,0.006,0.,0.006,0.006,0.,0.006,0.006,0.,0.006,0.33,0.,0.33,0.335,0.,0.335
35,0.396,0.,0.396,0.398,0.,0.398,0.007,0.,0.007,0.008,0.,0.008,0.007,0.,0.007,0.007,0.,0.007,0.38,0.,0.38,0.381,0.,0.381
40,0.7,0.,0.7,0.736,0.,0.736,0.01,0.,0.01,0.009,0.,0.009,0.009,0.,0.009,0.011,0.,0.011,0.68,0.,0.68,0.715,0.,0.715
45,0.736,0.,0.736,0.747,0.,0.747,0.012,0.,0.012,0.015,0.,0.015,0.011,0.,0.011,0.011,0.,0.011,0.712,0.,0.712,0.72,0.,0.72
50,0.971,0.003,0.968,0.98,0.,0.98,0.016,0.,0.016,0.015,0.,0.015,0.013,0.,0.013,0.013,0.,0.013,0.941,0.003,0.937,0.951,0.,0.951
