param-n,noop-repeat-rewrite-strat-bottomup-regression-cubic-real,noop-repeat-rewrite-strat-bottomup-regression-cubic-sys,noop-repeat-rewrite-strat-bottomup-regression-cubic-user,noop-repeat-rewrite-strat-topdown-regression-cubic-real,noop-repeat-rewrite-strat-topdown-regression-cubic-sys,noop-repeat-rewrite-strat-topdown-regression-cubic-user,noop-repeat-setoid-rewrite-regression-cubic-real,noop-repeat-setoid-rewrite-regression-cubic-sys,noop-repeat-setoid-rewrite-regression-cubic-user
0,0.,0.,0.,0.,0.,0.,0.,0.,0.
1,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,0.,0.,0.,0.,0.,0.,0.,0.,0.
10,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002
20,0.004,0.,0.004,0.004,0.,0.004,0.004,0.,0.004
30,0.006,0.,0.006,0.049,0.008,0.04,0.008,0.002,0.005
40,0.023,0.,0.023,0.009,0.,0.009,0.009,0.,0.009
50,0.053,0.012,0.04,0.018,0.003,0.014,0.018,0.003,0.014
60,0.018,0.,0.018,0.019,0.,0.019,0.018,0.,0.018
70,0.029,0.,0.029,0.024,0.,0.024,0.024,0.,0.024
80,0.036,0.,0.036,0.031,0.,0.031,0.03,0.,0.03
90,0.038,0.,0.038,0.097,0.,0.097,0.038,0.,0.038
100,0.046,0.,0.046,0.047,0.,0.047,0.061,0.,0.061
110,0.057,0.,0.056,0.079,0.,0.079,0.088,0.,0.088
120,0.066,0.,0.066,0.073,0.,0.073,0.071,0.,0.071
130,0.101,0.,0.101,0.112,0.,0.112,0.137,0.,0.137
140,0.09,0.,0.09,0.091,0.,0.091,0.091,0.,0.091
150,0.133,0.,0.133,0.163,0.,0.163,0.116,0.,0.116
160,0.118,0.,0.118,0.119,0.,0.119,0.12,0.,0.12
170,0.134,0.,0.134,0.134,0.,0.134,0.134,0.,0.134
180,0.151,0.,0.151,0.151,0.,0.151,0.15,0.,0.15
190,0.167,0.,0.167,0.168,0.,0.168,0.169,0.,0.169
200,0.239,0.,0.239,0.255,0.,0.255,0.214,0.,0.214
