param-n,cbn-regression-cubic-real,cbn-regression-cubic-sys,cbn-regression-cubic-user,cbv-regression-quadratic-real,cbv-regression-quadratic-sys,cbv-regression-quadratic-user,lazy-regression-quadratic-real,lazy-regression-quadratic-sys,lazy-regression-quadratic-user,native-compute(1)-regression-quadratic-real,native-compute(1)-regression-quadratic-sys,native-compute(1)-regression-quadratic-user,native-compute(2)-regression-quadratic-real,native-compute(2)-regression-quadratic-sys,native-compute(2)-regression-quadratic-user,simpl-regression-cubic-real,simpl-regression-cubic-sys,simpl-regression-cubic-user,vm-compute-regression-quadratic-real,vm-compute-regression-quadratic-sys,vm-compute-regression-quadratic-user
2471,,,,,,,,,,,,,,,,,,,0.091,0.,0.091
2502,,,,,,,,,,0.096,0.,0.096,0.096,0.,0.096,,,,,,
2510,,,,,,,,,,,,,,,,,,,0.093,0.,0.093
2521,,,,,,,3.798,0.003,3.792,,,,,,,,,,,,
2549,,,,,,,,,,,,,,,,,,,0.142,0.,0.142
2562,,,,1.881,0.,1.875,,,,,,,,,,,,,,,
2588,,,,,,,,,,,,,,,,,,,0.099,0.,0.099
2615,,,,,,,,,,0.103,0.,0.103,0.104,0.,0.104,,,,,,
2628,,,,,,,,,,,,,,,,,,,0.102,0.,0.102
2667,,,,,,,,,,,,,,,,,,,0.105,0.,0.105
2705,,,,2.042,0.007,2.034,,,,,,,,,,,,,,,
2706,,,,,,,,,,,,,,,,,,,0.136,0.,0.136
2729,,,,,,,,,,0.111,0.,0.111,0.204,0.,0.204,,,,,,
2745,,,,,,,,,,,,,,,,,,,0.111,0.,0.111
2784,,,,,,,,,,,,,,,,,,,0.115,0.,0.115
2824,,,,,,,,,,,,,,,,,,,0.118,0.,0.118
2842,,,,,,,,,,0.12,0.,0.12,0.122,0.,0.122,,,,,,
2847,,,,2.252,0.,2.252,,,,,,,,,,,,,,,
2863,,,,,,,,,,,,,,,,,,,0.12,0.,0.12
2881,,,,,,,4.971,0.011,4.959,,,,,,,,,,,,
2902,,,,,,,,,,,,,,,,,,,0.124,0.,0.124
2941,,,,,,,,,,,,,,,,,,,0.127,0.,0.127
