param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbn-regression-quadratic-sys,cps+cbn-regression-quadratic-user,cps+cbv-regression-quadratic-real,cps+cbv-regression-quadratic-sys,cps+cbv-regression-quadratic-user,cps+lazy-regression-quadratic-real,cps+lazy-regression-quadratic-sys,cps+lazy-regression-quadratic-user,cps+native-compute-regression-quadratic-real,cps+native-compute-regression-quadratic-sys,cps+native-compute-regression-quadratic-user,cps+simpl-regression-quadratic-real,cps+simpl-regression-quadratic-sys,cps+simpl-regression-quadratic-user,cps+vm-compute-regression-quadratic-real,cps+vm-compute-regression-quadratic-sys,cps+vm-compute-regression-quadratic-user,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(bottomup-bottomup)-regression-exponential-sys,rewrite-strat(bottomup-bottomup)-regression-exponential-user,rewrite-strat(topdown-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-sys,rewrite-strat(topdown-bottomup)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
31,31,1,0.003,0.,0.003,,,,,,,,,,,,,,,,,,,,,,,,
37,1,37,0.007,0.002,0.004,,,,,,,,,,0.006,0.,0.006,,,,,,,,,,,,
37,37,1,0.004,0.,0.004,,,,,,,,,,0.003,0.,0.003,,,,,,,,,,,,
42,1,42,,,,,,,,,,0.,0.,0.,,,,0.,0.,0.,,,,,,,,,
42,6,7,0.043,0.011,0.031,,,,,,,0.,0.,0.,0.002,0.,0.002,0.,0.,0.,,,,,,,,,
42,42,1,,,,,,,,,,0.,0.,0.,,,,0.,0.,0.,,,,,,,,,
43,1,43,0.007,0.,0.007,,,,,,,,,,,,,,,,,,,,,,,,
43,43,1,0.003,0.,0.003,,,,,,,,,,,,,,,,,,,,,,,,
48,1,48,,,,,,,,,,,,,0.008,0.,0.008,,,,,,,,,,,,
48,48,1,,,,,,,,,,,,,0.004,0.002,0.002,,,,,,,,,,,,
49,1,49,0.009,0.,0.009,,,,,,,,,,,,,,,,,,,,,,,,
49,7,7,0.002,0.,0.002,,,,,,,,,,,,,,,,,,,,,,,,
49,49,1,0.005,0.,0.005,,,,,,,,,,,,,,,,,,,,,,,,
55,1,55,0.011,0.,0.011,,,,,,,,,,,,,,,,,,,,,,,,
55,55,1,0.02,0.,0.02,,,,,,,,,,,,,,,,,,,,,,,,
56,7,8,0.002,0.,0.002,,,,,,,,,,0.003,0.,0.003,,,,,,,,,,,,
58,1,58,,,,,,,,,,,,,0.011,0.,0.01,,,,,,,,,,,,
58,58,1,,,,,,,,,,,,,0.046,0.003,0.042,,,,,,,,,,,,
61,1,61,0.012,0.,0.012,,,,,,,,,,,,,,,,,,,,,,,,
61,61,1,0.006,0.,0.006,,,,,,,,,,,,,,,,,,,,,,,,
64,1,64,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,
64,8,8,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,
64,64,1,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,
67,1,67,0.015,0.,0.015,,,,,,,,,,,,,,,,,,,,,,,,
67,67,1,0.009,0.003,0.005,,,,,,,,,,,,,,,,,,,,,,,,
68,1,68,,,,,,,,,,,,,0.012,0.,0.012,,,,,,,,,,,,
68,68,1,,,,,,,,,,,,,0.005,0.,0.005,,,,,,,,,,,,
72,8,9,0.003,0.,0.003,,,,,,,0.,0.,0.,0.003,0.,0.003,0.,0.,0.,,,,,,,,,
74,1,74,0.017,0.,0.017,,,,,,,,,,,,,,,,,,,,,,,,
74,74,1,0.009,0.,0.009,,,,,,,,,,,,,,,,,,,,,,,,
78,1,78,,,,,,,,,,0.,0.,0.,,,,0.,0.,0.,,,,,,,,,
78,78,1,,,,,,,,,,0.,0.,0.,,,,0.,0.,0.,,,,,,,,,
79,1,79,,,,,,,,,,,,,0.015,0.,0.015,,,,,,,,,,,,
79,79,1,,,,,,,,,,,,,0.006,0.,0.006,,,,,,,,,,,,
80,1,80,0.019,0.,0.019,,,,,,,,,,,,,,,,,,,,,,,,
80,80,1,0.01,0.,0.01,,,,,,,,,,,,,,,,,,,,,,,,
86,1,86,0.021,0.,0.021,,,,,,,,,,,,,,,,,,,,,,,,
86,86,1,0.011,0.,0.011,,,,,,,,,,,,,,,,,,,,,,,,
89,1,89,,,,,,,,,,,,,0.017,0.,0.017,,,,,,,,,,,,
89,89,1,,,,,,,,,,,,,0.008,0.,0.008,,,,,,,,,,,,
90,9,10,0.004,0.,0.004,,,,,,,,,,0.017,0.,0.017,,,,,,,,,,,,
92,1,92,0.023,0.,0.023,,,,,,,,,,,,,,,,,,,,,,,,
92,92,1,0.016,0.,0.016,,,,,,,,,,,,,,,,,,,,,,,,
98,1,98,0.027,0.,0.027,,,,,,,,,,,,,,,,,,,,,,,,
98,98,1,0.017,0.,0.017,,,,,,,,,,,,,,,,,,,,,,,,
99,1,99,,,,,,,,,,,,,0.021,0.,0.021,,,,,,,,,,,,
99,99,1,,,,,,,,,,,,,0.01,0.,0.01,,,,,,,,,,,,
104,1,104,0.035,0.,0.035,,,,,,,,,,,,,,,,,,,,,,,,
104,104,1,0.017,0.,0.017,,,,,,,,,,,,,,,,,,,,,,,,
110,1,110,0.031,0.,0.031,,,,,,,,,,0.024,0.,0.024,,,,,,,,,,,,
110,10,11,0.005,0.,0.005,,,,,,,0.,0.,0.,0.005,0.,0.005,0.,0.,0.,,,,,,,,,
110,110,1,0.018,0.,0.018,,,,,,,,,,0.011,0.,0.011,,,,,,,,,,,,
114,1,114,,,,,,,,,,0.,0.,0.,,,,0.,0.,0.,,,,,,,,,
114,114,1,,,,,,,,,,0.001,0.,0.001,,,,0.,0.,0.,,,,,,,,,
117,1,117,0.034,0.,0.034,,,,,,,,,,,,,,,,,,,,,,,,
117,117,1,0.085,0.,0.085,,,,,,,,,,,,,,,,,,,,,,,,
120,1,120,,,,,,,,,,,,,0.03,0.,0.029,,,,,,,,,,,,
120,120,1,,,,,,,,,,,,,0.013,0.,0.013,,,,,,,,,,,,
122,1,122,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,
122,122,1,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,
123,1,123,0.037,0.,0.037,,,,,,,,,,,,,,,,,,,,,,,,
123,123,1,0.055,0.,0.055,,,,,,,,,,,,,,,,,,,,,,,,
129,1,129,0.042,0.,0.042,,,,,,,,,,,,,,,,,,,,,,,,
129,129,1,0.042,0.,0.042,,,,,,,,,,,,,,,,,,,,,,,,
131,1,131,,,,,,,,,,,,,0.033,0.,0.033,,,,,,,,,,,,
131,131,1,,,,,,,,,,,,,0.016,0.,0.016,,,,,,,,,,,,
132,11,12,0.006,0.,0.006,0.,0.,0.,0.,0.,0.,,,,0.006,0.,0.006,,,,,,,,,,,,
135,1,135,0.045,0.,0.045,,,,,,,,,,,,,,,,,,,,,,,,
