param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbn-regression-quadratic-sys,cps+cbn-regression-quadratic-user,cps+cbv-regression-quadratic-real,cps+cbv-regression-quadratic-sys,cps+cbv-regression-quadratic-user,cps+lazy-regression-quadratic-real,cps+lazy-regression-quadratic-sys,cps+lazy-regression-quadratic-user,cps+native-compute-regression-quadratic-real,cps+native-compute-regression-quadratic-sys,cps+native-compute-regression-quadratic-user,cps+simpl-regression-quadratic-real,cps+simpl-regression-quadratic-sys,cps+simpl-regression-quadratic-user,cps+vm-compute-regression-quadratic-real,cps+vm-compute-regression-quadratic-sys,cps+vm-compute-regression-quadratic-user,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(bottomup-bottomup)-regression-exponential-sys,rewrite-strat(bottomup-bottomup)-regression-exponential-user,rewrite-strat(topdown-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-sys,rewrite-strat(topdown-bottomup)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
1,1,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.008,0.,0.008
2,1,2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.003,0.,0.003,0.003,0.,0.003,0.025,0.01,0.014
2,2,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.001,0.001,0.,0.015,0.007,0.007
3,1,3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.007,0.,0.007,0.007,0.,0.006,0.08,0.008,0.072
3,3,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.005,0.,0.005,0.005,0.004,0.001,0.023,0.,0.023
4,1,4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.016,0.,0.016,0.016,0.,0.016,0.07,0.,0.07
4,2,2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.009,0.,0.009,0.009,0.002,0.006,0.043,0.,0.043
4,4,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.012,0.,0.012,0.013,0.003,0.009,0.04,0.,0.04
5,1,5,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.,0.,0.,0.,0.043,0.011,0.031,0.044,0.,0.044,0.17,0.015,0.155
5,5,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.054,0.003,0.051,0.056,0.004,0.052,0.062,0.,0.062
6,2,3,,,,,,,,,,,,,,,,,,,,,,,,,0.111,0.,0.111
7,1,7,,,,,,,,,,,,,,,,,,,0.156,0.008,0.148,0.153,0.01,0.142,0.388,0.008,0.379
7,7,1,,,,,,,,,,,,,,,,,,,0.053,0.,0.053,0.055,0.,0.055,0.151,0.,0.151
8,1,8,,,,,,,,,,,,,,,,,,,0.18,0.,0.18,0.179,0.,0.179,0.522,0.,0.522
8,2,4,,,,,,,,,,,,,,,,,,,0.071,0.,0.071,0.071,0.,0.071,0.141,0.,0.141
8,4,2,,,,,,,,,,,,,,,,,,,0.047,0.,0.047,0.047,0.,0.047,0.144,0.,0.144
8,8,1,,,,,,,,,,,,,,,,,,,0.075,0.,0.075,0.083,0.003,0.079,0.221,0.,0.221
9,1,9,,,,,,,,,,,,,,,,,,,0.287,0.,0.287,0.28,0.,0.28,0.78,0.,0.78
9,3,3,,,,,,,,,,,,,,,,,,,0.074,0.,0.074,0.073,0.,0.073,0.226,0.,0.226
9,9,1,,,,,,,,,,,,,,,,,,,0.116,0.,0.116,0.121,0.,0.121,0.314,0.003,0.31
10,1,10,,,,,,,,,,,,,,,,,,,,,,,,,1.108,0.003,1.104
10,10,1,,,,,,,,,,,,,,,,,,,,,,,,,0.43,0.,0.43
11,1,11,,,,,,,,,,,,,,,,,,,0.677,0.003,0.674,0.661,0.,0.661,,,
11,11,1,,,,,,,,,,,,,,,,,,,0.211,0.,0.211,0.231,0.,0.231,,,
12,1,12,0.002,0.002,0.,,,,,,,,,,,,,,,,0.993,0.,0.993,0.992,0.,0.992,,,
12,3,4,0.001,0.001,0.,,,,,,,,,,,,,,,,0.186,0.,0.186,0.186,0.,0.186,0.227,0.,0.227
12,12,1,0.001,0.,0.001,,,,,,,,,,,,,,,,0.278,0.,0.278,0.313,0.,0.313,,,
13,1,13,,,,,,,,,,,,,,,,,,,,,,,,,2.79,0.,2.787
13,13,1,,,,,,,,,,,,,,,,,,,,,,,,,0.992,0.,0.992
15,1,15,,,,,,,,,,,,,,,,,,,3.121,0.007,3.113,3.134,0.011,3.122,,,
15,15,1,,,,,,,,,,,,,,,,,,,0.554,0.,0.554,0.628,0.003,0.623,,,
16,1,16,,,,,,,,,,,,,0.003,0.,0.003,,,,,,,,,,,,
16,4,4,,,,,,,,,,,,,0.001,0.,0.,,,,,,,,,,,,
16,16,1,,,,,,,,,,,,,0.001,0.,0.001,,,,,,,,,,,,
17,1,17,,,,,,,,,,,,,,,,,,,,,,,,,7.394,0.007,7.386
17,17,1,,,,,,,,,,,,,,,,,,,,,,,,,2.471,0.007,2.462
18,1,18,0.003,0.,0.003,,,,,,,,,,,,,,,,,,,,,,,,
18,18,1,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,,,,,
20,4,5,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,,,0.529,0.004,0.525
24,1,24,0.005,0.,0.005,,,,,,,,,,,,,,,,,,,,,,,,
24,24,1,0.002,0.002,0.,,,,,,,,,,,,,,,,,,,,,,,,
27,1,27,,,,,,,,,,,,,0.005,0.,0.005,,,,,,,,,,,,
27,27,1,,,,,,,,,,,,,0.002,0.002,0.,,,,,,,,,,,,
30,5,6,0.002,0.,0.002,,,,,,,,,,0.002,0.,0.002,,,,,,,,,,,,
31,1,31,0.006,0.,0.006,,,,,,,,,,,,,,,,,,,,,,,,
31,31,1,0.003,0.,0.003,,,,,,,,,,,,,,,,,,,,,,,,
37,1,37,0.008,0.,0.008,,,,,,,,,,0.008,0.004,0.004,,,,,,,,,,,,
37,37,1,0.004,0.,0.004,,,,,,,,,,0.003,0.,0.003,,,,,,,,,,,,
42,1,42,,,,,,,,,,0.,0.,0.,,,,0.,0.,0.,,,,,,,,,
42,6,7,0.002,0.,0.002,,,,,,,0.,0.,0.,0.003,0.,0.003,0.,0.,0.,,,,,,,,,
42,42,1,,,,,,,,,,0.,0.,0.,,,,0.,0.,0.,,,,,,,,,
43,1,43,0.01,0.,0.01,,,,,,,,,,,,,,,,,,,,,,,,
43,43,1,0.005,0.002,0.003,,,,,,,,,,,,,,,,,,,,,,,,
48,1,48,,,,,,,,,,,,,0.01,0.,0.01,,,,,,,,,,,,
48,48,1,,,,,,,,,,,,,0.005,0.,0.005,,,,,,,,,,,,
49,1,49,0.049,0.004,0.044,,,,,,,,,,,,,,,,,,,,,,,,
49,7,7,0.002,0.,0.002,,,,,,,,,,,,,,,,,,,,,,,,
49,49,1,0.007,0.,0.007,,,,,,,,,,,,,,,,,,,,,,,,
55,1,55,0.013,0.,0.013,,,,,,,,,,,,,,,,,,,,,,,,
55,55,1,0.007,0.,0.007,,,,,,,,,,,,,,,,,,,,,,,,
56,7,8,0.003,0.,0.003,,,,,,,,,,0.003,0.,0.003,,,,,,,,,,,,
58,1,58,,,,,,,,,,,,,0.051,0.004,0.047,,,,,,,,,,,,
58,58,1,,,,,,,,,,,,,0.005,0.,0.005,,,,,,,,,,,,
61,1,61,0.014,0.,0.014,,,,,,,,,,,,,,,,,,,,,,,,
61,61,1,0.008,0.,0.008,,,,,,,,,,,,,,,,,,,,,,,,
64,1,64,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,
64,8,8,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,
64,64,1,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,
67,1,67,0.018,0.,0.018,,,,,,,,,,,,,,,,,,,,,,,,
67,67,1,0.011,0.,0.011,,,,,,,,,,,,,,,,,,,,,,,,
68,1,68,,,,,,,,,,,,,0.015,0.,0.015,,,,,,,,,,,,
68,68,1,,,,,,,,,,,,,0.007,0.,0.007,,,,,,,,,,,,
72,8,9,0.004,0.,0.004,,,,,,,0.,0.,0.,0.004,0.,0.004,0.,0.,0.,,,,,,,,,
74,1,74,0.019,0.,0.019,,,,,,,,,,,,,,,,,,,,,,,,
74,74,1,0.012,0.,0.012,,,,,,,,,,,,,,,,,,,,,,,,
78,1,78,,,,,,,,,,0.,0.,0.,,,,0.,0.,0.,,,,,,,,,
78,78,1,,,,,,,,,,0.,0.,0.,,,,0.,0.,0.,,,,,,,,,
79,1,79,,,,,,,,,,,,,0.018,0.,0.018,,,,,,,,,,,,
79,79,1,,,,,,,,,,,,,0.008,0.,0.008,,,,,,,,,,,,
80,1,80,0.023,0.,0.023,,,,,,,,,,,,,,,,,,,,,,,,
80,80,1,0.014,0.,0.014,,,,,,,,,,,,,,,,,,,,,,,,
86,1,86,0.024,0.,0.024,,,,,,,,,,,,,,,,,,,,,,,,
86,86,1,0.015,0.,0.015,,,,,,,,,,,,,,,,,,,,,,,,
89,1,89,,,,,,,,,,,,,0.023,0.,0.023,,,,,,,,,,,,
89,89,1,,,,,,,,,,,,,0.01,0.,0.01,,,,,,,,,,,,
90,9,10,0.004,0.,0.004,,,,,,,,,,0.005,0.,0.005,,,,,,,,,,,,
92,1,92,0.027,0.,0.027,,,,,,,,,,,,,,,,,,,,,,,,
92,92,1,0.016,0.,0.016,,,,,,,,,,,,,,,,,,,,,,,,
98,1,98,0.033,0.,0.033,,,,,,,,,,,,,,,,,,,,,,,,
98,98,1,0.023,0.,0.023,,,,,,,,,,,,,,,,,,,,,,,,
99,1,99,,,,,,,,,,,,,0.027,0.,0.027,,,,,,,,,,,,
99,99,1,,,,,,,,,,,,,0.013,0.,0.013,,,,,,,,,,,,
104,1,104,0.035,0.,0.035,,,,,,,,,,,,,,,,,,,,,,,,
104,104,1,0.025,0.,0.025,,,,,,,,,,,,,,,,,,,,,,,,
110,1,110,0.037,0.,0.037,,,,,,,,,,0.031,0.,0.031,,,,,,,,,,,,
110,10,11,0.006,0.,0.006,,,,,,,0.,0.,0.,0.007,0.,0.007,0.,0.,0.,,,,,,,,,
110,110,1,0.024,0.,0.024,,,,,,,,,,0.014,0.,0.014,,,,,,,,,,,,
114,1,114,,,,,,,,,,0.,0.,0.,,,,0.,0.,0.,,,,,,,,,
114,114,1,,,,,,,,,,0.,0.,0.,,,,0.,0.,0.,,,,,,,,,
117,1,117,0.044,0.,0.044,,,,,,,,,,,,,,,,,,,,,,,,
117,117,1,0.027,0.,0.027,,,,,,,,,,,,,,,,,,,,,,,,
120,1,120,,,,,,,,,,,,,0.035,0.,0.035,,,,,,,,,,,,
120,120,1,,,,,,,,,,,,,0.016,0.,0.016,,,,,,,,,,,,
122,1,122,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,
122,122,1,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,
123,1,123,0.044,0.,0.044,,,,,,,,,,,,,,,,,,,,,,,,
123,123,1,0.033,0.,0.033,,,,,,,,,,,,,,,,,,,,,,,,
129,1,129,0.052,0.,0.052,,,,,,,,,,,,,,,,,,,,,,,,
129,129,1,0.038,0.003,0.035,,,,,,,,,,,,,,,,,,,,,,,,
131,1,131,,,,,,,,,,,,,0.045,0.003,0.041,,,,,,,,,,,,
131,131,1,,,,,,,,,,,,,0.021,0.,0.021,,,,,,,,,,,,
132,11,12,0.007,0.,0.007,0.,0.,0.,0.,0.,0.,,,,0.007,0.,0.007,,,,,,,,,,,,
135,1,135,0.054,0.,0.054,,,,,,,,,,,,,,,,,,,,,,,,
135,135,1,0.041,0.,0.041,,,,,,,,,,,,,,,,,,,,,,,,
141,1,141,,,,,,,,,,,,,0.047,0.,0.047,,,,,,,,,,,,
141,141,1,,,,,,,,,,,,,0.022,0.,0.022,,,,,,,,,,,,
150,1,150,,,,,,,,,,0.001,0.,0.001,,,,0.,0.,0.,,,,,,,,,
150,150,1,,,,,,,,,,0.001,0.,0.001,,,,0.,0.,0.,,,,,,,,,
151,1,151,,,,,,,,,,,,,0.055,0.,0.055,,,,,,,,,,,,
151,151,1,,,,,,,,,,,,,0.024,0.,0.024,,,,,,,,,,,,
156,12,13,0.008,0.,0.008,,,,,,,0.001,0.,0.001,0.008,0.,0.008,0.,0.,0.,,,,,,,,,
157,1,157,0.065,0.,0.065,,,,,,,,,,,,,,,,,,,,,,,,
157,157,1,0.043,0.,0.043,,,,,,,,,,,,,,,,,,,,,,,,
162,1,162,,,,,,,,,,,,,0.059,0.,0.059,,,,,,,,,,,,
162,162,1,,,,,,,,,,,,,0.028,0.,0.028,,,,,,,,,,,,
172,1,172,,,,,,,,,,,,,0.063,0.,0.063,,,,,,,,,,,,
172,172,1,,,,,,,,,,,,,0.032,0.,0.032,,,,,,,,,,,,
180,1,180,0.083,0.,0.083,,,,,,,,,,,,,,,,,,,,,,,,
180,180,1,0.055,0.,0.055,,,,,,,,,,,,,,,,,,,,,,,,
181,1,181,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,
181,181,1,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,
182,1,182,,,,,,,,,,,,,0.069,0.,0.069,,,,,,,,,,,,
182,13,14,0.01,0.,0.01,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.01,0.,0.01,0.,0.,0.,,,,,,,,,
182,182,1,,,,,,,,,,,,,0.031,0.,0.031,,,,,,,,,,,,
185,1,185,,,,,,,,,,0.,0.,0.,,,,0.,0.,0.,,,,,,,,,
