param-n,case-and-regression-linear-real,case-and-regression-linear-sys,case-and-regression-linear-user,case-clear-intros-and-regression-linear-real,case-clear-intros-and-regression-linear-sys,case-clear-intros-and-regression-linear-user,case-clear-intros-or-regression-linear-real,case-clear-intros-or-regression-linear-sys,case-clear-intros-or-regression-linear-user,case-or-regression-linear-real,case-or-regression-linear-sys,case-or-regression-linear-user,destruct-and-regression-linear-real,destruct-and-regression-linear-sys,destruct-and-regression-linear-user,destruct-or-regression-linear-real,destruct-or-regression-linear-sys,destruct-or-regression-linear-user,intros-regression-linear-real,intros-regression-linear-sys,intros-regression-linear-user,lazy-regression-linear-real,lazy-regression-linear-sys,lazy-regression-linear-user
1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.003,0.,0.003,0.004,0.,0.004,0.001,0.,0.001,0.006,0.,0.005
2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.007,0.001,0.005,0.01,0.,0.01,0.005,0.,0.005,0.013,0.002,0.01
3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.013,0.,0.013,0.017,0.,0.017,0.01,0.,0.01,0.053,0.003,0.05
4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.072,0.006,0.066,0.014,0.,0.014,0.024,0.,0.024,0.026,0.005,0.02
5,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.017,0.,0.017,0.018,0.,0.018,0.011,0.,0.01,0.044,0.001,0.042
6,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.035,0.,0.035,0.033,0.,0.033,0.052,0.,0.052,0.049,0.,0.049
7,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.047,0.,0.047,0.034,0.,0.034,0.05,0.,0.05,0.043,0.,0.043
8,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.039,0.,0.039,0.078,0.,0.078,0.048,0.,0.048,0.074,0.002,0.071
9,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.043,0.,0.043,0.051,0.,0.051,0.052,0.,0.052,0.078,0.002,0.075
10,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.05,0.,0.05,0.048,0.,0.048,0.079,0.,0.079,0.085,0.002,0.082
50,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.19,0.,0.19,0.186,0.,0.186,1.211,0.001,1.209,0.551,0.019,0.531
100,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.373,0.,0.373,0.373,0.,0.372,4.32,0.,4.32,1.001,0.015,0.985
150,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.544,0.,0.544,0.566,0.,0.566,9.638,0.,9.636,1.565,0.02,1.545
200,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.738,0.,0.738,0.753,0.,0.753,18.135,0.,18.133,2.084,0.027,2.057
