param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbn-regression-quadratic-sys,cps+cbn-regression-quadratic-user,cps+cbv-regression-quadratic-real,cps+cbv-regression-quadratic-sys,cps+cbv-regression-quadratic-user,cps+lazy-regression-quadratic-real,cps+lazy-regression-quadratic-sys,cps+lazy-regression-quadratic-user,cps+native-compute-regression-quadratic-real,cps+native-compute-regression-quadratic-sys,cps+native-compute-regression-quadratic-user,cps+simpl-regression-quadratic-real,cps+simpl-regression-quadratic-sys,cps+simpl-regression-quadratic-user,cps+vm-compute-regression-quadratic-real,cps+vm-compute-regression-quadratic-sys,cps+vm-compute-regression-quadratic-user,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(bottomup-bottomup)-regression-exponential-sys,rewrite-strat(bottomup-bottomup)-regression-exponential-user,rewrite-strat(topdown-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-sys,rewrite-strat(topdown-bottomup)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
1,1,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.009,0.001,0.008
2,1,2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.003,0.,0.003,0.003,0.001,0.001,0.029,0.005,0.023
2,2,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.001,0.001,0.,0.017,0.003,0.013
3,1,3,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.008,0.002,0.005,0.008,0.001,0.007,0.091,0.003,0.088
3,3,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.006,0.,0.006,0.006,0.,0.006,0.026,0.,0.026
4,1,4,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.,0.,0.,0.018,0.,0.018,0.017,0.,0.017,0.076,0.,0.076
4,2,2,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.011,0.003,0.008,0.01,0.001,0.008,0.046,0.,0.046
4,4,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.06,0.002,0.057,0.061,0.008,0.052,0.043,0.,0.043
5,1,5,0.002,0.,0.002,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.,0.,0.,0.094,0.012,0.081,0.098,0.018,0.08,0.193,0.018,0.175
5,5,1,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.02,0.,0.02,0.022,0.,0.021,0.07,0.,0.07
6,2,3,,,,,,,,,,,,,,,,,,,,,,,,,0.122,0.,0.122
7,1,7,,,,,,,,,,,,,,,,,,,0.181,0.013,0.167,0.184,0.011,0.173,0.418,0.017,0.4
7,7,1,,,,,,,,,,,,,,,,,,,0.057,0.,0.057,0.061,0.,0.061,0.168,0.,0.168
8,1,8,,,,,,,,,,,,,,,,,,,0.203,0.,0.203,0.204,0.,0.204,0.561,0.,0.561
8,2,4,,,,,,,,,,,,,,,,,,,0.076,0.,0.076,0.077,0.,0.077,0.147,0.,0.147
8,4,2,,,,,,,,,,,,,,,,,,,0.052,0.,0.052,0.053,0.001,0.051,0.156,0.,0.156
8,8,1,,,,,,,,,,,,,,,,,,,0.087,0.,0.087,0.095,0.,0.095,0.249,0.,0.249
9,1,9,,,,,,,,,,,,,,,,,,,0.32,0.,0.318,0.321,0.,0.321,0.832,0.,0.832
9,3,3,,,,,,,,,,,,,,,,,,,0.081,0.,0.081,0.083,0.,0.083,0.242,0.,0.242
9,9,1,,,,,,,,,,,,,,,,,,,0.126,0.,0.126,0.137,0.,0.137,0.349,0.,0.348
10,1,10,,,,,,,,,,,,,,,,,,,,,,,,,1.18,0.001,1.178
10,10,1,,,,,,,,,,,,,,,,,,,,,,,,,0.489,0.,0.489
11,1,11,,,,,,,,,,,,,,,,,,,0.758,0.002,0.756,0.76,0.,0.76,,,
11,11,1,,,,,,,,,,,,,,,,,,,0.237,0.,0.237,0.266,0.,0.266,,,
12,1,12,0.006,0.,0.006,,,,,,,,,,,,,,,,1.139,0.003,1.135,1.148,0.,1.147,,,
12,3,4,0.002,0.,0.002,,,,,,,,,,,,,,,,0.208,0.,0.207,0.213,0.,0.213,0.244,0.,0.244
12,12,1,0.002,0.,0.001,,,,,,,,,,,,,,,,0.314,0.,0.313,0.352,0.,0.352,,,
13,1,13,,,,,,,,,,,,,,,,,,,,,,,,,2.901,0.001,2.899
13,13,1,,,,,,,,,,,,,,,,,,,,,,,,,1.139,0.,1.138
15,1,15,,,,,,,,,,,,,,,,,,,3.593,0.005,3.584,3.599,0.001,3.597,,,
15,15,1,,,,,,,,,,,,,,,,,,,0.64,0.,0.639,0.726,0.,0.725,,,
16,1,16,,,,,,,,,,,,,0.003,0.,0.003,,,,,,,,,,,,
16,4,4,,,,,,,,,,,,,0.001,0.001,0.,,,,,,,,,,,,
16,16,1,,,,,,,,,,,,,0.001,0.,0.001,,,,,,,,,,,,
17,1,17,,,,,,,,,,,,,,,,,,,,,,,,,7.5,0.003,7.495
17,17,1,,,,,,,,,,,,,,,,,,,,,,,,,2.839,0.006,2.833
18,1,18,0.009,0.001,0.008,,,,,,,,,,,,,,,,,,,,,,,,
18,18,1,0.003,0.,0.003,,,,,,,,,,,,,,,,,,,,,,,,
20,4,5,0.003,0.,0.003,,,,,,,,,,,,,,,,,,,,,,0.586,0.,0.586
24,1,24,0.015,0.001,0.013,,,,,,,,,,,,,,,,,,,,,,,,
24,24,1,0.006,0.,0.005,,,,,,,,,,,,,,,,,,,,,,,,
27,1,27,,,,,,,,,,,,,0.006,0.,0.006,,,,,,,,,,,,
27,27,1,,,,,,,,,,,,,0.003,0.,0.002,,,,,,,,,,,,
30,5,6,0.004,0.,0.004,,,,,,,,,,0.002,0.,0.002,,,,,,,,,,,,
31,1,31,0.019,0.,0.018,,,,,,,,,,,,,,,,,,,,,,,,
31,31,1,0.06,0.004,0.055,,,,,,,,,,,,,,,,,,,,,,,,
37,1,37,0.024,0.,0.024,,,,,,,,,,0.01,0.001,0.008,,,,,,,,,,,,
37,37,1,0.009,0.,0.009,,,,,,,,,,0.004,0.,0.004,,,,,,,,,,,,
42,1,42,,,,,,,,,,0.,0.,0.,,,,0.,0.,0.,,,,,,,,,
42,6,7,0.004,0.,0.004,,,,,,,0.,0.,0.,0.003,0.001,0.001,0.,0.,0.,,,,,,,,,
42,42,1,,,,,,,,,,0.,0.,0.,,,,0.,0.,0.,,,,,,,,,
43,1,43,0.029,0.,0.029,,,,,,,,,,,,,,,,,,,,,,,,
43,43,1,0.012,0.,0.012,,,,,,,,,,,,,,,,,,,,,,,,
48,1,48,,,,,,,,,,,,,0.06,0.003,0.057,,,,,,,,,,,,
48,48,1,,,,,,,,,,,,,0.006,0.,0.006,,,,,,,,,,,,
49,1,49,0.042,0.,0.042,,,,,,,,,,,,,,,,,,,,,,,,
49,7,7,0.005,0.,0.005,,,,,,,,,,,,,,,,,,,,,,,,
49,49,1,0.019,0.,0.019,,,,,,,,,,,,,,,,,,,,,,,,
55,1,55,0.045,0.,0.045,,,,,,,,,,,,,,,,,,,,,,,,
55,55,1,0.02,0.,0.02,,,,,,,,,,,,,,,,,,,,,,,,
56,7,8,0.005,0.,0.005,,,,,,,,,,0.003,0.,0.003,,,,,,,,,,,,
58,1,58,,,,,,,,,,,,,0.015,0.,0.015,,,,,,,,,,,,
58,58,1,,,,,,,,,,,,,0.007,0.,0.007,,,,,,,,,,,,
61,1,61,0.052,0.,0.052,,,,,,,,,,,,,,,,,,,,,,,,
61,61,1,0.023,0.,0.023,,,,,,,,,,,,,,,,,,,,,,,,
64,1,64,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,
64,8,8,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,
64,64,1,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,
67,1,67,0.065,0.,0.065,,,,,,,,,,,,,,,,,,,,,,,,
67,67,1,0.03,0.,0.03,,,,,,,,,,,,,,,,,,,,,,,,
68,1,68,,,,,,,,,,,,,0.019,0.,0.019,,,,,,,,,,,,
68,68,1,,,,,,,,,,,,,0.009,0.,0.009,,,,,,,,,,,,
72,8,9,0.006,0.,0.006,,,,,,,0.,0.,0.,0.004,0.,0.004,0.,0.,0.,,,,,,,,,
74,1,74,0.071,0.,0.071,,,,,,,,,,,,,,,,,,,,,,,,
74,74,1,0.034,0.,0.034,,,,,,,,,,,,,,,,,,,,,,,,
78,1,78,,,,,,,,,,0.,0.,0.,,,,0.,0.,0.,,,,,,,,,
78,78,1,,,,,,,,,,0.,0.,0.,,,,0.,0.,0.,,,,,,,,,
79,1,79,,,,,,,,,,,,,0.024,0.,0.024,,,,,,,,,,,,
79,79,1,,,,,,,,,,,,,0.011,0.,0.011,,,,,,,,,,,,
80,1,80,0.085,0.,0.084,,,,,,,,,,,,,,,,,,,,,,,,
80,80,1,0.04,0.,0.04,,,,,,,,,,,,,,,,,,,,,,,,
86,1,86,0.089,0.,0.089,,,,,,,,,,,,,,,,,,,,,,,,
86,86,1,0.041,0.,0.041,,,,,,,,,,,,,,,,,,,,,,,,
89,1,89,,,,,,,,,,,,,0.028,0.,0.028,,,,,,,,,,,,
89,89,1,,,,,,,,,,,,,0.013,0.,0.013,,,,,,,,,,,,
90,9,10,0.008,0.,0.008,,,,,,,,,,0.006,0.,0.006,,,,,,,,,,,,
92,1,92,0.098,0.,0.098,,,,,,,,,,,,,,,,,,,,,,,,
92,92,1,0.047,0.,0.047,,,,,,,,,,,,,,,,,,,,,,,,
98,1,98,0.138,0.,0.138,,,,,,,,,,,,,,,,,,,,,,,,
98,98,1,0.069,0.,0.069,,,,,,,,,,,,,,,,,,,,,,,,
99,1,99,,,,,,,,,,,,,0.035,0.,0.035,,,,,,,,,,,,
99,99,1,,,,,,,,,,,,,0.018,0.,0.018,,,,,,,,,,,,
104,1,104,0.145,0.,0.145,,,,,,,,,,,,,,,,,,,,,,,,
104,104,1,0.073,0.,0.073,,,,,,,,,,,,,,,,,,,,,,,,
110,1,110,0.142,0.,0.142,,,,,,,,,,0.039,0.,0.039,,,,,,,,,,,,
