param-n,cbn-regression-cubic-real,cbn-regression-cubic-sys,cbn-regression-cubic-user,cbv-regression-quadratic-real,cbv-regression-quadratic-sys,cbv-regression-quadratic-user,lazy-regression-quadratic-real,lazy-regression-quadratic-sys,lazy-regression-quadratic-user,native-compute(1)-regression-quadratic-real,native-compute(1)-regression-quadratic-sys,native-compute(1)-regression-quadratic-user,native-compute(2)-regression-quadratic-real,native-compute(2)-regression-quadratic-sys,native-compute(2)-regression-quadratic-user,simpl-regression-cubic-real,simpl-regression-cubic-sys,simpl-regression-cubic-user,vm-compute-regression-quadratic-real,vm-compute-regression-quadratic-sys,vm-compute-regression-quadratic-user
2,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.,0.,0.
3,0.002,0.,0.002,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.002,0.,0.002,0.,0.,0.
4,0.004,0.,0.004,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.004,0.,0.004,0.,0.,0.
5,0.007,0.,0.007,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.006,0.,0.006,0.,0.,0.
6,0.012,0.,0.012,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.011,0.,0.011,0.,0.,0.
7,0.025,0.001,0.023,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.022,0.,0.022,0.,0.,0.
8,0.022,0.,0.022,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.021,0.,0.021,0.,0.,0.
9,0.031,0.,0.031,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.038,0.,0.038,0.,0.,0.
10,0.052,0.,0.052,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.038,0.,0.038,0.,0.,0.
11,0.061,0.002,0.059,0.,0.,0.,,,,,,,,,,0.052,0.,0.052,,,
12,0.07,0.001,0.068,,,,0.,0.,0.,,,,,,,0.067,0.,0.067,,,
13,0.087,0.,0.087,,,,,,,,,,,,,0.068,0.,0.068,,,
14,0.098,0.,0.098,,,,,,,,,,,,,0.103,0.,0.102,,,
15,0.128,0.,0.128,,,,,,,,,,,,,0.105,0.,0.105,,,
16,0.123,0.,0.123,,,,,,,,,,,,,0.12,0.,0.12,,,
17,,,,,,,,,,,,,,,,0.135,0.,0.135,,,
18,0.17,0.,0.17,,,,0.,0.,0.,,,,,,,0.163,0.,0.163,,,
19,0.2,0.,0.2,0.,0.,0.,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,0.209,0.,0.209,,,
22,0.304,0.,0.303,,,,,,,,,,,,,0.277,0.,0.277,,,
23,,,,,,,0.,0.,0.,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,0.333,0.,0.333,,,
25,0.392,0.,0.392,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,0.41,0.,0.41,,,
28,0.521,0.,0.521,0.,0.,0.,0.,0.,0.,,,,,,,0.495,0.,0.494,,,
30,0.653,0.,0.653,,,,,,,,,,,,,0.6,0.,0.6,,,
32,,,,,,,,,,,,,,,,0.696,0.,0.695,,,
33,0.767,0.,0.767,,,,0.001,0.,0.001,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,0.834,0.,0.833,,,
36,0.972,0.,0.972,0.,0.,0.,,,,,,,,,,,,,,,
39,,,,,,,0.001,0.,0.001,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,1.339,0.,1.338,0.,0.,0.
43,1.568,0.,1.568,,,,,,,,,,,,,,,,,,
44,,,,,,,0.001,0.,0.001,,,,,,,,,,,,
45,,,,0.001,0.,0.001,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,1.987,0.,1.987,,,
49,,,,,,,0.001,0.,0.001,,,,,,,,,,,,
50,2.289,0.,2.289,,,,,,,,,,,,,,,,,,
53,,,,0.001,0.,0.001,,,,,,,,,,,,,,,
54,,,,,,,0.002,0.,0.002,,,,,,,2.848,0.,2.847,,,
56,3.085,0.,3.084,,,,,,,,,,,,,,,,,,
59,,,,,,,0.002,0.,0.002,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,3.763,0.002,3.76,,,
62,,,,0.002,0.,0.002,,,,,,,,,,,,,,,
63,4.47,0.,4.469,,,,,,,,,,,,,,,,,,
65,,,,,,,0.002,0.,0.002,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,5.195,0.005,5.189,,,
70,5.833,0.,5.832,,,,0.011,0.001,0.009,,,,,,,,,,,,
71,,,,0.002,0.,0.002,,,,,,,,,,,,,,,
75,,,,,,,0.003,0.,0.003,,,,,,,,,,,,
79,,,,0.003,0.,0.003,,,,,,,,,,,,,,,
80,,,,,,,0.004,0.,0.004,,,,,,,,,,0.,0.,0.
86,,,,,,,0.004,0.,0.004,,,,,,,,,,,,
88,,,,0.003,0.,0.003,,,,,,,,,,,,,,,
91,,,,,,,0.005,0.,0.005,,,,,,,,,,,,
96,,,,0.011,0.,0.01,0.005,0.,0.005,,,,,,,,,,,,
101,,,,,,,0.016,0.,0.016,,,,,,,,,,,,
105,,,,0.004,0.,0.004,,,,,,,,,,,,,,,
106,,,,,,,0.006,0.,0.006,,,,,,,,,,,,
112,,,,,,,0.006,0.,0.006,,,,,,,,,,,,
113,,,,0.005,0.,0.005,,,,,,,,,,,,,,,
116,,,,,,,,,,0.,0.,0.,0.,0.,0.,,,,,,
117,,,,,,,0.007,0.,0.007,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,0.,0.,0.
122,,,,0.005,0.,0.005,0.008,0.,0.008,,,,,,,,,,,,
