param-n,noop-repeat-rewrite-strat-bottomup-regression-cubic-real,noop-repeat-rewrite-strat-bottomup-regression-cubic-sys,noop-repeat-rewrite-strat-bottomup-regression-cubic-user,noop-repeat-rewrite-strat-topdown-regression-cubic-real,noop-repeat-rewrite-strat-topdown-regression-cubic-sys,noop-repeat-rewrite-strat-topdown-regression-cubic-user,noop-repeat-setoid-rewrite-regression-cubic-real,noop-repeat-setoid-rewrite-regression-cubic-sys,noop-repeat-setoid-rewrite-regression-cubic-user
0,0.,0.,0.,0.,0.,0.,0.,0.,0.
1,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,0.,0.,0.,0.,0.,0.,0.,0.,0.
10,0.002,0.001,0.001,0.002,0.,0.002,0.003,0.,0.003
20,0.006,0.002,0.004,0.006,0.001,0.005,0.006,0.,0.005
30,0.008,0.,0.008,0.045,0.004,0.04,0.01,0.001,0.008
40,0.012,0.,0.012,0.012,0.,0.012,0.012,0.,0.012
50,0.017,0.,0.017,0.059,0.01,0.048,0.022,0.003,0.019
60,0.023,0.,0.023,0.023,0.,0.023,0.023,0.,0.023
70,0.029,0.,0.029,0.03,0.,0.03,0.029,0.,0.029
80,0.037,0.,0.037,0.037,0.,0.037,0.037,0.,0.037
90,0.045,0.,0.045,0.045,0.,0.045,0.045,0.,0.045
100,0.059,0.,0.059,0.055,0.,0.055,0.055,0.,0.055
110,0.065,0.,0.065,0.065,0.,0.065,0.065,0.,0.065
120,0.075,0.,0.075,0.077,0.,0.077,0.076,0.,0.076
130,0.088,0.,0.088,0.089,0.,0.089,0.089,0.,0.089
140,0.101,0.,0.101,0.103,0.,0.103,0.102,0.,0.102
150,0.117,0.,0.117,0.116,0.,0.116,0.118,0.,0.118
160,0.132,0.,0.131,0.131,0.,0.131,0.131,0.,0.131
170,0.147,0.,0.147,0.149,0.,0.149,0.149,0.,0.149
180,0.164,0.,0.164,0.165,0.,0.165,0.165,0.,0.165
190,0.184,0.,0.184,0.185,0.,0.185,0.182,0.,0.182
200,0.203,0.,0.203,0.204,0.,0.204,0.204,0.,0.204
