param-n,cbn-regression-cubic-real,cbn-regression-cubic-sys,cbn-regression-cubic-user,cbv-regression-quadratic-real,cbv-regression-quadratic-sys,cbv-regression-quadratic-user,lazy-regression-quadratic-real,lazy-regression-quadratic-sys,lazy-regression-quadratic-user,native-compute(1)-native-compute-compilation-real,native-compute(1)-native-compute-conversion-to-native-code-real,native-compute(1)-native-compute-evaluation-real,native-compute(1)-native-compute-reification-real,native-compute(1)-regression-quadratic-real,native-compute(1)-regression-quadratic-sys,native-compute(1)-regression-quadratic-user,native-compute(2)-native-compute-compilation-real,native-compute(2)-native-compute-conversion-to-native-code-real,native-compute(2)-native-compute-evaluation-real,native-compute(2)-native-compute-reification-real,native-compute(2)-regression-quadratic-real,native-compute(2)-regression-quadratic-sys,native-compute(2)-regression-quadratic-user,simpl-regression-cubic-real,simpl-regression-cubic-sys,simpl-regression-cubic-user,vm-compute-regression-quadratic-real,vm-compute-regression-quadratic-sys,vm-compute-regression-quadratic-user
2,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.23707,0.00118,0.00076,0.00006,0.24,0.003,0.009,0.06119,0.00027,0.00064,0.00006,0.062,0.,0.002,0.001,0.,0.001,0.,0.,0.
3,0.002,0.,0.002,0.,0.,0.,0.,0.,0.,0.06014,0.00025,0.00062,0.00006,0.061,0.,0.002,0.05868,0.00027,0.00067,0.00006,0.059,0.,0.002,0.002,0.,0.002,0.,0.,0.
4,0.004,0.,0.004,0.,0.,0.,0.,0.,0.,0.05976,0.00025,0.00062,0.00006,0.06,0.,0.002,0.05992,0.00026,0.00062,0.00006,0.06,0.002,0.,0.004,0.,0.004,0.,0.,0.
5,0.008,0.,0.008,0.,0.,0.,0.,0.,0.,0.05936,0.00026,0.00062,0.00007,0.06,0.,0.002,0.05871,0.00026,0.00064,0.00007,0.059,0.,0.002,0.007,0.,0.007,0.,0.,0.
6,0.013,0.,0.013,0.,0.,0.,0.,0.,0.,0.05874,0.00027,0.00064,0.00006,0.059,0.002,0.,0.05996,0.00025,0.00063,0.00006,0.061,0.001,0.001,0.012,0.,0.012,0.,0.,0.
7,0.031,0.,0.031,0.,0.,0.,0.,0.,0.,0.05961,0.00025,0.00063,0.00006,0.06,0.,0.002,0.05983,0.00026,0.00063,0.00007,0.06,0.,0.002,0.029,0.007,0.021,0.,0.,0.
8,0.025,0.,0.025,0.,0.,0.,0.,0.,0.,0.05936,0.00025,0.00062,0.00007,0.06,0.,0.002,0.05942,0.00026,0.00073,0.00008,0.06,0.,0.002,0.025,0.,0.025,0.,0.,0.
9,0.137,0.,0.137,0.,0.,0.,0.,0.,0.,0.06129,0.00024,0.00063,0.00007,0.062,0.,0.002,0.06081,0.00032,0.00064,0.00007,0.061,0.,0.002,0.137,0.,0.137,0.,0.,0.
10,0.044,0.,0.044,0.,0.,0.,0.,0.,0.,0.05962,0.00025,0.00063,0.00006,0.06,0.,0.002,0.05977,0.00028,0.00068,0.00007,0.06,0.001,0.,0.044,0.,0.044,0.,0.,0.
11,0.068,0.,0.068,0.,0.,0.,,,,,,,,,,,,,,,,,,0.063,0.003,0.059,,,
12,0.079,0.007,0.071,,,,0.,0.,0.,,,,,,,,,,,,,,,0.165,0.,0.164,,,
13,0.182,0.,0.182,,,,,,,,,,,,,,,,,,,,,0.072,0.,0.072,,,
14,0.12,0.,0.12,,,,,,,,,,,,,,,,,,,,,0.212,0.003,0.209,,,
15,0.228,0.,0.228,,,,,,,,,,,,,,,,,,,,,0.135,0.,0.135,,,
16,0.135,0.,0.135,,,,,,,,,,,,,,,,,,,,,0.133,0.,0.133,,,
17,,,,,,,,,,,,,,,,,,,,,,,,0.181,0.,0.181,,,
18,0.206,0.,0.206,,,,0.,0.,0.,,,,,,,,,,,,,,,0.192,0.,0.192,,,
19,0.245,0.,0.245,0.,0.,0.,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,0.326,0.,0.326,,,
22,0.443,0.,0.443,,,,,,,,,,,,,,,,,,,,,0.323,0.,0.323,,,
23,,,,,,,0.,0.,0.,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,0.399,0.,0.399,,,
25,0.429,0.,0.429,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,0.46,0.,0.46,,,
28,0.574,0.,0.574,0.001,0.,0.001,0.001,0.,0.001,,,,,,,,,,,,,,,0.549,0.,0.549,,,
30,0.707,0.,0.707,,,,,,,,,,,,,,,,,,,,,0.649,0.,0.649,,,
32,,,,,,,,,,,,,,,,,,,,,,,,0.786,0.,0.786,,,
33,0.869,0.,0.869,,,,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,0.904,0.003,0.901,,,
36,1.116,0.,1.116,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,1.456,0.,1.456,0.,0.,0.
43,1.793,0.,1.793,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,0.002,0.,0.002,,,,,,,,,,,,,,,,,,,,
45,,,,0.002,0.,0.002,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,2.146,0.,2.146,,,
49,,,,,,,0.002,0.,0.002,,,,,,,,,,,,,,,,,,,,
50,2.656,0.,2.655,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,0.002,0.,0.002,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,0.003,0.,0.003,,,,,,,,,,,,,,,3.126,0.008,3.117,,,
56,3.603,0.,3.603,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,0.016,0.,0.016,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,4.181,0.015,4.165,,,
62,,,,0.003,0.,0.003,,,,,,,,,,,,,,,,,,,,,,,
63,5.217,0.,5.217,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,0.003,0.,0.003,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,5.771,0.007,5.762,,,
70,6.99,0.003,6.986,,,,0.004,0.,0.004,,,,,,,,,,,,,,,,,,,,
71,,,,0.003,0.,0.003,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,0.005,0.,0.005,,,,,,,,,,,,,,,,,,,,
79,,,,0.018,0.007,0.01,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,0.005,0.,0.005,,,,,,,,,,,,,,,,,,0.,0.,0.
86,,,,,,,0.006,0.,0.006,,,,,,,,,,,,,,,,,,,,
88,,,,0.005,0.,0.005,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,0.11,0.,0.11,,,,,,,,,,,,,,,,,,,,
96,,,,0.005,0.,0.005,0.007,0.,0.007,,,,,,,,,,,,,,,,,,,,
101,,,,,,,0.008,0.,0.008,,,,,,,,,,,,,,,,,,,,
105,,,,0.006,0.,0.006,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,0.008,0.,0.008,,,,,,,,,,,,,,,,,,,,
112,,,,,,,0.009,0.,0.009,,,,,,,,,,,,,,,,,,,,
113,,,,0.007,0.,0.007,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,0.24177,0.00118,0.00085,0.00026,0.245,0.001,0.011,0.06282,0.00027,0.00076,0.00025,0.064,0.,0.002,,,,,,
