param-n,noop-repeat-rewrite-strat-bottomup-regression-cubic-real,noop-repeat-rewrite-strat-bottomup-regression-cubic-sys,noop-repeat-rewrite-strat-bottomup-regression-cubic-user,noop-repeat-rewrite-strat-topdown-regression-cubic-real,noop-repeat-rewrite-strat-topdown-regression-cubic-sys,noop-repeat-rewrite-strat-topdown-regression-cubic-user,noop-repeat-setoid-rewrite-regression-cubic-real,noop-repeat-setoid-rewrite-regression-cubic-sys,noop-repeat-setoid-rewrite-regression-cubic-user
0,0.,0.,0.,0.,0.,0.,0.,0.,0.
1,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,0.001,0.001,0.,0.001,0.001,0.,0.,0.,0.
10,0.004,0.004,0.,0.004,0.002,0.001,0.004,0.,0.004
20,0.009,0.004,0.005,0.01,0.003,0.006,0.009,0.004,0.005
30,0.013,0.,0.012,0.012,0.,0.012,0.051,0.015,0.035
40,0.017,0.,0.017,0.02,0.,0.019,0.019,0.,0.019
50,0.024,0.,0.024,0.065,0.,0.065,0.034,0.012,0.021
60,0.033,0.,0.033,0.033,0.,0.033,0.096,0.,0.096
70,0.042,0.,0.042,0.048,0.,0.048,0.07,0.,0.07
80,0.067,0.,0.067,0.056,0.,0.056,0.054,0.,0.054
90,0.066,0.,0.066,0.074,0.,0.074,0.086,0.,0.086
100,0.104,0.,0.104,0.085,0.,0.085,0.14,0.,0.14
110,0.093,0.,0.093,0.111,0.,0.111,0.168,0.,0.168
120,0.111,0.,0.111,0.114,0.,0.114,0.113,0.,0.113
130,0.128,0.,0.128,0.13,0.,0.13,0.13,0.,0.13
140,0.154,0.,0.154,0.149,0.,0.149,0.149,0.,0.149
150,0.24,0.,0.24,0.183,0.,0.183,0.18,0.,0.18
160,0.197,0.,0.197,0.218,0.,0.218,0.192,0.,0.192
170,0.217,0.,0.217,0.232,0.,0.232,0.223,0.,0.222
180,0.24,0.,0.24,0.243,0.,0.243,0.242,0.,0.242
190,0.266,0.,0.266,0.275,0.,0.275,0.273,0.,0.27
200,0.296,0.,0.296,0.299,0.,0.299,0.315,0.,0.315
