param-n,pattern-regression-linear-real,pattern-regression-linear-sys,pattern-regression-linear-user
252,0.004,0.,0.004
253,0.005,0.,0.005
254,0.004,0.,0.004
255,0.004,0.,0.004
256,0.004,0.,0.004
257,0.004,0.,0.004
258,0.004,0.,0.004
259,0.004,0.,0.004
260,0.004,0.,0.004
261,0.004,0.,0.004
262,0.004,0.,0.004
263,0.004,0.,0.004
264,0.004,0.,0.004
265,0.004,0.,0.004
266,0.004,0.,0.004
267,0.004,0.,0.004
268,0.004,0.,0.004
269,0.004,0.,0.004
270,0.004,0.,0.004
271,0.004,0.,0.004
272,0.004,0.,0.004
273,0.004,0.,0.004
274,0.004,0.,0.004
275,0.004,0.,0.004
276,0.004,0.,0.004
277,0.004,0.,0.004
278,0.004,0.,0.004
279,0.005,0.,0.005
280,0.004,0.,0.004
281,0.004,0.,0.004
282,0.004,0.,0.004
283,0.004,0.,0.004
284,0.004,0.,0.004
285,0.005,0.,0.005
286,0.004,0.,0.004
287,0.005,0.,0.005
288,0.004,0.,0.004
289,0.005,0.,0.005
290,0.005,0.,0.005
291,0.005,0.,0.005
292,0.004,0.,0.004
293,0.005,0.,0.005
294,0.005,0.,0.005
295,0.005,0.,0.005
296,0.004,0.,0.004
297,0.006,0.,0.006
298,0.005,0.,0.005
299,0.005,0.,0.005
300,0.005,0.,0.005
301,0.005,0.,0.005
302,0.005,0.,0.005
303,0.005,0.,0.005
304,0.005,0.,0.005
305,0.005,0.,0.005
306,0.005,0.,0.005
307,0.005,0.,0.005
308,0.005,0.,0.005
309,0.006,0.,0.006
310,0.005,0.,0.005
311,0.005,0.,0.005
312,0.005,0.,0.005
313,0.005,0.,0.005
314,0.005,0.,0.005
315,0.005,0.,0.005
316,0.005,0.,0.005
317,0.005,0.,0.005
318,0.005,0.,0.005
319,0.005,0.,0.005
320,0.006,0.,0.006
321,0.005,0.,0.005
322,0.005,0.,0.005
323,0.005,0.,0.005
324,0.005,0.,0.005
325,0.006,0.,0.006
326,0.005,0.,0.005
327,0.005,0.,0.005
328,0.005,0.,0.005
329,0.005,0.,0.005
330,0.005,0.,0.005
331,0.007,0.,0.007
332,0.005,0.,0.005
333,0.005,0.,0.005
334,0.005,0.,0.005
335,0.005,0.,0.005
336,0.006,0.,0.006
337,0.005,0.,0.005
338,0.005,0.,0.005
339,0.005,0.,0.005
340,0.005,0.,0.005
341,0.006,0.,0.006
342,0.005,0.,0.005
343,0.005,0.,0.005
344,0.006,0.,0.006
345,0.005,0.,0.005
346,0.006,0.,0.006
347,0.006,0.,0.006
348,0.006,0.,0.006
349,0.006,0.,0.006
350,0.005,0.,0.005
351,0.006,0.,0.006
352,0.006,0.,0.006
353,0.006,0.,0.006
354,0.006,0.,0.006
355,0.006,0.,0.006
356,0.006,0.,0.006
