param-n,cbn-regression-cubic-real,cbn-regression-cubic-sys,cbn-regression-cubic-user,cbv-regression-quadratic-real,cbv-regression-quadratic-sys,cbv-regression-quadratic-user,lazy-regression-quadratic-real,lazy-regression-quadratic-sys,lazy-regression-quadratic-user,native-compute(1)-regression-quadratic-real,native-compute(1)-regression-quadratic-sys,native-compute(1)-regression-quadratic-user,native-compute(2)-regression-quadratic-real,native-compute(2)-regression-quadratic-sys,native-compute(2)-regression-quadratic-user,simpl-regression-cubic-real,simpl-regression-cubic-sys,simpl-regression-cubic-user,vm-compute-regression-quadratic-real,vm-compute-regression-quadratic-sys,vm-compute-regression-quadratic-user
156,,,,0.015,0.,0.015,,,,,,,,,,,,,,,
159,,,,,,,0.02,0.,0.02,,,,,,,,,,0.001,0.,0.001
164,,,,,,,0.022,0.,0.022,,,,,,,,,,,,
165,,,,0.017,0.,0.017,,,,,,,,,,,,,,,
169,,,,,,,0.024,0.,0.024,,,,,,,,,,,,
173,,,,0.021,0.,0.021,,,,,,,,,,,,,,,
174,,,,,,,0.031,0.,0.031,,,,,,,,,,,,
180,,,,,,,0.03,0.,0.03,,,,,,,,,,,,
182,,,,0.02,0.,0.02,,,,,,,,,,,,,,,
185,,,,,,,0.033,0.,0.033,,,,,,,,,,,,
190,,,,0.021,0.,0.021,0.035,0.,0.035,,,,,,,,,,,,
195,,,,,,,0.028,0.,0.028,,,,,,,,,,,,
198,,,,,,,,,,,,,,,,,,,0.001,0.,0.001
199,,,,0.024,0.,0.024,,,,,,,,,,,,,,,
200,,,,,,,0.035,0.,0.035,,,,,,,,,,,,
206,,,,,,,0.04,0.,0.04,,,,,,,,,,,,
208,,,,0.026,0.,0.026,,,,,,,,,,,,,,,
211,,,,,,,0.035,0.,0.035,,,,,,,,,,,,
216,,,,0.026,0.,0.026,0.044,0.,0.044,,,,,,,,,,,,
221,,,,,,,0.048,0.,0.048,,,,,,,,,,,,
225,,,,0.028,0.,0.028,,,,,,,,,,,,,,,
227,,,,,,,0.05,0.,0.05,,,,,,,,,,,,
229,,,,,,,,,,0.093,0.003,0.001,0.096,0.004,0.001,,,,,,
232,,,,,,,0.047,0.,0.047,,,,,,,,,,,,
233,,,,0.03,0.,0.03,,,,,,,,,,,,,,,
237,,,,,,,0.046,0.,0.046,,,,,,,,,,0.002,0.,0.002
242,,,,0.031,0.,0.031,0.043,0.,0.043,,,,,,,,,,,,
247,,,,,,,0.055,0.,0.055,,,,,,,,,,,,
250,,,,0.034,0.,0.034,,,,,,,,,,,,,,,
253,,,,,,,0.049,0.,0.049,,,,,,,,,,,,
258,,,,,,,0.061,0.003,0.057,,,,,,,,,,,,
259,,,,0.037,0.,0.037,,,,,,,,,,,,,,,
263,,,,,,,0.056,0.,0.056,,,,,,,,,,,,
268,,,,0.039,0.,0.039,0.057,0.,0.057,,,,,,,,,,,,
273,,,,,,,0.065,0.,0.065,,,,,,,,,,,,
276,,,,0.042,0.,0.042,,,,,,,,,,,,,0.002,0.,0.002
279,,,,,,,0.061,0.,0.061,,,,,,,,,,,,
284,,,,,,,0.07,0.,0.07,,,,,,,,,,,,
285,,,,0.05,0.,0.05,,,,,,,,,,,,,,,
289,,,,,,,0.086,0.,0.085,,,,,,,,,,,,
292,,,,,,,0.138,0.,0.138,,,,,,,,,,,,
293,,,,0.048,0.,0.048,,,,,,,,,,,,,,,
294,,,,,,,0.072,0.004,0.068,,,,,,,,,,,,
300,,,,,,,0.076,0.,0.076,,,,,,,,,,,,
302,,,,0.049,0.,0.049,,,,,,,,,,,,,,,
305,,,,,,,0.081,0.,0.081,,,,,,,,,,,,
310,,,,0.056,0.,0.056,0.092,0.,0.081,,,,,,,,,,,,
315,,,,,,,0.094,0.003,0.09,,,,,,,,,,,,
316,,,,,,,,,,,,,,,,,,,0.003,0.,0.003
319,,,,0.051,0.,0.051,,,,,,,,,,,,,,,
320,,,,,,,0.08,0.,0.08,,,,,,,,,,,,
326,,,,,,,0.082,0.003,0.078,,,,,,,,,,,,
328,,,,0.053,0.,0.053,,,,,,,,,,,,,,,
331,,,,,,,0.095,0.003,0.091,,,,,,,,,,,,
336,,,,0.055,0.,0.055,0.096,0.003,0.09,,,,,,,,,,,,
341,,,,,,,0.102,0.007,0.092,,,,,,,,,,,,
343,,,,,,,,,,0.089,0.,0.006,0.092,0.004,0.002,,,,,,
345,,,,0.06,0.,0.06,,,,,,,,,,,,,,,
347,,,,,,,0.108,0.,0.105,,,,,,,,,,,,
352,,,,,,,0.111,0.,0.103,,,,,,,,,,,,
353,,,,0.061,0.,0.061,,,,,,,,,,,,,,,
355,,,,,,,,,,,,,,,,,,,0.003,0.,0.003
357,,,,,,,0.101,0.,0.101,,,,,,,,,,,,
362,,,,0.064,0.,0.064,0.102,0.,0.102,,,,,,,,,,,,
367,,,,,,,0.106,0.,0.106,,,,,,,,,,,,
370,,,,0.068,0.,0.068,,,,,,,,,,,,,,,
373,,,,,,,0.123,0.,0.123,,,,,,,,,,,,
378,,,,,,,0.111,0.,0.111,,,,,,,,,,,,
379,,,,0.074,0.,0.074,,,,,,,,,,,,,,,
383,,,,,,,0.114,0.,0.114,,,,,,,,,,,,
387,,,,0.077,0.,0.077,,,,,,,,,,,,,,,
388,,,,,,,0.108,0.,0.108,,,,,,,,,,,,
394,,,,,,,0.119,0.,0.119,,,,,,,,,,0.004,0.,0.004
396,,,,0.652,0.042,0.61,,,,,,,,,,,,,,,
399,,,,,,,0.127,0.,0.127,,,,,,,,,,,,
404,,,,,,,0.143,0.007,0.136,,,,,,,,,,,,
405,,,,0.096,0.,0.096,,,,,,,,,,,,,,,
409,,,,,,,0.156,0.,0.156,,,,,,,,,,,,
413,,,,0.086,0.,0.086,,,,,,,,,,,,,,,
414,,,,,,,0.152,0.,0.152,,,,,,,,,,,,
420,,,,,,,0.18,0.,0.18,,,,,,,,,,,,
422,,,,0.092,0.,0.092,,,,,,,,,,,,,,,
425,,,,,,,0.172,0.011,0.16,,,,,,,,,,,,
430,,,,0.091,0.,0.091,0.152,0.,0.152,,,,,,,,,,,,
433,,,,,,,,,,,,,,,,,,,0.005,0.,0.005
435,,,,,,,0.178,0.,0.178,,,,,,,,,,,,
439,,,,0.095,0.,0.095,,,,,,,,,,,,,,,
441,,,,,,,0.192,0.,0.192,,,,,,,,,,,,
446,,,,,,,0.162,0.,0.161,,,,,,,,,,,,
447,,,,0.098,0.,0.098,,,,,,,,,,,,,,,
451,,,,,,,0.188,0.004,0.184,,,,,,,,,,,,
456,,,,0.105,0.,0.105,,,,0.092,0.,0.006,0.09,0.003,0.002,,,,,,
458,,,,0.175,0.,0.175,,,,,,,,,,,,,,,
465,,,,0.104,0.,0.104,,,,,,,,,,,,,,,
469,,,,,,,0.177,0.,0.172,,,,,,,,,,,,
472,,,,,,,,,,,,,,,,,,,0.006,0.,0.006
473,,,,0.108,0.,0.108,,,,,,,,,,,,,,,
482,,,,0.111,0.,0.111,,,,,,,,,,,,,,,
487,,,,,,,0.213,0.,0.213,,,,,,,,,,,,
490,,,,0.113,0.,0.113,,,,,,,,,,,,,,,
499,,,,0.12,0.,0.12,,,,,,,,,,,,,,,
505,,,,,,,0.211,0.,0.211,,,,,,,,,,,,
507,,,,0.117,0.,0.117,,,,,,,,,,,,,,,
511,,,,,,,,,,,,,,,,,,,0.006,0.,0.006
516,,,,0.123,0.,0.123,,,,,,,,,,,,,,,
523,,,,,,,0.237,0.,0.237,,,,,,,,,,,,
525,,,,0.134,0.,0.134,,,,,,,,,,,,,,,
533,,,,0.139,0.,0.139,,,,,,,,,,,,,,,
541,,,,,,,0.247,0.,0.246,,,,,,,,,,,,
542,,,,0.131,0.,0.131,,,,,,,,,,,,,,,
550,,,,0.136,0.,0.136,,,,,,,,,,,,,,,
551,,,,,,,,,,,,,,,,,,,0.007,0.,0.007
559,,,,0.148,0.,0.148,0.263,0.,0.263,,,,,,,,,,,,
567,,,,0.151,0.,0.151,,,,,,,,,,,,,,,
570,,,,,,,,,,0.09,0.003,0.003,0.091,0.004,0.003,,,,,,
576,,,,0.148,0.,0.148,,,,,,,,,,,,,,,
577,,,,,,,0.288,0.,0.288,,,,,,,,,,,,
583,,,,,,,0.281,0.003,0.277,,,,,,,,,,,,
585,,,,0.155,0.,0.155,,,,,,,,,,,,,,,
590,,,,,,,,,,,,,,,,,,,0.009,0.,0.009
593,,,,0.173,0.,0.173,,,,,,,,,,,,,,,
595,,,,,,,0.317,0.,0.317,,,,,,,,,,,,
602,,,,0.159,0.,0.159,,,,,,,,,,,,,,,
610,,,,0.166,0.,0.166,,,,,,,,,,,,,,,
613,,,,,,,0.355,0.003,0.351,,,,,,,,,,,,
619,,,,0.176,0.,0.176,,,,,,,,,,,,,,,
627,,,,0.171,0.,0.171,,,,,,,,,,,,,,,
629,,,,,,,,,,,,,,,,,,,0.01,0.,0.01
631,,,,,,,0.934,0.032,0.901,,,,,,,,,,,,
636,,,,0.188,0.,0.188,,,,,,,,,,,,,,,
644,,,,0.191,0.,0.191,,,,,,,,,,,,,,,
649,,,,,,,0.352,0.007,0.344,,,,,,,,,,,,
653,,,,0.19,0.,0.19,,,,,,,,,,,,,,,
662,,,,0.208,0.,0.208,,,,,,,,,,,,,,,
667,,,,,,,0.382,0.003,0.378,,,,,,,,,,,,
668,,,,,,,,,,,,,,,,,,,0.011,0.,0.011
670,,,,0.199,0.,0.199,,,,,,,,,,,,,,,
679,,,,0.206,0.,0.206,,,,,,,,,,,,,,,
684,,,,,,,,,,0.098,0.003,0.006,0.106,0.004,0.005,,,,,,
685,,,,,,,0.433,0.,0.433,,,,,,,,,,,,
687,,,,0.211,0.,0.211,,,,,,,,,,,,,,,
696,,,,0.215,0.,0.215,,,,,,,,,,,,,,,
703,,,,,,,0.528,0.,0.528,,,,,,,,,,,,
704,,,,0.225,0.,0.225,,,,,,,,,,,,,,,
707,,,,,,,,,,,,,,,,,,,0.012,0.,0.012
713,,,,0.223,0.,0.223,,,,,,,,,,,,,,,
721,,,,,,,0.493,0.,0.493,,,,,,,,,,,,
739,,,,,,,0.486,0.,0.486,,,,,,,,,,,,
744,,,,0.242,0.,0.242,,,,,,,,,,,,,,,
747,,,,,,,,,,,,,,,,,,,0.014,0.,0.014
757,,,,,,,0.513,0.,0.513,,,,,,,,,,,,
775,,,,0.259,0.,0.259,0.58,0.,0.58,,,,,,,,,,,,
786,,,,,,,,,,,,,,,,,,,0.015,0.,0.015
793,,,,,,,0.584,0.,0.584,,,,,,,,,,,,
797,,,,,,,,,,0.091,0.003,0.004,0.093,0.004,0.004,,,,,,
806,,,,0.284,0.,0.284,,,,,,,,,,,,,,,
811,,,,,,,0.599,0.,0.599,,,,,,,,,,,,
825,,,,,,,,,,,,,,,,,,,0.016,0.,0.016
829,,,,,,,0.625,0.,0.625,,,,,,,,,,,,
837,,,,0.301,0.,0.301,,,,,,,,,,,,,,,
847,,,,,,,0.716,0.,0.716,,,,,,,,,,,,
864,,,,,,,,,,,,,,,,,,,0.016,0.,0.016
865,,,,,,,0.679,0.01,0.669,,,,,,,,,,,,
868,,,,0.321,0.,0.321,,,,,,,,,,,,,,,
873,,,,,,,0.665,0.015,0.649,,,,,,,,,,,,
883,,,,,,,0.688,0.,0.688,,,,,,,,,,,,
898,,,,0.333,0.,0.333,,,,,,,,,,,,,,,
901,,,,,,,0.758,0.,0.758,,,,,,,,,,,,
903,,,,,,,,,,,,,,,,,,,0.019,0.,0.019
911,,,,,,,,,,0.1,0.006,0.003,0.1,0.004,0.005,,,,,,
914,,,,0.34,0.,0.34,,,,,,,,,,,,,,,
929,,,,0.354,0.,0.354,,,,,,,,,,,,,,,
943,,,,,,,,,,,,,,,,,,,0.023,0.,0.023
960,,,,0.37,0.,0.37,,,,,,,,,,,,,,,
982,,,,,,,,,,,,,,,,,,,0.028,0.,0.028
991,,,,0.398,0.,0.398,0.879,0.002,0.876,,,,,,,,,,,,
1021,,,,,,,,,,,,,,,,,,,0.113,0.,0.113
1022,,,,0.433,0.,0.433,,,,,,,,,,,,,,,
1025,,,,,,,,,,0.098,0.003,0.006,0.183,0.004,0.092,,,,,,
1053,,,,0.453,0.,0.453,,,,,,,,,,,,,,,
1060,,,,,,,,,,,,,,,,,,,0.027,0.,0.027
1081,,,,,,,1.707,0.007,1.699,,,,,,,,,,,,
1084,,,,0.478,0.,0.478,,,,,,,,,,,,,,,
1099,,,,,,,,,,,,,,,,,,,0.029,0.,0.029
1115,,,,1.119,0.006,1.112,,,,,,,,,,,,,,,
