param-0-nm,param-1-n,param-2-m,param-3-input-size,param-4-output-size,param-5-num-rewrites,autorewrite-regression-cubic-real,autorewrite-regression-cubic-sys,autorewrite-regression-cubic-user,rewrite!-regression-cubic-real,rewrite!-regression-cubic-sys,rewrite!-regression-cubic-user,rewrite-strat(bottomup)-regression-cubic-real,rewrite-strat(bottomup)-regression-cubic-sys,rewrite-strat(bottomup)-regression-cubic-user,rewrite-strat(topdown)-regression-cubic-real,rewrite-strat(topdown)-regression-cubic-sys,rewrite-strat(topdown)-regression-cubic-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user,ssr-rewrite!-regression-cubic-real,ssr-rewrite!-regression-cubic-sys,ssr-rewrite!-regression-cubic-user
26,0,26,55,3,26,,,,,,,0.024,0.,0.024,0.008,0.,0.008,,,,,,
27,0,27,57,3,27,,,,,,,0.026,0.,0.026,0.009,0.,0.008,,,,,,
27,1,9,61,7,27,0.008,0.,0.008,0.006,0.,0.006,0.026,0.,0.026,0.009,0.,0.009,0.022,0.,0.022,0.011,0.,0.011
28,0,28,59,3,28,0.011,0.,0.011,,,,0.027,0.,0.027,0.01,0.,0.01,0.042,0.,0.042,0.012,0.,0.012
28,2,4,71,15,28,0.005,0.,0.005,0.004,0.,0.004,0.026,0.,0.026,0.008,0.,0.008,0.018,0.,0.018,0.018,0.,0.018
29,0,29,61,3,29,,,,,,,0.028,0.,0.028,0.009,0.,0.009,,,,,,
30,0,30,63,3,30,,,,,,,0.048,0.,0.048,0.011,0.,0.011,,,,,,
30,1,10,67,7,30,,,,,,,0.03,0.,0.03,0.009,0.,0.009,0.023,0.,0.023,,,
30,3,2,91,31,30,0.004,0.,0.004,0.004,0.,0.004,0.03,0.,0.03,0.01,0.,0.01,0.017,0.,0.017,0.005,0.,0.004
31,0,31,65,3,31,0.01,0.,0.01,0.01,0.,0.01,0.031,0.,0.031,0.029,0.,0.029,0.026,0.,0.026,0.015,0.,0.015
31,4,1,125,63,31,0.004,0.,0.004,0.003,0.,0.003,0.022,0.,0.022,0.015,0.,0.015,0.018,0.,0.018,0.004,0.,0.004
32,0,32,67,3,32,,,,,,,0.033,0.002,0.03,0.013,0.,0.013,,,,,,
33,0,33,69,3,33,,,,,,,0.045,0.,0.045,0.013,0.,0.013,,,,,,
33,1,11,73,7,33,0.008,0.,0.008,0.008,0.,0.008,0.153,0.,0.153,0.015,0.,0.015,0.024,0.,0.024,0.014,0.,0.014
34,0,34,71,3,34,0.012,0.,0.012,,,,0.035,0.,0.035,0.013,0.,0.013,0.029,0.,0.029,0.035,0.,0.035
35,0,35,73,3,35,,,,,,,0.039,0.,0.039,0.013,0.,0.013,,,,,,
35,2,5,85,15,35,0.007,0.,0.007,0.006,0.,0.006,0.036,0.001,0.034,0.017,0.,0.017,0.022,0.,0.022,0.012,0.,0.012
36,0,36,75,3,36,,,,,,,0.076,0.,0.076,0.015,0.,0.015,,,,,,
36,1,12,79,7,36,,,,,,,0.04,0.,0.04,0.013,0.,0.013,0.03,0.,0.03,,,
37,0,37,77,3,37,0.037,0.,0.037,0.014,0.,0.014,0.043,0.,0.043,0.015,0.,0.015,0.051,0.,0.051,0.019,0.,0.019
38,0,38,79,3,38,,,,,,,0.049,0.,0.049,0.015,0.,0.015,,,,,,
39,0,39,81,3,39,,,,,,,0.044,0.,0.044,0.015,0.,0.015,,,,,,
39,1,13,85,7,39,0.01,0.,0.01,0.009,0.,0.009,0.046,0.,0.046,0.013,0.,0.013,0.037,0.,0.037,0.018,0.,0.018
40,0,40,83,3,40,0.015,0.,0.015,,,,0.049,0.,0.049,0.036,0.,0.036,0.039,0.,0.039,0.023,0.,0.023
41,0,41,85,3,41,,,,,,,0.05,0.,0.05,0.018,0.,0.018,,,,,,
42,0,42,87,3,42,,,,,,,0.051,0.,0.051,0.018,0.,0.018,,,,,,
42,1,14,91,7,42,,,,,,,0.05,0.,0.05,0.015,0.,0.015,0.039,0.,0.039,,,
42,2,6,99,15,42,0.009,0.,0.009,0.007,0.,0.007,0.047,0.,0.047,0.015,0.,0.015,0.033,0.,0.033,0.019,0.,0.019
43,0,43,89,3,43,0.016,0.,0.016,0.015,0.,0.015,0.051,0.,0.051,0.017,0.,0.017,0.042,0.,0.042,0.026,0.,0.026
44,0,44,91,3,44,,,,,,,0.056,0.,0.056,0.02,0.003,0.017,,,,,,
45,0,45,93,3,45,,,,,,,0.077,0.,0.077,0.02,0.,0.02,,,,,,
45,1,15,97,7,45,0.013,0.,0.013,0.034,0.,0.034,0.075,0.,0.075,0.018,0.,0.018,0.038,0.,0.038,0.023,0.,0.023
45,3,3,121,31,45,0.006,0.,0.006,0.006,0.,0.006,0.053,0.,0.053,0.016,0.,0.016,0.029,0.,0.029,0.009,0.,0.009
46,0,46,95,3,46,0.019,0.,0.019,,,,0.062,0.,0.062,0.019,0.,0.019,0.046,0.,0.046,0.045,0.,0.045
47,0,47,97,3,47,,,,,,,0.061,0.,0.061,0.021,0.,0.021,,,,,,
48,0,48,99,3,48,,,,,,,0.086,0.,0.086,0.022,0.,0.022,,,,,,
48,1,16,103,7,48,,,,,,,0.06,0.,0.06,0.02,0.,0.02,0.055,0.,0.054,,,
49,0,49,101,3,49,0.036,0.,0.036,0.04,0.,0.04,0.066,0.,0.066,0.023,0.,0.023,0.069,0.,0.069,0.033,0.,0.033
49,2,7,113,15,49,0.011,0.,0.011,0.018,0.,0.018,0.068,0.,0.068,0.019,0.,0.019,0.038,0.,0.038,0.018,0.,0.018
50,0,50,103,3,50,,,,,,,0.181,0.,0.181,0.023,0.,0.023,,,,,,
51,0,51,105,3,51,,,,,,,0.075,0.,0.075,0.135,0.,0.135,,,,,,
51,1,17,109,7,51,0.022,0.,0.022,0.015,0.,0.015,0.075,0.,0.075,0.021,0.,0.021,0.048,0.,0.048,0.034,0.,0.034
52,0,52,107,3,52,0.021,0.,0.021,,,,0.072,0.,0.072,0.024,0.,0.024,0.055,0.,0.055,0.039,0.,0.039
53,0,53,109,3,53,,,,,,,0.11,0.,0.11,0.026,0.,0.026,,,,,,
54,0,54,111,3,54,,,,,,,0.081,0.,0.081,0.025,0.,0.025,,,,,,
54,1,18,115,7,54,,,,,,,0.075,0.,0.075,0.022,0.,0.022,0.049,0.003,0.045,,,
55,0,55,113,3,55,0.025,0.,0.025,0.025,0.,0.025,0.08,0.,0.08,0.025,0.,0.025,0.059,0.,0.059,0.04,0.,0.04
56,0,56,115,3,56,,,,,,,0.086,0.,0.086,0.059,0.,0.059,,,,,,
56,2,8,127,15,56,0.013,0.,0.013,0.013,0.,0.013,0.08,0.,0.08,0.022,0.,0.022,0.048,0.,0.048,0.022,0.,0.022
57,0,57,117,3,57,,,,,,,0.083,0.,0.083,0.027,0.,0.027,,,,,,
57,1,19,121,7,57,0.02,0.,0.02,0.02,0.,0.02,0.084,0.,0.083,0.027,0.,0.027,0.055,0.,0.055,0.034,0.,0.034
58,0,58,119,3,58,0.027,0.,0.027,,,,0.105,0.,0.105,0.029,0.,0.029,0.174,0.,0.174,0.064,0.,0.064
59,0,59,121,3,59,,,,,,,0.085,0.,0.085,0.031,0.,0.031,,,,,,
60,0,60,123,3,60,,,,,,,0.118,0.,0.118,0.031,0.002,0.029,,,,,,
60,1,20,127,7,60,,,,,,,0.089,0.,0.089,0.027,0.,0.027,0.064,0.,0.064,,,
60,3,4,151,31,60,0.011,0.,0.011,0.009,0.,0.009,0.093,0.,0.093,0.025,0.,0.025,0.06,0.003,0.057,0.014,0.,0.014
61,0,61,125,3,61,0.053,0.,0.053,0.044,0.,0.044,0.208,0.,0.208,0.03,0.,0.03,0.07,0.,0.07,0.059,0.,0.059
62,0,62,127,3,62,,,,,,,0.1,0.,0.1,0.033,0.,0.033,,,,,,
62,4,2,187,63,62,0.008,0.,0.008,0.006,0.,0.006,0.08,0.,0.08,0.027,0.,0.027,0.041,0.,0.041,0.016,0.,0.016
63,0,63,129,3,63,,,,,,,0.134,0.,0.134,0.031,0.,0.031,,,,,,
63,1,21,133,7,63,0.022,0.,0.022,0.035,0.,0.035,0.089,0.,0.089,0.031,0.,0.031,0.063,0.,0.063,0.043,0.,0.043
63,2,9,141,15,63,0.016,0.,0.016,0.016,0.,0.016,0.09,0.,0.09,0.026,0.,0.026,0.053,0.,0.053,0.034,0.,0.034
63,5,1,253,127,63,0.008,0.,0.008,0.005,0.,0.005,0.1,0.,0.1,0.033,0.,0.033,0.055,0.,0.055,0.011,0.,0.011
64,0,64,131,3,64,0.031,0.,0.031,,,,0.105,0.,0.105,0.053,0.,0.053,0.108,0.,0.108,0.052,0.,0.052
65,0,65,133,3,65,,,,,,,0.106,0.,0.106,0.035,0.,0.035,,,,,,
66,0,66,135,3,66,,,,,,,0.107,0.,0.107,0.037,0.,0.037,,,,,,
66,1,22,139,7,66,,,,,,,0.117,0.,0.117,0.033,0.,0.033,0.065,0.,0.065,,,
67,0,67,137,3,67,0.033,0.,0.033,0.038,0.,0.038,0.145,0.,0.145,0.038,0.,0.038,0.083,0.,0.083,0.06,0.,0.06
68,0,68,139,3,68,,,,,,,,,,0.059,0.,0.058,,,,,,
69,0,69,141,3,69,,,,,,,,,,0.039,0.,0.039,,,,,,
69,1,23,145,7,69,0.026,0.,0.026,0.025,0.,0.025,0.113,0.,0.113,0.035,0.,0.035,0.073,0.,0.073,0.046,0.,0.046
70,0,70,143,3,70,0.037,0.,0.037,,,,,,,0.163,0.,0.162,0.086,0.,0.086,0.177,0.,0.177
70,2,10,155,15,70,0.017,0.,0.017,0.017,0.,0.017,0.112,0.003,0.108,0.031,0.,0.03,0.061,0.,0.061,0.033,0.,0.033
71,0,71,145,3,71,,,,,,,,,,0.045,0.,0.045,,,,,,
72,0,72,147,3,72,,,,,,,,,,0.042,0.,0.042,,,,,,
72,1,24,151,7,72,,,,,,,,,,0.042,0.,0.042,0.08,0.,0.08,,,
73,0,73,149,3,73,0.039,0.,0.039,0.04,0.,0.04,,,,0.076,0.,0.076,0.094,0.,0.094,0.075,0.,0.075
74,0,74,151,3,74,,,,,,,0.124,0.,0.124,0.047,0.,0.047,,,,,,
75,0,75,153,3,75,,,,,,,,,,0.046,0.,0.046,,,,,,
75,1,25,157,7,75,0.029,0.,0.029,0.03,0.,0.03,,,,0.042,0.,0.042,0.077,0.,0.077,0.06,0.,0.06
75,3,5,181,31,75,0.013,0.,0.013,0.013,0.,0.013,0.132,0.,0.132,0.032,0.,0.032,0.071,0.,0.071,0.02,0.,0.02
76,0,76,155,3,76,0.158,0.,0.158,,,,,,,0.045,0.,0.045,0.114,0.,0.114,0.111,0.,0.111
77,0,77,157,3,77,,,,,,,,,,0.05,0.,0.05,,,,,,
77,2,11,169,15,77,0.02,0.,0.02,0.022,0.,0.022,,,,0.038,0.,0.038,0.072,0.,0.072,0.041,0.,0.041
78,0,78,159,3,78,,,,,,,,,,0.048,0.,0.048,,,,,,
78,1,26,163,7,78,,,,,,,0.155,0.,0.155,0.043,0.,0.043,0.089,0.,0.089,,,
79,0,79,161,3,79,0.043,0.,0.043,0.069,0.,0.069,,,,0.078,0.,0.078,0.126,0.,0.126,0.08,0.,0.08
80,0,80,163,3,80,,,,,,,,,,0.052,0.,0.052,,,,,,
81,0,81,165,3,81,,,,,,,0.164,0.,0.164,0.076,0.,0.076,,,,,,
81,1,27,169,7,81,0.039,0.,0.039,0.03,0.,0.03,,,,0.046,0.,0.046,0.094,0.,0.094,0.065,0.,0.065
82,0,82,167,3,82,0.05,0.,0.05,,,,,,,0.166,0.,0.166,0.222,0.,0.222,0.081,0.,0.081
83,0,83,169,3,83,,,,,,,,,,0.06,0.,0.06,,,,,,
84,0,84,171,3,84,,,,,,,,,,0.054,0.,0.054,,,,,,
84,1,28,175,7,84,,,,,,,,,,0.05,0.,0.05,0.1,0.,0.1,,,
84,2,12,183,15,84,0.022,0.,0.022,0.024,0.,0.024,0.168,0.,0.168,0.041,0.,0.041,0.079,0.,0.079,0.043,0.,0.043
85,0,85,173,3,85,0.08,0.,0.08,0.053,0.,0.053,,,,0.1,0.,0.1,0.144,0.,0.144,0.107,0.,0.106
86,0,86,175,3,86,,,,,,,,,,0.057,0.,0.057,,,,,,
87,0,87,177,3,87,,,,,,,,,,0.061,0.,0.061,,,,,,
87,1,29,181,7,87,0.037,0.,0.037,0.041,0.,0.041,0.174,0.,0.174,0.052,0.,0.052,0.11,0.,0.11,0.076,0.,0.076
88,0,88,179,3,88,0.052,0.,0.052,,,,0.187,0.,0.187,0.067,0.,0.067,0.125,0.,0.125,0.095,0.,0.095
89,0,89,181,3,89,,,,,,,,,,0.081,0.,0.081,,,,,,
90,0,90,183,3,90,,,,,,,,,,0.065,0.,0.065,,,,,,
90,1,30,187,7,90,,,,,,,,,,0.055,0.,0.055,0.113,0.,0.113,,,
90,3,6,211,31,90,0.018,0.,0.018,0.018,0.,0.018,0.161,0.,0.161,0.041,0.,0.041,0.077,0.,0.077,0.046,0.,0.046
91,0,91,185,3,91,0.054,0.,0.054,0.054,0.,0.054,,,,0.099,0.,0.099,0.148,0.,0.148,0.126,0.,0.126
91,2,13,197,15,91,0.027,0.,0.027,0.026,0.,0.026,,,,0.049,0.,0.049,0.094,0.,0.094,0.054,0.,0.054
92,0,92,187,3,92,,,,,,,,,,0.078,0.003,0.074,,,,,,
93,0,93,189,3,93,,,,,,,,,,0.071,0.,0.071,,,,,,
93,1,31,193,7,93,0.043,0.,0.043,0.04,0.,0.04,,,,0.059,0.,0.059,0.118,0.,0.118,0.085,0.,0.085
93,4,3,249,63,93,0.012,0.,0.012,0.012,0.,0.012,0.143,0.,0.143,0.044,0.,0.044,0.07,0.,0.07,0.022,0.,0.022
94,0,94,191,3,94,0.06,0.,0.06,,,,,,,0.085,0.002,0.083,0.163,0.002,0.161,0.234,0.,0.234
95,0,95,193,3,95,,,,,,,0.198,0.,0.198,0.075,0.,0.075,,,,,,
96,0,96,195,3,96,,,,,,,,,,0.077,0.,0.077,,,,,,
96,1,32,199,7,96,,,,,,,0.217,0.004,0.213,0.062,0.,0.062,0.121,0.,0.121,,,
97,0,97,197,3,97,0.082,0.,0.082,0.197,0.001,0.196,,,,0.076,0.,0.076,0.265,0.,0.265,0.131,0.,0.131
98,0,98,199,3,98,,,,,,,,,,0.079,0.,0.079,,,,,,
98,2,14,211,15,98,0.028,0.,0.028,0.033,0.,0.033,0.213,0.,0.213,0.054,0.,0.054,0.103,0.,0.103,0.06,0.,0.06
99,0,99,201,3,99,,,,,,,,,,0.078,0.,0.078,,,,,,
99,1,33,205,7,99,0.052,0.,0.052,0.045,0.,0.045,,,,0.065,0.,0.065,0.147,0.,0.147,0.091,0.,0.091
100,0,100,203,3,100,0.067,0.,0.067,,,,,,,0.082,0.,0.082,0.194,0.,0.194,0.115,0.,0.115
101,0,101,205,3,101,,,,,,,,,,0.082,0.,0.082,,,,,,
102,0,102,207,3,102,,,,,,,,,,0.087,0.,0.087,,,,,,
102,1,34,211,7,102,,,,,,,0.206,0.,0.206,0.068,0.,0.068,0.145,0.,0.145,,,
103,0,103,209,3,103,0.095,0.,0.095,0.073,0.,0.072,,,,0.086,0.,0.086,0.161,0.,0.161,0.141,0.,0.141
104,0,104,211,3,104,,,,,,,,,,0.09,0.,0.09,,,,,,
105,0,105,213,3,105,,,,,,,,,,0.087,0.,0.087,,,,,,
105,1,35,217,7,105,0.051,0.,0.051,0.049,0.,0.048,,,,0.075,0.,0.075,0.149,0.,0.149,0.108,0.,0.108
105,2,15,225,15,105,0.034,0.,0.034,0.035,0.,0.035,,,,0.059,0.,0.059,0.13,0.,0.13,0.068,0.,0.068
105,3,7,241,31,105,0.02,0.,0.02,0.039,0.,0.039,0.202,0.,0.202,0.05,0.,0.05,0.112,0.,0.112,0.035,0.,0.035
106,0,106,215,3,106,0.189,0.,0.189,,,,,,,0.09,0.,0.09,0.205,0.,0.205,0.159,0.,0.159
107,0,107,217,3,107,,,,,,,,,,0.103,0.,0.103,,,,,,
108,0,108,219,3,108,,,,,,,,,,0.098,0.,0.098,,,,,,
108,1,36,223,7,108,,,,,,,,,,0.083,0.,0.083,0.169,0.004,0.164,,,
109,0,109,221,3,109,0.111,0.,0.111,0.105,0.,0.105,,,,0.09,0.003,0.086,0.178,0.,0.178,0.27,0.,0.27
110,0,110,223,3,110,,,,,,,,,,0.109,0.,0.109,,,,,,
111,0,111,225,3,111,,,,,,,,,,0.107,0.,0.107,,,,,,
111,1,37,229,7,111,0.057,0.,0.057,0.056,0.,0.056,,,,0.083,0.,0.083,0.163,0.,0.163,0.114,0.,0.114
112,0,112,227,3,112,0.093,0.,0.093,,,,,,,0.094,0.003,0.09,0.188,0.,0.188,0.163,0.,0.163
112,2,16,239,15,112,0.036,0.,0.036,0.035,0.,0.035,,,,0.065,0.,0.065,0.132,0.003,0.128,0.08,0.,0.08
113,0,113,229,3,113,,,,,,,,,,0.107,0.,0.107,,,,,,
114,0,114,231,3,114,,,,,,,,,,0.109,0.,0.109,,,,,,
114,1,38,235,7,114,,,,,,,,,,0.086,0.,0.086,0.171,0.,0.171,,,
115,0,115,233,3,115,0.098,0.,0.098,0.083,0.,0.083,,,,0.109,0.,0.109,0.198,0.,0.198,0.153,0.,0.153
116,0,116,235,3,116,,,,,,,,,,0.101,0.,0.101,,,,,,
117,0,117,237,3,117,,,,,,,,,,0.115,0.,0.115,,,,,,
117,1,39,241,7,117,0.06,0.,0.06,0.061,0.,0.061,,,,0.095,0.,0.095,0.167,0.,0.167,0.13,0.,0.13
118,0,118,239,3,118,0.115,0.,0.115,,,,,,,0.112,0.,0.112,0.211,0.,0.211,0.199,0.,0.199
119,0,119,241,3,119,,,,,,,,,,0.103,0.,0.103,,,,,,
119,2,17,253,15,119,0.04,0.,0.04,0.043,0.,0.043,,,,0.075,0.,0.075,0.146,0.,0.146,0.086,0.,0.086
120,0,120,243,3,120,,,,,,,,,,0.111,0.003,0.107,,,,,,
120,1,40,247,7,120,,,,,,,,,,0.093,0.,0.093,0.189,0.,0.189,,,
120,3,8,271,31,120,0.026,0.,0.026,0.026,0.,0.026,0.384,0.,0.384,0.064,0.,0.064,0.12,0.,0.12,0.062,0.,0.062
121,0,121,245,3,121,0.129,0.,0.129,0.094,0.,0.094,,,,0.112,0.,0.111,0.211,0.003,0.207,0.187,0.,0.187
122,0,122,247,3,122,,,,,,,,,,0.117,0.,0.117,,,,,,
123,0,123,249,3,123,,,,,,,,,,0.12,0.,0.12,,,,,,
123,1,41,253,7,123,0.072,0.,0.072,0.065,0.,0.065,,,,0.099,0.,0.099,0.204,0.,0.204,0.141,0.,0.141
124,0,124,251,3,124,0.218,0.,0.218,,,,,,,0.113,0.,0.112,0.229,0.,0.229,0.194,0.,0.194
124,4,4,311,63,124,0.022,0.,0.022,0.021,0.,0.021,0.255,0.003,0.251,0.069,0.,0.069,0.108,0.,0.108,0.035,0.,0.035
125,0,125,253,3,125,,,,,,,,,,0.115,0.,0.115,,,,,,
126,0,126,255,3,126,,,,,,,,,,0.134,0.003,0.13,,,,,,
126,1,42,259,7,126,,,,,,,,,,0.103,0.,0.103,0.189,0.,0.189,,,
126,2,18,267,15,126,0.042,0.,0.042,0.045,0.,0.045,,,,0.083,0.,0.083,0.159,0.,0.159,0.092,0.,0.092
126,5,2,379,127,126,0.014,0.,0.014,0.013,0.,0.013,,,,0.061,0.,0.061,0.1,0.,0.1,0.023,0.,0.023
