param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbn-regression-quadratic-sys,cps+cbn-regression-quadratic-user,cps+cbv-regression-quadratic-real,cps+cbv-regression-quadratic-sys,cps+cbv-regression-quadratic-user,cps+lazy-regression-quadratic-real,cps+lazy-regression-quadratic-sys,cps+lazy-regression-quadratic-user,cps+native-compute-native-compute-compilation-real,cps+native-compute-native-compute-conversion-to-native-code-real,cps+native-compute-native-compute-evaluation-real,cps+native-compute-native-compute-reification-real,cps+native-compute-regression-quadratic-real,cps+native-compute-regression-quadratic-sys,cps+native-compute-regression-quadratic-user,cps+simpl-regression-quadratic-real,cps+simpl-regression-quadratic-sys,cps+simpl-regression-quadratic-user,cps+vm-compute-regression-quadratic-real,cps+vm-compute-regression-quadratic-sys,cps+vm-compute-regression-quadratic-user,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(bottomup-bottomup)-regression-exponential-sys,rewrite-strat(bottomup-bottomup)-regression-exponential-user,rewrite-strat(topdown-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-sys,rewrite-strat(topdown-bottomup)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
1,1,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.10073,0.00023,0.00051,0.00006,0.182,0.016,0.066,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.004,0.001,0.002
2,1,2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.10303,0.00018,0.00050,0.00005,0.103,0.,0.001,0.,0.,0.,0.,0.,0.,0.003,0.,0.003,0.003,0.,0.003,0.014,0.002,0.012
2,2,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.10000,0.00018,0.00053,0.00006,0.1,0.001,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001,0.008,0.002,0.005
3,1,3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.09976,0.00018,0.00053,0.00006,0.1,0.,0.002,0.,0.,0.,0.,0.,0.,0.009,0.002,0.007,0.009,0.001,0.007,0.061,0.008,0.052
3,3,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.09887,0.00021,0.00049,0.00006,0.099,0.,0.002,0.,0.,0.,0.,0.,0.,0.006,0.003,0.002,0.006,0.,0.006,0.013,0.,0.013
4,1,4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.09859,0.00019,0.00048,0.00006,0.099,0.,0.002,0.,0.,0.,0.,0.,0.,0.019,0.,0.019,0.018,0.,0.018,0.04,0.,0.04
4,2,2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.09973,0.00036,0.00049,0.00006,0.1,0.001,0.,0.,0.,0.,0.,0.,0.,0.011,0.001,0.009,0.011,0.003,0.008,0.037,0.,0.037
4,4,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.09887,0.00035,0.00049,0.00006,0.099,0.,0.002,0.,0.,0.,0.,0.,0.,0.05,0.002,0.047,0.051,0.007,0.043,0.023,0.,0.023
5,1,5,0.001,0.001,0.,0.,0.,0.,0.,0.,0.,0.09900,0.00020,0.00046,0.00006,0.179,0.022,0.058,0.001,0.,0.001,0.,0.,0.,0.085,0.01,0.074,0.088,0.014,0.073,0.117,0.013,0.103
5,5,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.09638,0.00018,0.00050,0.00006,0.097,0.001,0.,0.,0.,0.,0.,0.,0.,0.022,0.,0.022,0.023,0.,0.023,0.054,0.,0.054
